General : Start date,"2019-09-04"
General : End date,"2019-09-04"
General : Unique identifier,"{5CB12431-FD61-455C-9035-C19A0574E00C}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E13_5_WR1_5S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.28187"
"0.10000","0.00005","0.28225"
"0.20000","0.00031","0.28376"
"0.30000","0.00090","0.28893"
"0.40000","0.00247","0.30547"
"0.50000","0.00733","0.36073"
"0.60000","0.00952","0.38166"
"0.70000","0.01118","0.39747"
"0.80000","0.01291","0.41426"
"0.90000","0.01464","0.43059"
"1.00000","0.01636","0.44676"
"1.10000","0.01799","0.46208"
"1.20000","0.01958","0.47689"
"1.30000","0.02120","0.49136"
"1.40000","0.02285","0.50599"
"1.50000","0.02449","0.52031"
"1.60000","0.02616","0.53458"
"1.70000","0.02785","0.54959"
"1.80000","0.02954","0.56373"
"1.90000","0.03120","0.57820"
"2.00000","0.03291","0.59308"
"2.10000","0.03451","0.60551"
"2.20000","0.03626","0.62112"
"2.30000","0.03794","0.63476"
"2.40000","0.03960","0.64765"
"2.50000","0.04130","0.66167"
"2.60000","0.04299","0.67496"
"2.70000","0.04469","0.68868"
"2.80000","0.04635","0.70237"
"2.90000","0.04798","0.71592"
"3.00000","0.04961","0.72945"
"3.10000","0.05122","0.74233"
"3.20000","0.05285","0.75538"
"3.30000","0.05456","0.76913"
"3.40000","0.05620","0.78202"
"3.50000","0.05789","0.79539"
"3.60000","0.05957","0.80895"
"3.70000","0.06121","0.82109"
"3.80000","0.06292","0.83511"
"3.90000","0.06458","0.84835"
"4.00000","0.06630","0.86252"
"4.10000","0.06812","0.87767"
"4.20000","0.06974","0.88982"
"4.30000","0.07135","0.90223"
"4.40000","0.07303","0.91555"
"4.50000","0.07467","0.92842"
"4.60000","0.07623","0.94037"
"4.70000","0.07785","0.95324"
"4.80000","0.07955","0.96703"
"4.90000","0.08121","0.98059"
"5.00000","0.08288","0.99424"
"5.10000","0.08456","1.00815"
"5.20000","0.08623","1.02123"
"5.30000","0.08787","1.03416"
"5.40000","0.08955","1.04773"
"5.50000","0.09136","1.06257"
"5.60000","0.09312","1.07604"
"5.70000","0.09478","1.08795"
"5.80000","0.09646","1.10130"
"5.90000","0.09817","1.11432"
"6.00000","0.09976","1.12468"
"6.10000","0.10128","1.13366"
"6.20000","0.10284","1.14240"
"6.30000","0.10450","1.15347"
"6.40000","0.10616","1.16632"
"6.50000","0.10780","1.18020"
"6.60000","0.10951","1.19528"
"6.70000","0.11117","1.20856"
"6.80000","0.11284","1.22344"
"6.90000","0.11456","1.23867"
"7.00000","0.11622","1.25271"
"7.10000","0.11785","1.26661"
"7.20000","0.11965","1.28359"
"7.30000","0.12142","1.29855"
"7.40000","0.12316","1.31304"
"7.50000","0.12482","1.32608"
"7.60000","0.12644","1.33958"
"7.70000","0.12811","1.35363"
"7.80000","0.12982","1.36850"
"7.90000","0.13140","1.38117"
"8.00000","0.13291","1.39356"
"8.10000","0.13447","1.40694"
"8.20000","0.13614","1.42126"
"8.30000","0.13781","1.43559"
"8.40000","0.13953","1.45061"
"8.50000","0.14123","1.46450"
"8.60000","0.14286","1.47725"
"8.70000","0.14445","1.49046"
"8.80000","0.14627","1.50673"
"8.90000","0.14812","1.52362"
"9.00000","0.14976","1.53576"
"9.10000","0.15140","1.54924"
"9.20000","0.15308","1.56217"
"9.30000","0.15473","1.57520"
"9.40000","0.15638","1.58843"
"9.50000","0.15803","1.60042"
"9.60000","0.15966","1.61244"
"9.70000","0.16133","1.62565"
"9.80000","0.16296","1.63787"
"9.90000","0.16458","1.64951"
"10.00000","0.16621","1.66111"
"10.10000","0.16783","1.67352"
"10.20000","0.16947","1.68619"
"10.30000","0.17105","1.69756"
