General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{5AA312AC-0E72-4D12-9788-7C8D34DE4DF9}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_1_WR2_1S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00517","0.20536"
"0.10000","0.00518","0.20507"
"0.20000","0.00546","0.20541"
"0.30000","0.00796","0.22629"
"0.40000","0.01117","0.24849"
"0.50000","0.01265","0.25622"
"0.60000","0.01405","0.26386"
"0.70000","0.01569","0.27368"
"0.80000","0.01742","0.28346"
"0.90000","0.01906","0.29156"
"1.00000","0.02071","0.29961"
"1.10000","0.02244","0.30851"
"1.20000","0.02410","0.31621"
"1.30000","0.02567","0.32378"
"1.40000","0.02736","0.33109"
"1.50000","0.02909","0.33960"
"1.60000","0.03079","0.34699"
"1.70000","0.03244","0.35449"
"1.80000","0.03413","0.36190"
"1.90000","0.03580","0.36883"
"2.00000","0.03746","0.37626"
"2.10000","0.03915","0.38344"
"2.20000","0.04080","0.39038"
"2.30000","0.04246","0.39733"
"2.40000","0.04410","0.40386"
"2.50000","0.04578","0.41100"
"2.60000","0.04742","0.41775"
"2.70000","0.04913","0.42552"
"2.80000","0.05081","0.43196"
"2.90000","0.05251","0.43912"
"3.00000","0.05422","0.44637"
"3.10000","0.05592","0.45276"
"3.20000","0.05762","0.45962"
"3.30000","0.05924","0.46601"
"3.40000","0.06090","0.47230"
"3.50000","0.06253","0.47956"
"3.60000","0.06424","0.48718"
"3.70000","0.06589","0.49325"
"3.80000","0.06752","0.49941"
"3.90000","0.06909","0.50547"
"4.00000","0.07067","0.51071"
"4.10000","0.07237","0.51839"
"4.20000","0.07410","0.52598"
"4.30000","0.07586","0.53361"
"4.40000","0.07755","0.53969"
"4.50000","0.07919","0.54642"
"4.60000","0.08082","0.55268"
"4.70000","0.08258","0.56035"
"4.80000","0.08430","0.56703"
"4.90000","0.08602","0.57384"
"5.00000","0.08772","0.58047"
"5.10000","0.08940","0.58743"
"5.20000","0.09092","0.59187"
"5.30000","0.09249","0.59881"
"5.40000","0.09408","0.60447"
"5.50000","0.09571","0.61165"
"5.60000","0.09740","0.61881"
"5.70000","0.09902","0.62499"
"5.80000","0.10066","0.63112"
"5.90000","0.10230","0.63762"
"6.00000","0.10403","0.64508"
"6.10000","0.10575","0.65168"
"6.20000","0.10749","0.65899"
"6.30000","0.10915","0.66507"
"6.40000","0.11086","0.67179"
"6.50000","0.11263","0.67865"
"6.60000","0.11445","0.68640"
"6.70000","0.11610","0.69194"
"6.80000","0.11768","0.69698"
"6.90000","0.11931","0.70304"
"7.00000","0.12102","0.70891"
"7.10000","0.12262","0.71462"
