General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{E3D02769-9DEC-421A-954E-AF5C4E55D4E9}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_1_WR2_3S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.24684"
"0.10000","0.00010","0.24783"
"0.20000","0.00057","0.25381"
"0.30000","0.00160","0.26846"
"0.40000","0.00341","0.29431"
"0.50000","0.00602","0.33305"
"0.60000","0.00886","0.37357"
"0.70000","0.01101","0.40233"
"0.80000","0.01275","0.42477"
"0.90000","0.01449","0.44613"
"1.00000","0.01622","0.46767"
"1.10000","0.01790","0.48843"
"1.20000","0.01953","0.50741"
"1.30000","0.02119","0.52639"
"1.40000","0.02281","0.54314"
"1.50000","0.02446","0.55981"
"1.60000","0.02615","0.57542"
"1.70000","0.02782","0.59019"
"1.80000","0.02946","0.60272"
"1.90000","0.03115","0.61629"
"2.00000","0.03285","0.62860"
"2.10000","0.03454","0.64103"
"2.20000","0.03620","0.65236"
"2.30000","0.03791","0.66470"
"2.40000","0.03960","0.67667"
"2.50000","0.04124","0.68867"
"2.60000","0.04300","0.70166"
"2.70000","0.04484","0.71612"
"2.80000","0.04651","0.72771"
"2.90000","0.04818","0.73914"
"3.00000","0.04983","0.75103"
"3.10000","0.05138","0.76238"
"3.20000","0.05296","0.77560"
"3.30000","0.05454","0.78886"
"3.40000","0.05614","0.80392"
"3.50000","0.05779","0.82047"
"3.60000","0.05947","0.83822"
"3.70000","0.06115","0.85569"
"3.80000","0.06284","0.87305"
"3.90000","0.06456","0.89135"
"4.00000","0.06623","0.90824"
"4.10000","0.06802","0.92707"
"4.20000","0.06974","0.94386"
"4.30000","0.07142","0.96046"
"4.40000","0.07312","0.97723"
"4.50000","0.07477","0.99264"
"4.60000","0.07645","1.00900"
"4.70000","0.07808","1.02423"
"4.80000","0.07973","1.04021"
"4.90000","0.08135","1.05580"
"5.00000","0.08295","1.07148"
"5.10000","0.08449","1.08571"
"5.20000","0.08613","1.10263"
"5.30000","0.08779","1.12016"
"5.40000","0.08949","1.13681"
"5.50000","0.09117","1.15429"
"5.60000","0.09285","1.17202"
"5.70000","0.09456","1.18923"
"5.80000","0.09614","1.20398"
"5.90000","0.09792","1.22295"
"6.00000","0.09979","1.24258"
"6.10000","0.10152","1.25912"
"6.20000","0.10316","1.27421"
"6.30000","0.10479","1.28994"
"6.40000","0.10646","1.30605"
"6.50000","0.10805","1.32081"
"6.60000","0.10970","1.33696"
"6.70000","0.11138","1.35276"
"6.80000","0.11303","1.36851"
"6.90000","0.11464","1.38324"
"7.00000","0.11622","1.39793"
"7.10000","0.11781","1.41302"
"7.20000","0.11941","1.42852"
"7.30000","0.12113","1.44652"
"7.40000","0.12291","1.46480"
"7.50000","0.12457","1.48044"
"7.60000","0.12624","1.49682"
"7.70000","0.12791","1.51229"
"7.80000","0.12961","1.52890"
"7.90000","0.13131","1.54522"
"8.00000","0.13306","1.56270"
"8.10000","0.13470","1.57747"
"8.20000","0.13632","1.59236"
"8.30000","0.13798","1.60843"
"8.40000","0.13964","1.62395"
"8.50000","0.14126","1.63887"
"8.60000","0.14289","1.65418"
"8.70000","0.14461","1.67143"
"8.80000","0.14629","1.68735"
"8.90000","0.14800","1.70357"
"9.00000","0.14967","1.72004"
"9.10000","0.15120","1.73317"
"9.20000","0.15287","1.75047"
"9.30000","0.15460","1.76861"
"9.40000","0.15627","1.78493"
"9.50000","0.15794","1.80190"
"9.60000","0.15962","1.81879"
"9.70000","0.16126","1.83500"
"9.80000","0.16286","1.85062"
"9.90000","0.16456","1.87030"
"10.00000","0.16623","1.88686"
"10.10000","0.16790","1.90330"
"10.20000","0.16950","1.91860"
"10.30000","0.17120","1.93612"
"10.40000","0.17296","1.95447"
"10.50000","0.17468","1.97143"
"10.60000","0.17641","1.98892"
"10.70000","0.17812","2.00617"
"10.80000","0.17975","2.02101"
"10.90000","0.18142","2.03769"
"11.00000","0.18304","2.05317"
"11.10000","0.18463","2.06856"
"11.20000","0.18620","2.08344"
"11.30000","0.18785","2.10054"
"11.40000","0.18954","2.11798"
"11.50000","0.19118","2.13380"
"11.60000","0.19282","2.15087"
"11.70000","0.19446","2.16811"
"11.80000","0.19616","2.18530"
"11.90000","0.19782","2.20177"
"12.00000","0.19954","2.21923"
"12.10000","0.20127","2.23603"
"12.20000","0.20290","2.25150"
"12.30000","0.20455","2.26889"
"12.40000","0.20639","2.28776"
"12.50000","0.20815","2.30546"
"12.60000","0.20981","2.32065"
"12.70000","0.21153","2.33737"
"12.80000","0.21320","2.35338"
"12.90000","0.21477","2.36676"
"13.00000","0.21637","2.38223"
"13.10000","0.21790","2.39619"
"13.20000","0.21948","2.41114"
"13.30000","0.22113","2.42858"
"13.40000","0.22282","2.44597"
"13.50000","0.22449","2.46279"
"13.60000","0.22611","2.47910"
"13.70000","0.22783","2.49708"
"13.80000","0.22953","2.51419"
"13.90000","0.23125","2.53294"
"14.00000","0.23305","2.55204"
"14.10000","0.23474","2.56764"
"14.20000","0.23648","2.58534"
"14.30000","0.23814","2.60091"
"14.40000","0.23977","2.61627"
"14.50000","0.24140","2.63144"
"14.60000","0.24307","2.64718"
"14.70000","0.24472","2.66334"
"14.80000","0.24638","2.67899"
"14.90000","0.24804","2.69404"
"15.00000","0.24964","2.70954"
"15.10000","0.25114","2.72246"
"15.20000","0.25278","2.73892"
"15.30000","0.25447","2.75687"
"15.40000","0.25613","2.77341"
"15.50000","0.25783","2.79089"
"15.60000","0.25951","2.80776"
"15.70000","0.26127","2.82822"
"15.80000","0.26298","2.84521"
"15.90000","0.26472","2.86238"
"16.00000","0.26641","2.87867"
"16.10000","0.26809","2.89438"
"16.20000","0.26978","2.91096"
"16.30000","0.27146","2.92869"
"16.40000","0.27301","2.94148"
"16.50000","0.27468","2.95789"
"16.60000","0.27637","2.97433"
"16.70000","0.27802","2.98930"
"16.80000","0.27965","3.00464"
"16.90000","0.28129","3.02041"
"17.00000","0.28294","3.03572"
"17.10000","0.28449","3.04958"
"17.20000","0.28620","3.06730"
"17.30000","0.28794","3.08481"
"17.40000","0.28967","3.10440"
"17.50000","0.29134","3.12077"
"17.60000","0.29304","3.13753"
"17.70000","0.29467","3.15272"
"17.80000","0.29629","3.16795"
"17.90000","0.29790","3.18256"
"18.00000","0.29954","3.19824"
"18.10000","0.30124","3.21403"
"18.20000","0.30291","3.23133"
"18.30000","0.30467","3.24912"
"18.40000","0.30631","3.26332"
"18.50000","0.30795","3.27781"
"18.60000","0.30960","3.29322"
"18.70000","0.31129","3.30876"
"18.80000","0.31303","3.32596"
"18.90000","0.31470","3.34061"
"19.00000","0.31633","3.35518"
"19.10000","0.31798","3.37079"
"19.20000","0.31972","3.38972"
"19.30000","0.32136","3.40390"
"19.40000","0.32296","3.41832"
"19.50000","0.32461","3.43321"
"19.60000","0.32625","3.44769"
"19.70000","0.32786","3.46155"
"19.80000","0.32951","3.47708"
