General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{4D8E7938-8A99-4D62-AB36-794B28347F1E}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_2_WR3_3S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27900"
"0.10000","0.00011","0.28020"
"0.20000","0.00079","0.29260"
"0.30000","0.00221","0.31777"
"0.40000","0.00432","0.35402"
"0.50000","0.00681","0.39819"
"0.60000","0.00926","0.44019"
"0.70000","0.01125","0.47261"
"0.80000","0.01289","0.49859"
"0.90000","0.01457","0.52564"
"1.00000","0.01627","0.55339"
"1.10000","0.01798","0.58077"
"1.20000","0.01960","0.60586"
"1.30000","0.02121","0.63083"
"1.40000","0.02281","0.65531"
"1.50000","0.02445","0.68072"
"1.60000","0.02608","0.70505"
"1.70000","0.02766","0.72897"
"1.80000","0.02940","0.75592"
"1.90000","0.03122","0.78379"
"2.00000","0.03298","0.81017"
"2.10000","0.03474","0.83692"
"2.20000","0.03642","0.86122"
"2.30000","0.03803","0.88479"
"2.40000","0.03969","0.90858"
"2.50000","0.04134","0.93220"
"2.60000","0.04291","0.95465"
"2.70000","0.04454","0.97767"
"2.80000","0.04618","1.00142"
"2.90000","0.04785","1.02581"
"3.00000","0.04953","1.04987"
"3.10000","0.05120","1.07398"
"3.20000","0.05288","1.09814"
"3.30000","0.05455","1.12179"
"3.40000","0.05629","1.14720"
"3.50000","0.05804","1.17208"
"3.60000","0.05971","1.19529"
"3.70000","0.06130","1.21735"
"3.80000","0.06291","1.24053"
"3.90000","0.06461","1.26680"
"4.00000","0.06627","1.29126"
"4.10000","0.06792","1.31553"
"4.20000","0.06953","1.33887"
"4.30000","0.07117","1.36349"
"4.40000","0.07287","1.38936"
"4.50000","0.07457","1.41533"
"4.60000","0.07619","1.43919"
"4.70000","0.07783","1.46416"
"4.80000","0.07953","1.49107"
"4.90000","0.08126","1.51859"
"5.00000","0.08288","1.54246"
"5.10000","0.08457","1.56979"
"5.20000","0.08635","1.59797"
"5.30000","0.08816","1.62732"
"5.40000","0.08983","1.65236"
"5.50000","0.09140","1.67541"
"5.60000","0.09302","1.70180"
"5.70000","0.09461","1.72661"
