General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{6BFC266C-9E0D-4BAC-9B5A-C7BB4BB5898C}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_3_WR1_4S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27432"
"0.10000","0.00011","0.27606"
"0.20000","0.00083","0.28555"
"0.30000","0.00223","0.30530"
"0.40000","0.00435","0.32563"
"0.50000","0.00691","0.35104"
"0.60000","0.00933","0.37575"
"0.70000","0.01120","0.39520"
"0.80000","0.01276","0.41100"
"0.90000","0.01443","0.42801"
"1.00000","0.01614","0.44590"
"1.10000","0.01789","0.46420"
"1.20000","0.01952","0.47990"
"1.30000","0.02111","0.49610"
"1.40000","0.02275","0.51142"
"1.50000","0.02437","0.52714"
"1.60000","0.02605","0.54343"
"1.70000","0.02769","0.55959"
"1.80000","0.02950","0.57724"
"1.90000","0.03132","0.59487"
"2.00000","0.03316","0.61271"
"2.10000","0.03481","0.62823"
"2.20000","0.03643","0.64302"
"2.30000","0.03805","0.65846"
"2.40000","0.03971","0.67313"
"2.50000","0.04133","0.68857"
"2.60000","0.04299","0.70302"
"2.70000","0.04457","0.71780"
"2.80000","0.04611","0.73174"
"2.90000","0.04777","0.74684"
"3.00000","0.04952","0.76276"
"3.10000","0.05122","0.77829"
"3.20000","0.05285","0.79273"
"3.30000","0.05456","0.80750"
"3.40000","0.05628","0.82283"
"3.50000","0.05802","0.83834"
"3.60000","0.05974","0.85323"
"3.70000","0.06143","0.86746"
"3.80000","0.06307","0.88059"
"3.90000","0.06475","0.89528"
"4.00000","0.06638","0.90870"
"4.10000","0.06800","0.92211"
"4.20000","0.06965","0.93619"
"4.30000","0.07132","0.94964"
"4.40000","0.07292","0.96279"
"4.50000","0.07455","0.97636"
"4.60000","0.07621","0.98939"
"4.70000","0.07782","1.00156"
"4.80000","0.07945","1.01497"
"4.90000","0.08107","1.02830"
"5.00000","0.08281","1.04321"
"5.10000","0.08461","1.05747"
"5.20000","0.08633","1.07160"
"5.30000","0.08809","1.08580"
"5.40000","0.08978","1.09868"
"5.50000","0.09139","1.11042"
"5.60000","0.09306","1.12354"
"5.70000","0.09472","1.13628"
"5.80000","0.09635","1.14854"
"5.90000","0.09797","1.16007"
"6.00000","0.09961","1.17274"
"6.10000","0.10124","1.18521"
"6.20000","0.10289","1.19705"
"6.30000","0.10461","1.20993"
"6.40000","0.10628","1.22273"
"6.50000","0.10792","1.23459"
"6.60000","0.10965","1.24685"
"6.70000","0.11130","1.25938"
"6.80000","0.11298","1.27323"
"6.90000","0.11463","1.28545"
"7.00000","0.11619","1.29727"
"7.10000","0.11790","1.31101"
"7.20000","0.11957","1.32338"
"7.30000","0.12119","1.33497"
"7.40000","0.12287","1.34785"
"7.50000","0.12456","1.36079"
"7.60000","0.12622","1.37294"
"7.70000","0.12790","1.38606"
"7.80000","0.12957","1.39884"
"7.90000","0.13123","1.41057"
"8.00000","0.13288","1.42320"
"8.10000","0.13460","1.43613"
"8.20000","0.13629","1.44811"
"8.30000","0.13800","1.46135"
"8.40000","0.13976","1.47401"
"8.50000","0.14153","1.48738"
"8.60000","0.14306","1.49907"
"8.70000","0.14465","1.51136"
"8.80000","0.14635","1.52530"
"8.90000","0.14797","1.53848"
"9.00000","0.14955","1.55224"
"9.10000","0.15117","1.56558"
"9.20000","0.15285","1.57939"
"9.30000","0.15451","1.59258"
"9.40000","0.15619","1.60602"
"9.50000","0.15788","1.62038"
"9.60000","0.15960","1.63403"
"9.70000","0.16122","1.64686"
"9.80000","0.16292","1.66138"
"9.90000","0.16474","1.67675"
"10.00000","0.16653","1.69094"
"10.10000","0.16817","1.70253"
"10.20000","0.16979","1.71568"
"10.30000","0.17144","1.72834"
"10.40000","0.17312","1.74206"
"10.50000","0.17469","1.75306"
"10.60000","0.17621","1.76610"
"10.70000","0.17779","1.77880"
"10.80000","0.17947","1.79250"
"10.90000","0.18113","1.80585"
"11.00000","0.18277","1.81939"
"11.10000","0.18446","1.83313"
"11.20000","0.18613","1.84707"
"11.30000","0.18784","1.86082"
"11.40000","0.18951","1.87379"
"11.50000","0.19119","1.88678"
"11.60000","0.19294","1.90213"
"11.70000","0.19479","1.91732"
"11.80000","0.19655","1.93111"
"11.90000","0.19816","1.94286"
"12.00000","0.19980","1.95577"
"12.10000","0.20155","1.96967"
"12.20000","0.20314","1.98204"
"12.30000","0.20469","1.99330"
"12.40000","0.20638","2.00665"
"12.50000","0.20801","2.01881"
"12.60000","0.20955","2.03026"
"12.70000","0.21113","2.04267"
"12.80000","0.21276","2.05590"
"12.90000","0.21451","2.07124"
"13.00000","0.21616","2.08394"
"13.10000","0.21787","2.09730"
"13.20000","0.21966","2.11205"
"13.30000","0.22135","2.12458"
"13.40000","0.22305","2.13825"
"13.50000","0.22475","2.15186"
"13.60000","0.22643","2.16474"
"13.70000","0.22804","2.17631"
"13.80000","0.22975","2.19014"
"13.90000","0.23138","2.20229"
"14.00000","0.23301","2.21491"
"14.10000","0.23470","2.22768"
"14.20000","0.23635","2.23937"
"14.30000","0.23801","2.25224"
"14.40000","0.23969","2.26522"
"14.50000","0.24136","2.27788"
"14.60000","0.24291","2.28959"
"14.70000","0.24448","2.30168"
"14.80000","0.24612","2.31397"
"14.90000","0.24788","2.32888"
"15.00000","0.24972","2.34432"
"15.10000","0.25142","2.35688"
"15.20000","0.25303","2.36832"
"15.30000","0.25467","2.38089"
"15.40000","0.25638","2.39484"
"15.50000","0.25804","2.40701"
"15.60000","0.25967","2.41934"
"15.70000","0.26135","2.43270"
"15.80000","0.26303","2.44514"
"15.90000","0.26470","2.45765"
"16.00000","0.26633","2.46951"
"16.10000","0.26800","2.48178"
"16.20000","0.26971","2.49495"
"16.30000","0.27138","2.50666"
"16.40000","0.27308","2.51965"
"16.50000","0.27474","2.53168"
"16.60000","0.27631","2.54251"
"16.70000","0.27799","2.55525"
"16.80000","0.27969","2.56939"
"16.90000","0.28139","2.58163"
"17.00000","0.28297","2.59245"
"17.10000","0.28455","2.60365"
"17.20000","0.28618","2.61578"
"17.30000","0.28786","2.62851"
"17.40000","0.28953","2.64126"
"17.50000","0.29121","2.65399"
"17.60000","0.29290","2.66660"
"17.70000","0.29457","2.67878"
"17.80000","0.29625","2.69138"
"17.90000","0.29796","2.70432"
"18.00000","0.29968","2.71699"
"18.10000","0.30138","2.72877"
"18.20000","0.30309","2.74148"
"18.30000","0.30484","2.75459"
"18.40000","0.30655","2.76652"
"18.50000","0.30818","2.77788"
"18.60000","0.30971","2.78823"
"18.70000","0.31128","2.79982"
"18.80000","0.31288","2.81106"
"18.90000","0.31448","2.82291"
"19.00000","0.31617","2.83517"
"19.10000","0.31785","2.84738"
"19.20000","0.31948","2.85907"
"19.30000","0.32117","2.87230"
"19.40000","0.32289","2.88501"
"19.50000","0.32451","2.89626"
"19.60000","0.32620","2.90910"
"19.70000","0.32804","2.92298"
"19.80000","0.32976","2.93432"
"19.90000","0.33142","2.94610"
"20.00000","0.33317","2.95905"
"20.10000","0.33483","2.97057"
"20.20000","0.33647","2.98180"
"20.30000","0.33808","2.99241"
"20.40000","0.33973","3.00364"
"20.50000","0.34134","3.01454"
"20.60000","0.34288","3.02447"
"20.70000","0.34446","3.03542"
"20.80000","0.34613","3.04766"
"20.90000","0.34781","3.06007"
"21.00000","0.34949","3.07212"
"21.10000","0.35118","3.08398"
"21.20000","0.35288","3.09653"
"21.30000","0.35454","3.10772"
"21.40000","0.35616","3.11851"
"21.50000","0.35794","3.13178"
"21.60000","0.35972","3.14416"
"21.70000","0.36148","3.15693"
"21.80000","0.36319","3.16944"
"21.90000","0.36479","3.17896"
"22.00000","0.36641","3.18957"
"22.10000","0.36806","3.20053"
"22.20000","0.36968","3.21132"
"22.30000","0.37136","3.22259"
"22.40000","0.37304","3.23393"
"22.50000","0.37471","3.24499"
"22.60000","0.37624","3.25443"
"22.70000","0.37776","3.26458"
"22.80000","0.37935","3.27505"
"22.90000","0.38123","3.29060"
"23.00000","0.38292","3.30202"
"23.10000","0.38458","3.31306"
"23.20000","0.38628","3.32464"
"23.30000","0.38799","3.33728"
"23.40000","0.38969","3.34854"
"23.50000","0.39134","3.35991"
"23.60000","0.39299","3.37103"
"23.70000","0.39467","3.38216"
"23.80000","0.39636","3.39340"
"23.90000","0.39801","3.40533"
"24.00000","0.39967","3.41611"
"24.10000","0.40135","3.42692"
"24.20000","0.40299","3.43805"
"24.30000","0.40463","3.44883"
"24.40000","0.40631","3.45966"
"24.50000","0.40803","3.47104"
"24.60000","0.40964","3.48140"
"24.70000","0.41116","3.49050"
"24.80000","0.41286","3.50266"
"24.90000","0.41464","3.51576"
"25.00000","0.41636","3.52749"
"25.10000","0.41803","3.53840"
"25.20000","0.41966","3.54915"
"25.30000","0.42127","3.55960"
"25.40000","0.42286","3.56988"
"25.50000","0.42452","3.58092"
"25.60000","0.42620","3.59176"
"25.70000","0.42788","3.60341"
"25.80000","0.42957","3.61510"
"25.90000","0.43129","3.62689"
"26.00000","0.43299","3.63802"
"26.10000","0.43462","3.64831"
"26.20000","0.43636","3.65988"
"26.30000","0.43816","3.67205"
"26.40000","0.43979","3.68170"
"26.50000","0.44144","3.69244"
"26.60000","0.44299","3.70144"
"26.70000","0.44462","3.71226"
"26.80000","0.44622","3.72296"
"26.90000","0.44786","3.73315"
"27.00000","0.44952","3.74477"
"27.10000","0.45116","3.75523"
"27.20000","0.45282","3.76620"
"27.30000","0.45445","3.77618"
"27.40000","0.45611","3.78721"
"27.50000","0.45787","3.79947"
"27.60000","0.45957","3.81065"
"27.70000","0.46124","3.82143"
"27.80000","0.46292","3.83195"
"27.90000","0.46455","3.84171"
"28.00000","0.46635","3.85454"
"28.10000","0.46816","3.86628"
"28.20000","0.46986","3.87675"
"28.30000","0.47153","3.88701"
"28.40000","0.47315","3.89653"
"28.50000","0.47475","3.90579"
"28.60000","0.47634","3.91530"
"28.70000","0.47787","3.92469"
"28.80000","0.47948","3.93444"
"28.90000","0.48114","3.94598"
"29.00000","0.48278","3.95602"
"29.10000","0.48449","3.96775"
"29.20000","0.48619","3.97922"
"29.30000","0.48786","3.98973"
"29.40000","0.48951","3.99958"
"29.50000","0.49128","4.01179"
"29.60000","0.49307","4.02346"
"29.70000","0.49478","4.03388"
"29.80000","0.49644","4.04484"
"29.90000","0.49815","4.05513"
"30.00000","0.49980","4.06483"
"30.10000","0.50141","4.07384"
"30.20000","0.50304","4.08388"
"30.30000","0.50471","4.09397"
"30.40000","0.50636","4.10349"
"30.50000","0.50802","4.11347"
"30.60000","0.50963","4.12267"
"30.70000","0.51115","4.13132"
"30.80000","0.51277","4.14176"
"30.90000","0.51446","4.15251"
"31.00000","0.51612","4.16311"
"31.10000","0.51783","4.17331"
"31.20000","0.51952","4.18475"
"31.30000","0.52129","4.19728"
"31.40000","0.52310","4.20931"
"31.50000","0.52474","4.21814"
"31.60000","0.52639","4.22757"
"31.70000","0.52806","4.23706"
"31.80000","0.52974","4.24720"
"31.90000","0.53144","4.25845"
"32.00000","0.53307","4.26736"
"32.10000","0.53466","4.27544"
"32.20000","0.53632","4.28550"
"32.30000","0.53800","4.29523"
"32.40000","0.53967","4.30461"
"32.50000","0.54133","4.31494"
"32.60000","0.54288","4.32336"
"32.70000","0.54449","4.33261"
"32.80000","0.54626","4.34523"
"32.90000","0.54794","4.35462"
"33.00000","0.54965","4.36669"
"33.10000","0.55139","4.37767"
"33.20000","0.55304","4.38640"
"33.30000","0.55467","4.39624"
"33.40000","0.55628","4.40537"
"33.50000","0.55790","4.41456"
"33.60000","0.55954","4.42363"
"33.70000","0.56122","4.43343"
"33.80000","0.56294","4.44437"
"33.90000","0.56463","4.45328"
"34.00000","0.56626","4.46259"
"34.10000","0.56792","4.47202"
"34.20000","0.56960","4.48173"
"34.30000","0.57127","4.49117"
"34.40000","0.57299","4.50100"
"34.50000","0.57470","4.51065"
"34.60000","0.57629","4.51928"
"34.70000","0.57793","4.52858"
"34.80000","0.57968","4.54186"
"34.90000","0.58139","4.55167"
"35.00000","0.58302","4.55989"
"35.10000","0.58460","4.56883"
"35.20000","0.58624","4.57795"
"35.30000","0.58787","4.58741"
"35.40000","0.58950","4.59620"
"35.50000","0.59117","4.60804"
"35.60000","0.59290","4.61807"
"35.70000","0.59454","4.62707"
"35.80000","0.59625","4.63581"
"35.90000","0.59787","4.64494"
"36.00000","0.59964","4.65637"
"36.10000","0.60146","4.66740"
"36.20000","0.60318","4.67701"
"36.30000","0.60479","4.68483"
"36.40000","0.60650","4.69551"
"36.50000","0.60817","4.70415"
"36.60000","0.60966","4.71103"
"36.70000","0.61123","4.71938"
"36.80000","0.61290","4.73040"
"36.90000","0.61452","4.73841"
"37.00000","0.61616","4.74720"
"37.10000","0.61779","4.75667"
"37.20000","0.61943","4.76494"
"37.30000","0.62116","4.77572"
"37.40000","0.62284","4.78591"
"37.50000","0.62451","4.79464"
"37.60000","0.62627","4.80579"
"37.70000","0.62788","4.81328"
"37.80000","0.62963","4.82435"
"37.90000","0.63153","4.83669"
"38.00000","0.63319","4.84511"
"38.10000","0.63484","4.85265"
"38.20000","0.63654","4.86212"
"38.30000","0.63814","4.86999"
"38.40000","0.63977","4.87766"
"38.50000","0.64132","4.88450"
"38.60000","0.64286","4.89228"
"38.70000","0.64449","4.90126"
"38.80000","0.64621","4.91326"
"38.90000","0.64781","4.92119"
"39.00000","0.64946","4.92924"
"39.10000","0.65116","4.93925"
"39.20000","0.65284","4.94762"
"39.30000","0.65454","4.95763"
"39.40000","0.65629","4.96738"
"39.50000","0.65808","4.97943"
"39.60000","0.65978","4.98791"
"39.70000","0.66141","4.99577"
"39.80000","0.66311","5.00465"
"39.90000","0.66478","5.01294"
"40.00000","0.66642","5.02211"
"40.10000","0.66803","5.02968"
"40.20000","0.66970","5.03816"
"40.30000","0.67136","5.04697"
"40.40000","0.67302","5.05503"
"40.50000","0.67462","5.06242"
"40.60000","0.67616","5.06919"
"40.70000","0.67780","5.07776"
"40.80000","0.67946","5.08656"
"40.90000","0.68106","5.09412"
"41.00000","0.68285","5.10567"
"41.10000","0.68463","5.11549"
"41.20000","0.68636","5.12622"
"41.30000","0.68808","5.13434"
"41.40000","0.68973","5.14159"
"41.50000","0.69137","5.15035"
"41.60000","0.69300","5.15760"
"41.70000","0.69468","5.16686"
"41.80000","0.69641","5.17636"
"41.90000","0.69800","5.18328"
"42.00000","0.69965","5.19142"
"42.10000","0.70133","5.19928"
"42.20000","0.70299","5.20733"
"42.30000","0.70470","5.21553"
"42.40000","0.70637","5.22341"
"42.50000","0.70795","5.23086"
"42.60000","0.70951","5.23715"
"42.70000","0.71123","5.24671"
"42.80000","0.71304","5.25834"
"42.90000","0.71470","5.26645"
"43.00000","0.71629","5.27329"
"43.10000","0.71794","5.28093"
"43.20000","0.71954","5.28823"
"43.30000","0.72119","5.29618"
"43.40000","0.72284","5.30436"
"43.50000","0.72451","5.31232"
"43.60000","0.72618","5.32032"
"43.70000","0.72791","5.32991"
"43.80000","0.72962","5.33850"
"43.90000","0.73124","5.34508"
"44.00000","0.73291","5.35274"
"44.10000","0.73462","5.36025"
"44.20000","0.73631","5.36807"
"44.30000","0.73801","5.37550"
"44.40000","0.73976","5.38425"
"44.50000","0.74146","5.39197"
"44.60000","0.74305","5.39821"
"44.70000","0.74470","5.40571"
"44.80000","0.74636","5.41334"
"44.90000","0.74798","5.42089"
"45.00000","0.74959","5.42748"
"45.10000","0.75119","5.43516"
"45.20000","0.75280","5.44201"
"45.30000","0.75448","5.45005"
"45.40000","0.75619","5.45869"
"45.50000","0.75786","5.46593"
"45.60000","0.75953","5.47312"
"45.70000","0.76123","5.48058"
"45.80000","0.76295","5.48958"
"45.90000","0.76480","5.49844"
"46.00000","0.76651","5.50616"
"46.10000","0.76814","5.51214"
"46.20000","0.76979","5.51897"
"46.30000","0.77147","5.52620"
"46.40000","0.77310","5.53251"
"46.50000","0.77471","5.53829"
"46.60000","0.77625","5.54412"
"46.70000","0.77782","5.55066"
"46.80000","0.77947","5.55714"
"46.90000","0.78117","5.56539"
"47.00000","0.78280","5.57223"
"47.10000","0.78449","5.57912"
"47.20000","0.78614","5.58546"
"47.30000","0.78782","5.59304"
"47.40000","0.78952","5.60033"
"47.50000","0.79120","5.60774"
"47.60000","0.79293","5.61534"
"47.70000","0.79481","5.62590"
"47.80000","0.79662","5.63459"
"47.90000","0.79816","5.63964"
"48.00000","0.79978","5.64487"
"48.10000","0.80158","5.65278"
"48.20000","0.80316","5.65815"
"48.30000","0.80471","5.66271"
"48.40000","0.80637","5.66813"
"48.50000","0.80797","5.67445"
"48.60000","0.80954","5.68092"
"48.70000","0.81115","5.68660"
"48.80000","0.81278","5.69358"
"48.90000","0.81451","5.70074"
"49.00000","0.81616","5.70749"
"49.10000","0.81790","5.71529"
"49.20000","0.81962","5.72286"
"49.30000","0.82129","5.72929"
"49.40000","0.82304","5.73711"
"49.50000","0.82476","5.74458"
"49.60000","0.82639","5.74993"
"49.70000","0.82806","5.75595"
"49.80000","0.82975","5.76288"
"49.90000","0.83139","5.76907"
"50.00000","0.83302","5.77397"
"50.10000","0.83470","5.78060"
"50.20000","0.83637","5.78681"
"50.30000","0.83805","5.79321"
"50.40000","0.83970","5.79858"
"50.50000","0.84130","5.80311"
"50.60000","0.84286","5.80782"
"50.70000","0.84447","5.81469"
"50.80000","0.84614","5.82079"
"50.90000","0.84788","5.82873"
"51.00000","0.84964","5.83517"
"51.10000","0.85138","5.84276"
"51.20000","0.85309","5.84918"
"51.30000","0.85471","5.85514"
"51.40000","0.85637","5.86133"
"51.50000","0.85796","5.86572"
"51.60000","0.85956","5.87058"
"51.70000","0.86126","5.87757"
"51.80000","0.86294","5.88335"
"51.90000","0.86462","5.88906"
"52.00000","0.86630","5.89514"
"52.10000","0.86799","5.90068"
"52.20000","0.86972","5.90627"
"52.30000","0.87138","5.91206"
"52.40000","0.87302","5.91798"
"52.50000","0.87471","5.92439"
"52.60000","0.87634","5.92927"
"52.70000","0.87799","5.93501"
"52.80000","0.87965","5.94162"
"52.90000","0.88135","5.94752"
"53.00000","0.88301","5.95343"
"53.10000","0.88462","5.95832"
"53.20000","0.88621","5.96427"
"53.30000","0.88785","5.96981"
"53.40000","0.88950","5.97601"
"53.50000","0.89118","5.98185"
"53.60000","0.89287","5.98752"
"53.70000","0.89459","5.99416"
"53.80000","0.89624","5.99945"
"53.90000","0.89795","6.00523"
"54.00000","0.89973","6.01236"
"54.10000","0.90139","6.01831"
"54.20000","0.90312","6.02541"
"54.30000","0.90484","6.03092"
"54.40000","0.90654","6.03696"
"54.50000","0.90818","6.04213"
"54.60000","0.90967","6.04453"
"54.70000","0.91127","6.05044"
"54.80000","0.91290","6.05529"
"54.90000","0.91450","6.05995"
"55.00000","0.91614","6.06596"
"55.10000","0.91788","6.07261"
"55.20000","0.91950","6.07776"
"55.30000","0.92113","6.08313"
"55.40000","0.92286","6.08979"
"55.50000","0.92452","6.09491"
"55.60000","0.92622","6.10116"
"55.70000","0.92807","6.10854"
"55.80000","0.92981","6.11447"
"55.90000","0.93150","6.11883"
"56.00000","0.93316","6.12366"
"56.10000","0.93475","6.12690"
"56.20000","0.93641","6.13136"
"56.30000","0.93816","6.13773"
"56.40000","0.93975","6.14140"
"56.50000","0.94129","6.14493"
"56.60000","0.94285","6.14876"
"56.70000","0.94447","6.15333"
"56.80000","0.94617","6.15924"
"56.90000","0.94785","6.16472"
"57.00000","0.94952","6.17059"
"57.10000","0.95117","6.17528"
"57.20000","0.95286","6.18090"
"57.30000","0.95457","6.18645"
"57.40000","0.95616","6.19064"
"57.50000","0.95791","6.19649"
"57.60000","0.95975","6.20339"
"57.70000","0.96153","6.20914"
"57.80000","0.96318","6.21310"
"57.90000","0.96484","6.21807"
"58.00000","0.96642","6.22109"
"58.10000","0.96802","6.22526"
"58.20000","0.96969","6.22961"
"58.30000","0.97137","6.23446"
"58.40000","0.97302","6.23892"
"58.50000","0.97462","6.24219"
"58.60000","0.97618","6.24648"
"58.70000","0.97780","6.25028"
"58.80000","0.97938","6.25483"
"58.90000","0.98124","6.26187"
"59.00000","0.98291","6.26661"
"59.10000","0.98457","6.27242"
"59.20000","0.98626","6.27712"
"59.30000","0.98801","6.28295"
"59.40000","0.98974","6.28860"
"59.50000","0.99134","6.29254"
"59.60000","0.99299","6.29690"
"59.70000","0.99463","6.30111"
"59.80000","0.99635","6.30863"
"59.90000","0.99807","6.31317"
"60.00000","0.99966","6.31602"
"60.10000","1.00127","6.31968"
"60.20000","1.00290","6.32374"
"60.30000","1.00457","6.32789"
"60.40000","1.00630","6.33276"
"60.50000","1.00802","6.33807"
"60.60000","1.00959","6.34177"
"60.70000","1.01114","6.34521"
"60.80000","1.01288","6.35078"
"60.90000","1.01466","6.35732"
"61.00000","1.01636","6.36187"
"61.10000","1.01801","6.36668"
"61.20000","1.01970","6.37142"
"61.30000","1.02130","6.37422"
"61.40000","1.02286","6.37793"
"61.50000","1.02449","6.38254"
"61.60000","1.02615","6.38666"
"61.70000","1.02787","6.39173"
"61.80000","1.02957","6.39673"
"61.90000","1.03126","6.40096"
"62.00000","1.03296","6.40523"
"62.10000","1.03459","6.40924"
"62.20000","1.03638","6.41467"
"62.30000","1.03817","6.42007"
"62.40000","1.03981","6.42378"
"62.50000","1.04139","6.42638"
"62.60000","1.04301","6.43100"
