General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{E4E025D7-EBFB-44FC-8F4E-FAFCE858E46D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_3_WR3_3S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.31973"
"0.10000","0.00009","0.32009"
"0.20000","0.00070","0.32724"
"0.30000","0.00241","0.34586"
"0.40000","0.00466","0.37158"
"0.50000","0.00694","0.39680"
"0.60000","0.00936","0.42251"
"0.70000","0.01126","0.44352"
"0.80000","0.01295","0.46165"
"0.90000","0.01471","0.48110"
"1.00000","0.01645","0.50042"
"1.10000","0.01802","0.51631"
"1.20000","0.01961","0.53327"
"1.30000","0.02122","0.54982"
"1.40000","0.02284","0.56642"
"1.50000","0.02448","0.58305"
"1.60000","0.02613","0.59975"
"1.70000","0.02779","0.61643"
"1.80000","0.02940","0.63202"
"1.90000","0.03109","0.64832"
"2.00000","0.03279","0.66565"
"2.10000","0.03449","0.68208"
"2.20000","0.03618","0.69795"
"2.30000","0.03788","0.71366"
"2.40000","0.03967","0.73066"
"2.50000","0.04145","0.74822"
"2.60000","0.04310","0.76313"
"2.70000","0.04469","0.77720"
"2.80000","0.04638","0.79334"
"2.90000","0.04801","0.80790"
"3.00000","0.04963","0.82387"
"3.10000","0.05125","0.83935"
"3.20000","0.05282","0.85367"
"3.30000","0.05448","0.86967"
"3.40000","0.05621","0.88555"
"3.50000","0.05789","0.90103"
"3.60000","0.05954","0.91575"
"3.70000","0.06116","0.93088"
"3.80000","0.06292","0.94792"
"3.90000","0.06470","0.96406"
"4.00000","0.06640","0.97928"
"4.10000","0.06805","0.99398"
"4.20000","0.06977","1.00887"
"4.30000","0.07144","1.02388"
"4.40000","0.07308","1.03762"
"4.50000","0.07467","1.05104"
"4.60000","0.07631","1.06591"
"4.70000","0.07790","1.07976"
"4.80000","0.07951","1.09462"
"4.90000","0.08118","1.11039"
"5.00000","0.08285","1.12533"
"5.10000","0.08452","1.14149"
"5.20000","0.08618","1.15638"
"5.30000","0.08785","1.17166"
"5.40000","0.08955","1.18781"
"5.50000","0.09119","1.20237"
"5.60000","0.09297","1.22013"
"5.70000","0.09473","1.23710"
"5.80000","0.09647","1.25352"
"5.90000","0.09814","1.26847"
"6.00000","0.09976","1.28319"
"6.10000","0.10138","1.29822"
"6.20000","0.10304","1.31286"
"6.30000","0.10469","1.32866"
"6.40000","0.10631","1.34363"
"6.50000","0.10790","1.35773"
"6.60000","0.10949","1.37296"
"6.70000","0.11114","1.38894"
"6.80000","0.11286","1.40627"
"6.90000","0.11456","1.42250"
"7.00000","0.11620","1.43780"
"7.10000","0.11791","1.45560"
"7.20000","0.11966","1.47329"
"7.30000","0.12138","1.49103"
"7.40000","0.12306","1.50711"
"7.50000","0.12475","1.52420"
"7.60000","0.12640","1.54045"
"7.70000","0.12806","1.55725"
"7.80000","0.12968","1.57300"
"7.90000","0.13132","1.59027"
"8.00000","0.13295","1.60641"
"8.10000","0.13458","1.62310"
"8.20000","0.13619","1.63917"
"8.30000","0.13786","1.65702"
"8.40000","0.13955","1.67438"
"8.50000","0.14119","1.69133"
"8.60000","0.14281","1.70768"
"8.70000","0.14441","1.72420"
"8.80000","0.14614","1.74394"
"8.90000","0.14796","1.76530"
"9.00000","0.14975","1.78528"
"9.10000","0.15146","1.80348"
"9.20000","0.15311","1.82115"
"9.30000","0.15471","1.83847"
"9.40000","0.15637","1.85622"
"9.50000","0.15804","1.87523"
"9.60000","0.15967","1.89339"
"9.70000","0.16131","1.91189"
"9.80000","0.16292","1.92924"
"9.90000","0.16454","1.94762"
"10.00000","0.16621","1.96658"
"10.10000","0.16792","1.98592"
"10.20000","0.16957","2.00471"
"10.30000","0.17124","2.02316"
"10.40000","0.17298","2.04391"
"10.50000","0.17471","2.06445"
"10.60000","0.17637","2.08373"
"10.70000","0.17798","2.10174"
"10.80000","0.17953","2.11955"
"10.90000","0.18117","2.13908"
"11.00000","0.18290","2.16070"
"11.10000","0.18456","2.18054"
"11.20000","0.18622","2.20083"
"11.30000","0.18792","2.22209"
"11.40000","0.18952","2.24121"
"11.50000","0.19122","2.26193"
"11.60000","0.19289","2.28269"
"11.70000","0.19456","2.30275"
"11.80000","0.19620","2.32349"
"11.90000","0.19794","2.34559"
"12.00000","0.19962","2.36644"
"12.10000","0.20131","2.38780"
"12.20000","0.20305","2.41029"
"12.30000","0.20485","2.43346"
"12.40000","0.20645","2.45292"
