General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{28E0172A-62A5-4D1F-89E9-F2C92A6CAC3F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_4_WR1_5S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.25626"
"0.10000","0.00011","0.25762"
"0.20000","0.00065","0.26637"
"0.30000","0.00181","0.28567"
"0.40000","0.00369","0.31143"
"0.50000","0.00635","0.35012"
"0.60000","0.00908","0.39021"
"0.70000","0.01110","0.41700"
"0.80000","0.01278","0.43855"
"0.90000","0.01443","0.46018"
"1.00000","0.01618","0.48347"
"1.10000","0.01787","0.50575"
"1.20000","0.01954","0.52750"
"1.30000","0.02117","0.54847"
"1.40000","0.02281","0.56902"
"1.50000","0.02448","0.59034"
"1.60000","0.02621","0.61174"
"1.70000","0.02781","0.63101"
"1.80000","0.02955","0.65271"
"1.90000","0.03125","0.67301"
"2.00000","0.03293","0.69121"
"2.10000","0.03469","0.70925"
"2.20000","0.03630","0.72509"
"2.30000","0.03789","0.74252"
"2.40000","0.03958","0.76338"
"2.50000","0.04125","0.78304"
"2.60000","0.04289","0.80276"
"2.70000","0.04451","0.82172"
"2.80000","0.04621","0.84130"
"2.90000","0.04786","0.85981"
"3.00000","0.04953","0.87921"
"3.10000","0.05120","0.89755"
"3.20000","0.05286","0.91558"
"3.30000","0.05454","0.93459"
"3.40000","0.05628","0.95348"
"3.50000","0.05788","0.96973"
"3.60000","0.05957","0.98854"
"3.70000","0.06133","1.00796"
"3.80000","0.06313","1.02757"
"3.90000","0.06477","1.04494"
"4.00000","0.06640","1.06256"
"4.10000","0.06804","1.08000"
"4.20000","0.06959","1.09630"
"4.30000","0.07120","1.11411"
"4.40000","0.07287","1.13273"
"4.50000","0.07458","1.15083"
"4.60000","0.07620","1.16783"
"4.70000","0.07783","1.18493"
"4.80000","0.07954","1.20301"
"4.90000","0.08121","1.22228"
"5.00000","0.08284","1.23830"
"5.10000","0.08461","1.25782"
"5.20000","0.08639","1.27608"
"5.30000","0.08810","1.29420"
"5.40000","0.08977","1.31163"
"5.50000","0.09142","1.32726"
"5.60000","0.09304","1.34382"
"5.70000","0.09471","1.36098"
"5.80000","0.09639","1.37870"
"5.90000","0.09803","1.39519"
"6.00000","0.09966","1.41213"
"6.10000","0.10117","1.42639"
"6.20000","0.10277","1.44321"
"6.30000","0.10446","1.46184"
"6.40000","0.10616","1.47933"
"6.50000","0.10783","1.49713"
"6.60000","0.10951","1.51540"
"6.70000","0.11129","1.53547"
"6.80000","0.11289","1.55234"
"6.90000","0.11458","1.57090"
"7.00000","0.11641","1.59236"
"7.10000","0.11819","1.61249"
"7.20000","0.11982","1.62954"
"7.30000","0.12142","1.64663"
"7.40000","0.12314","1.66646"
"7.50000","0.12473","1.68233"
