General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{7C9A5A6E-EFE8-4AD1-8B9F-8E07B81573D5}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_4_WR1_3S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.41883"
"0.10000","0.00003","0.41898"
"0.20000","0.00029","0.42118"
"0.30000","0.00088","0.42772"
"0.40000","0.00255","0.45381"
"0.50000","0.00737","0.53352"
"0.60000","0.00996","0.56834"
"0.70000","0.01139","0.58501"
"0.80000","0.01288","0.60402"
"0.90000","0.01455","0.62611"
"1.00000","0.01623","0.64704"
"1.10000","0.01787","0.66717"
"1.20000","0.01953","0.68820"
"1.30000","0.02113","0.70827"
"1.40000","0.02276","0.72859"
"1.50000","0.02448","0.74996"
"1.60000","0.02616","0.76978"
"1.70000","0.02784","0.78948"
"1.80000","0.02951","0.80869"
"1.90000","0.03126","0.82908"
"2.00000","0.03298","0.84790"
"2.10000","0.03474","0.86788"
"2.20000","0.03640","0.88577"
"2.30000","0.03806","0.90371"
"2.40000","0.03974","0.92161"
"2.50000","0.04136","0.93891"
"2.60000","0.04298","0.95558"
"2.70000","0.04461","0.97228"
"2.80000","0.04624","0.98834"
"2.90000","0.04788","1.00535"
"3.00000","0.04955","1.02229"
"3.10000","0.05122","1.03900"
"3.20000","0.05288","1.05576"
"3.30000","0.05449","1.07175"
"3.40000","0.05617","1.08909"
"3.50000","0.05789","1.10677"
"3.60000","0.05953","1.12252"
"3.70000","0.06130","1.13956"
"3.80000","0.06306","1.15733"
"3.90000","0.06476","1.17359"
"4.00000","0.06642","1.18936"
"4.10000","0.06806","1.20537"
"4.20000","0.06970","1.21996"
"4.30000","0.07135","1.23576"
"4.40000","0.07299","1.25120"
"4.50000","0.07462","1.26625"
"4.60000","0.07623","1.28104"
"4.70000","0.07789","1.29592"
"4.80000","0.07958","1.31176"
"4.90000","0.08124","1.32718"
"5.00000","0.08287","1.34093"
"5.10000","0.08466","1.35821"
"5.20000","0.08635","1.37391"
"5.30000","0.08798","1.38784"
"5.40000","0.08961","1.40241"
"5.50000","0.09128","1.41810"
"5.60000","0.09300","1.43360"
"5.70000","0.09475","1.45023"
"5.80000","0.09633","1.46337"
"5.90000","0.09795","1.47719"
"6.00000","0.09958","1.49161"
"6.10000","0.10124","1.50623"
"6.20000","0.10292","1.52108"
"6.30000","0.10454","1.53496"
"6.40000","0.10618","1.54892"
"6.50000","0.10790","1.56480"
"6.60000","0.10959","1.57937"
"6.70000","0.11122","1.59272"
"6.80000","0.11295","1.60807"
"6.90000","0.11469","1.62372"
"7.00000","0.11647","1.63953"
"7.10000","0.11807","1.65277"
"7.20000","0.11962","1.66557"
"7.30000","0.12127","1.68018"
"7.40000","0.12297","1.69534"
"7.50000","0.12464","1.71081"
"7.60000","0.12631","1.72508"
"7.70000","0.12791","1.73803"
"7.80000","0.12954","1.75203"
"7.90000","0.13119","1.76505"
"8.00000","0.13287","1.77968"
"8.10000","0.13457","1.79453"
"8.20000","0.13626","1.80833"
"8.30000","0.13786","1.82084"
"8.40000","0.13967","1.83744"
"8.50000","0.14145","1.85218"
"8.60000","0.14312","1.86567"
"8.70000","0.14476","1.87807"
"8.80000","0.14649","1.89282"
"8.90000","0.14818","1.90599"
"9.00000","0.14973","1.91719"
"9.10000","0.15123","1.92787"
"9.20000","0.15282","1.94065"
"9.30000","0.15449","1.95480"
"9.40000","0.15619","1.97001"
"9.50000","0.15784","1.98278"
"9.60000","0.15948","1.99583"
"9.70000","0.16112","2.00899"
"9.80000","0.16288","2.02431"
"9.90000","0.16459","2.03745"
"10.00000","0.16623","2.05038"
"10.10000","0.16793","2.06291"
"10.20000","0.16974","2.07797"
"10.30000","0.17147","2.09159"
"10.40000","0.17318","2.10504"
"10.50000","0.17482","2.11733"
"10.60000","0.17645","2.12828"
"10.70000","0.17809","2.14064"
"10.80000","0.17972","2.15287"
"10.90000","0.18135","2.16595"
"11.00000","0.18291","2.17691"
"11.10000","0.18444","2.18821"
"11.20000","0.18609","2.20320"
"11.30000","0.18782","2.21943"
"11.40000","0.18954","2.23423"
"11.50000","0.19119","2.24762"
"11.60000","0.19284","2.26085"
"11.70000","0.19457","2.27608"
"11.80000","0.19632","2.29130"
"11.90000","0.19809","2.30696"
"12.00000","0.19977","2.32037"
"12.10000","0.20140","2.33330"
"12.20000","0.20308","2.34705"
"12.30000","0.20477","2.36114"
"12.40000","0.20637","2.37372"
"12.50000","0.20801","2.38680"
"12.60000","0.20970","2.40170"
"12.70000","0.21132","2.41509"
"12.80000","0.21292","2.42731"
"12.90000","0.21455","2.44091"
"13.00000","0.21614","2.45420"
"13.10000","0.21779","2.46903"
"13.20000","0.21945","2.48467"
"13.30000","0.22110","2.49939"
"13.40000","0.22286","2.51471"
"13.50000","0.22463","2.53115"
"13.60000","0.22640","2.54618"
"13.70000","0.22808","2.56084"
"13.80000","0.22973","2.57336"
"13.90000","0.23140","2.58749"
"14.00000","0.23306","2.59985"
"14.10000","0.23466","2.61218"
"14.20000","0.23634","2.62606"
"14.30000","0.23802","2.64003"
"14.40000","0.23967","2.65328"
"14.50000","0.24133","2.66624"
"14.60000","0.24296","2.67845"
"14.70000","0.24459","2.69117"
"14.80000","0.24621","2.70347"
"14.90000","0.24797","2.71867"
"15.00000","0.24967","2.73317"
"15.10000","0.25134","2.74526"
"15.20000","0.25302","2.75876"
"15.30000","0.25463","2.77104"
"15.40000","0.25623","2.78318"
"15.50000","0.25792","2.79628"
"15.60000","0.25955","2.80974"
"15.70000","0.26121","2.82221"
"15.80000","0.26285","2.83446"
"15.90000","0.26452","2.84516"
"16.00000","0.26621","2.85939"
"16.10000","0.26795","2.87291"
"16.20000","0.26958","2.88372"
"16.30000","0.27122","2.89572"
"16.40000","0.27290","2.90816"
"16.50000","0.27466","2.92165"
"16.60000","0.27632","2.93312"
"16.70000","0.27807","2.94624"
"16.80000","0.27978","2.95876"
"16.90000","0.28145","2.97106"
"17.00000","0.28303","2.98248"
"17.10000","0.28469","2.99414"
"17.20000","0.28635","3.00673"
"17.30000","0.28793","3.01635"
"17.40000","0.28954","3.02929"
"17.50000","0.29120","3.04075"
"17.60000","0.29285","3.05384"
"17.70000","0.29451","3.06709"
"17.80000","0.29619","3.07821"
"17.90000","0.29786","3.09096"
"18.00000","0.29956","3.10239"
"18.10000","0.30119","3.11387"
"18.20000","0.30298","3.12879"
"18.30000","0.30480","3.14284"
"18.40000","0.30649","3.15388"
"18.50000","0.30812","3.16383"
"18.60000","0.30980","3.17573"
"18.70000","0.31145","3.18672"
"18.80000","0.31305","3.19609"
"18.90000","0.31464","3.20701"
"19.00000","0.31620","3.21798"
"19.10000","0.31783","3.22813"
"19.20000","0.31949","3.24071"
"19.30000","0.32113","3.25223"
"19.40000","0.32281","3.26566"
"19.50000","0.32448","3.27707"
"19.60000","0.32616","3.28917"
"19.70000","0.32783","3.30086"
"19.80000","0.32953","3.31207"
"19.90000","0.33117","3.32362"
"20.00000","0.33300","3.33893"
"20.10000","0.33482","3.35146"
"20.20000","0.33649","3.36153"
"20.30000","0.33814","3.37204"
"20.40000","0.33985","3.38440"
"20.50000","0.34152","3.39471"
"20.60000","0.34307","3.40268"
"20.70000","0.34473","3.41395"
"20.80000","0.34637","3.42321"
"20.90000","0.34795","3.43317"
"21.00000","0.34951","3.44284"
"21.10000","0.35112","3.45354"
"21.20000","0.35279","3.46740"
"21.30000","0.35450","3.48002"
"21.40000","0.35613","3.49198"
"21.50000","0.35795","3.50650"
"21.60000","0.35967","3.51896"
"21.70000","0.36136","3.53152"
"21.80000","0.36308","3.54317"
"21.90000","0.36476","3.55659"
"22.00000","0.36641","3.56679"
"22.10000","0.36805","3.57847"
"22.20000","0.36972","3.59057"
"22.30000","0.37135","3.60142"
"22.40000","0.37302","3.61250"
"22.50000","0.37471","3.62462"
"22.60000","0.37637","3.63519"
"22.70000","0.37801","3.64546"
"22.80000","0.37969","3.65782"
"22.90000","0.38131","3.66883"
"23.00000","0.38284","3.67688"
"23.10000","0.38448","3.68793"
"23.20000","0.38614","3.70012"
"23.30000","0.38792","3.71468"
"23.40000","0.38975","3.73028"
"23.50000","0.39141","3.74086"
"23.60000","0.39300","3.75023"
"23.70000","0.39465","3.76145"
"23.80000","0.39638","3.77382"
"23.90000","0.39805","3.78484"
"24.00000","0.39966","3.79585"
"24.10000","0.40134","3.80681"
"24.20000","0.40299","3.81671"
"24.30000","0.40470","3.82760"
"24.40000","0.40634","3.83788"
"24.50000","0.40801","3.84890"
"24.60000","0.40971","3.86057"
"24.70000","0.41137","3.87081"
"24.80000","0.41308","3.88255"
"24.90000","0.41468","3.89078"
"25.00000","0.41630","3.90136"
"25.10000","0.41798","3.91287"
"25.20000","0.41967","3.92429"
"25.30000","0.42137","3.93715"
"25.40000","0.42301","3.94727"
"25.50000","0.42458","3.95560"
"25.60000","0.42618","3.96457"
"25.70000","0.42786","3.97685"
"25.80000","0.42954","3.98743"
"25.90000","0.43121","3.99886"
"26.00000","0.43291","4.00965"
"26.10000","0.43458","4.02146"
"26.20000","0.43625","4.03146"
"26.30000","0.43796","4.04294"
"26.40000","0.43967","4.05403"
"26.50000","0.44139","4.06544"
"26.60000","0.44314","4.07811"
"26.70000","0.44486","4.08880"
"26.80000","0.44651","4.09784"
"26.90000","0.44814","4.10789"
"27.00000","0.44969","4.11687"
"27.10000","0.45128","4.12666"
"27.20000","0.45285","4.13632"
"27.30000","0.45447","4.14723"
"27.40000","0.45619","4.16103"
"27.50000","0.45784","4.17240"
"27.60000","0.45949","4.18427"
"27.70000","0.46119","4.19678"
"27.80000","0.46288","4.20899"
"27.90000","0.46446","4.21795"
"28.00000","0.46628","4.23370"
