General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{6734FC4A-DBB8-46C3-B749-6FD7EF4C17A1}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_4_WR1_3S2"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.34284"
"0.10000","0.00012","0.34360"
"0.20000","0.00069","0.34937"
"0.30000","0.00198","0.36260"
"0.40000","0.00405","0.38149"
"0.50000","0.00659","0.40581"
"0.60000","0.00892","0.42823"
"0.70000","0.01102","0.44797"
"0.80000","0.01285","0.46500"
"0.90000","0.01452","0.47964"
"1.00000","0.01618","0.49413"
"1.10000","0.01789","0.50946"
"1.20000","0.01946","0.52251"
"1.30000","0.02119","0.53804"
"1.40000","0.02291","0.55292"
"1.50000","0.02462","0.56784"
"1.60000","0.02628","0.58237"
"1.70000","0.02789","0.59613"
"1.80000","0.02952","0.61071"
"1.90000","0.03116","0.62495"
"2.00000","0.03285","0.63935"
"2.10000","0.03453","0.65428"
"2.20000","0.03620","0.66871"
"2.30000","0.03782","0.68244"
"2.40000","0.03950","0.69722"
"2.50000","0.04119","0.71166"
"2.60000","0.04287","0.72625"
"2.70000","0.04448","0.73989"
"2.80000","0.04623","0.75496"
"2.90000","0.04805","0.77114"
"3.00000","0.04976","0.78552"
"3.10000","0.05141","0.79949"
"3.20000","0.05307","0.81328"
"3.30000","0.05474","0.82796"
"3.40000","0.05639","0.84203"
"3.50000","0.05802","0.85587"
"3.60000","0.05966","0.86998"
"3.70000","0.06120","0.88267"
"3.80000","0.06279","0.89634"
"3.90000","0.06443","0.91039"
"4.00000","0.06612","0.92518"
"4.10000","0.06779","0.93881"
"4.20000","0.06954","0.95441"
"4.30000","0.07121","0.96815"
"4.40000","0.07288","0.98237"
"4.50000","0.07451","0.99548"
"4.60000","0.07629","1.01154"
"4.70000","0.07809","1.02670"
"4.80000","0.07974","1.04056"
"4.90000","0.08141","1.05410"
"5.00000","0.08308","1.06847"
"5.10000","0.08478","1.08361"
"5.20000","0.08637","1.09636"
"5.30000","0.08804","1.11038"
"5.40000","0.08969","1.12420"
"5.50000","0.09133","1.13793"
"5.60000","0.09299","1.15107"
"5.70000","0.09457","1.16408"
