General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{869E1C98-6054-4F2D-AE98-68F9534E01EE}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_4_WR2_3S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.36797"
"0.10000","0.00008","0.36809"
"0.20000","0.00070","0.37889"
"0.30000","0.00249","0.41476"
"0.40000","0.00490","0.46341"
"0.50000","0.00736","0.51297"
"0.60000","0.00944","0.55483"
"0.70000","0.01111","0.58873"
"0.80000","0.01273","0.62273"
"0.90000","0.01446","0.66141"
"1.00000","0.01614","0.69987"
"1.10000","0.01781","0.73823"
"1.20000","0.01949","0.76432"
"1.30000","0.02110","0.79669"
"1.40000","0.02271","0.83476"
"1.50000","0.02441","0.87535"
"1.60000","0.02606","0.91416"
"1.70000","0.02777","0.95481"
"1.80000","0.02955","0.99609"
"1.90000","0.03130","1.03665"
"2.00000","0.03306","1.07658"
"2.10000","0.03469","1.11278"
"2.20000","0.03634","1.14911"
"2.30000","0.03799","1.18701"
"2.40000","0.03965","1.22460"
"2.50000","0.04126","1.26062"
"2.60000","0.04289","1.29855"
"2.70000","0.04451","1.33571"
"2.80000","0.04617","1.37552"
"2.90000","0.04784","1.41613"
"3.00000","0.04948","1.45559"
"3.10000","0.05117","1.49698"
"3.20000","0.05289","1.53832"
"3.30000","0.05461","1.58006"
"3.40000","0.05630","1.62037"
"3.50000","0.05801","1.66166"
"3.60000","0.05972","1.70211"
"3.70000","0.06143","1.74352"
"3.80000","0.06311","1.78325"
"3.90000","0.06469","1.81987"
"4.00000","0.06631","1.85699"
"4.10000","0.06793","1.89484"
"4.20000","0.06956","1.93306"
"4.30000","0.07120","1.97008"
"4.40000","0.07286","2.00981"
"4.50000","0.07458","2.05169"
"4.60000","0.07628","2.09357"
"4.70000","0.07789","2.13246"
"4.80000","0.07952","2.17347"
"4.90000","0.08123","2.21814"
"5.00000","0.08288","2.26180"
"5.10000","0.08463","2.30680"
"5.20000","0.08636","2.35218"
"5.30000","0.08806","2.39606"
"5.40000","0.08972","2.43754"
"5.50000","0.09139","2.48150"
"5.60000","0.09305","2.52476"
"5.70000","0.09473","2.56758"
"5.80000","0.09635","2.61077"
"5.90000","0.09795","2.65146"
"6.00000","0.09953","2.69048"
"6.10000","0.10120","2.73454"
"6.20000","0.10290","2.77757"
"6.30000","0.10456","2.81883"
"6.40000","0.10617","2.85897"
"6.50000","0.10795","2.90415"
"6.60000","0.10974","2.95099"
"6.70000","0.11141","2.99201"
"6.80000","0.11296","3.03170"
"6.90000","0.11465","3.07647"
"7.00000","0.11640","3.12064"
"7.10000","0.11802","3.16072"
"7.20000","0.11966","3.20224"
"7.30000","0.12129","3.24327"
"7.40000","0.12289","3.28264"
"7.50000","0.12453","3.32380"
"7.60000","0.12621","3.36719"
"7.70000","0.12786","3.40813"
"7.80000","0.12952","3.44931"
"7.90000","0.13126","3.49337"
"8.00000","0.13289","3.53342"
"8.10000","0.13454","3.57289"
"8.20000","0.13626","3.61630"
"8.30000","0.13795","3.65859"
"8.40000","0.13977","3.70344"
"8.50000","0.14147","3.74455"
"8.60000","0.14302","3.77927"
"8.70000","0.14464","3.81859"
"8.80000","0.14635","3.85991"
"8.90000","0.14800","3.89922"
"9.00000","0.14966","3.94026"
"9.10000","0.15128","3.97916"
"9.20000","0.15288","4.01752"
"9.30000","0.15453","4.05729"
"9.40000","0.15622","4.09764"
"9.50000","0.15789","4.13768"
"9.60000","0.15955","4.17653"
"9.70000","0.16119","4.21501"
"9.80000","0.16301","4.26033"
"9.90000","0.16474","4.30201"
"10.00000","0.16639","4.34138"
"10.10000","0.16809","4.38078"
"10.20000","0.16982","4.42193"
"10.30000","0.17145","4.45890"
"10.40000","0.17305","4.49467"
"10.50000","0.17461","4.52986"
"10.60000","0.17615","4.56507"
"10.70000","0.17780","4.60441"
"10.80000","0.17949","4.64519"
"10.90000","0.18118","4.68571"
"11.00000","0.18287","4.72582"
"11.10000","0.18453","4.76302"
"11.20000","0.18618","4.80067"
"11.30000","0.18788","4.83911"
"11.40000","0.18957","4.87708"
"11.50000","0.19125","4.91476"
"11.60000","0.19305","4.95645"
"11.70000","0.19482","4.99706"
"11.80000","0.19651","5.03405"
"11.90000","0.19815","5.06813"
"12.00000","0.19976","5.10194"
"12.10000","0.20140","5.13699"
"12.20000","0.20305","5.17180"
"12.30000","0.20467","5.20470"
"12.40000","0.20628","5.23890"
"12.50000","0.20779","5.26942"
"12.60000","0.20943","5.30409"
"12.70000","0.21115","5.34178"
"12.80000","0.21286","5.37881"
"12.90000","0.21453","5.41295"
"13.00000","0.21618","5.44702"
"13.10000","0.21793","5.48277"
"13.20000","0.21972","5.52087"
"13.30000","0.22143","5.55429"
"13.40000","0.22307","5.58552"
"13.50000","0.22474","5.61794"
"13.60000","0.22642","5.64999"
"13.70000","0.22807","5.68118"
"13.80000","0.22967","5.71056"
"13.90000","0.23136","5.74245"
"14.00000","0.23303","5.77281"
"14.10000","0.23463","5.80214"
"14.20000","0.23622","5.82980"
"14.30000","0.23788","5.85988"
"14.40000","0.23949","5.88979"
"14.50000","0.24113","5.92024"
"14.60000","0.24279","5.95057"
"14.70000","0.24440","5.98118"
"14.80000","0.24624","6.01807"
"14.90000","0.24803","6.05264"
"15.00000","0.24974","6.08315"
"15.10000","0.25141","6.11355"
"15.20000","0.25309","6.14309"
"15.30000","0.25475","6.17150"
"15.40000","0.25637","6.19874"
"15.50000","0.25799","6.22539"
"15.60000","0.25966","6.25395"
"15.70000","0.26133","6.28150"
"15.80000","0.26298","6.30940"
"15.90000","0.26462","6.33676"
"16.00000","0.26628","6.36349"
"16.10000","0.26793","6.39180"
"16.20000","0.26956","6.41726"
"16.30000","0.27128","6.44683"
"16.40000","0.27298","6.47430"
"16.50000","0.27465","6.50204"
"16.60000","0.27632","6.53036"
"16.70000","0.27790","6.55504"
"16.80000","0.27955","6.58290"
"16.90000","0.28128","6.61516"
"17.00000","0.28290","6.64017"
"17.10000","0.28452","6.66546"
"17.20000","0.28619","6.69267"
"17.30000","0.28786","6.71988"
"17.40000","0.28954","6.74707"
"17.50000","0.29127","6.77616"
"17.60000","0.29289","6.79993"
"17.70000","0.29453","6.82536"
"17.80000","0.29625","6.85307"
"17.90000","0.29799","6.88119"
"18.00000","0.29963","6.90589"
"18.10000","0.30139","6.93435"
"18.20000","0.30314","6.96123"
"18.30000","0.30478","6.98470"
"18.40000","0.30637","7.00760"
