General : Start date,"2019-08-29"
General : End date,"2019-08-29"
General : Unique identifier,"{2D36D115-92D8-4DAC-857D-C45A0312D9D4}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_5_WR2_5S1"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.26307"
"0.10000","0.00006","0.26287"
"0.20000","0.00032","0.26486"
"0.30000","0.00088","0.27186"
"0.40000","0.00272","0.30420"
"0.50000","0.00740","0.39107"
"0.60000","0.00958","0.42449"
"0.70000","0.01111","0.44553"
"0.80000","0.01277","0.47060"
"0.90000","0.01452","0.49722"
"1.00000","0.01618","0.52191"
"1.10000","0.01780","0.54518"
"1.20000","0.01954","0.57114"
"1.30000","0.02128","0.59586"
"1.40000","0.02305","0.62154"
"1.50000","0.02477","0.64566"
"1.60000","0.02638","0.66774"
"1.70000","0.02807","0.69100"
"1.80000","0.02973","0.71395"
"1.90000","0.03133","0.73448"
"2.00000","0.03295","0.75550"
"2.10000","0.03456","0.77707"
"2.20000","0.03612","0.79762"
"2.30000","0.03780","0.82104"
"2.40000","0.03954","0.84630"
"2.50000","0.04117","0.86862"
"2.60000","0.04287","0.89317"
"2.70000","0.04454","0.91715"
"2.80000","0.04631","0.94391"
"2.90000","0.04805","0.96936"
"3.00000","0.04977","0.99490"
"3.10000","0.05141","1.01802"
"3.20000","0.05307","1.04305"
"3.30000","0.05475","1.06824"
"3.40000","0.05637","1.09196"
"3.50000","0.05802","1.11678"
"3.60000","0.05968","1.14115"
"3.70000","0.06130","1.16469"
"3.80000","0.06290","1.18786"
"3.90000","0.06457","1.21366"
"4.00000","0.06626","1.23897"
"4.10000","0.06790","1.26385"
"4.20000","0.06949","1.28743"
"4.30000","0.07115","1.31325"
"4.40000","0.07287","1.33970"
"4.50000","0.07453","1.36482"
"4.60000","0.07635","1.39375"
"4.70000","0.07817","1.42348"
"4.80000","0.07975","1.44612"
"4.90000","0.08137","1.46945"
"5.00000","0.08305","1.49615"
"5.10000","0.08469","1.52112"
"5.20000","0.08636","1.54669"
"5.30000","0.08801","1.57187"
"5.40000","0.08966","1.59655"
"5.50000","0.09129","1.62144"
"5.60000","0.09289","1.64550"
"5.70000","0.09456","1.67102"
"5.80000","0.09627","1.69819"
"5.90000","0.09790","1.72305"
"6.00000","0.09955","1.74873"
"6.10000","0.10130","1.77653"
"6.20000","0.10298","1.80266"
"6.30000","0.10469","1.83006"
"6.40000","0.10639","1.85703"
"6.50000","0.10802","1.88186"
"6.60000","0.10968","1.90900"
"6.70000","0.11135","1.93474"
"6.80000","0.11300","1.95985"
"6.90000","0.11461","1.98449"
"7.00000","0.11623","2.00932"
"7.10000","0.11787","2.03450"
"7.20000","0.11957","2.06152"
"7.30000","0.12121","2.08701"
"7.40000","0.12289","2.11428"
"7.50000","0.12456","2.14068"
"7.60000","0.12626","2.16700"
"7.70000","0.12797","2.19427"
"7.80000","0.12968","2.22107"
"7.90000","0.13143","2.24835"
"8.00000","0.13305","2.27267"
"8.10000","0.13470","2.29793"
"8.20000","0.13636","2.32456"
"8.30000","0.13800","2.34972"
"8.40000","0.13960","2.37486"
"8.50000","0.14122","2.40130"
"8.60000","0.14288","2.42619"
"8.70000","0.14452","2.45185"
"8.80000","0.14620","2.47693"
"8.90000","0.14789","2.50437"
"9.00000","0.14953","2.52798"
"9.10000","0.15125","2.55567"
"9.20000","0.15286","2.58041"
"9.30000","0.15463","2.60867"
"9.40000","0.15644","2.63692"
"9.50000","0.15813","2.66132"
"9.60000","0.15978","2.68513"
"9.70000","0.16147","2.70897"
"9.80000","0.16315","2.73311"
"9.90000","0.16475","2.75500"
"10.00000","0.16630","2.77626"
"10.10000","0.16789","2.79887"
"10.20000","0.16947","2.82155"
"10.30000","0.17113","2.84451"
"10.40000","0.17284","2.87144"
"10.50000","0.17449","2.89362"
"10.60000","0.17617","2.91684"
