General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{A2F99CAF-F504-452C-97B3-1435C4AA8255}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_5_WR3_5S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.28904"
"0.10000","0.00004","0.28941"
"0.20000","0.00027","0.29129"
"0.30000","0.00088","0.29738"
"0.40000","0.00298","0.32546"
"0.50000","0.00764","0.38683"
"0.60000","0.00972","0.39717"
"0.70000","0.01124","0.41123"
"0.80000","0.01281","0.42666"
"0.90000","0.01446","0.44272"
"1.00000","0.01602","0.45770"
"1.10000","0.01779","0.47347"
"1.20000","0.01953","0.48411"
"1.30000","0.02120","0.49632"
"1.40000","0.02293","0.51250"
"1.50000","0.02464","0.52736"
"1.60000","0.02632","0.54105"
"1.70000","0.02800","0.55455"
"1.80000","0.02963","0.56571"
"1.90000","0.03126","0.57346"
"2.00000","0.03290","0.58486"
"2.10000","0.03455","0.59834"
"2.20000","0.03621","0.61205"
"2.30000","0.03792","0.62574"
"2.40000","0.03965","0.63930"
"2.50000","0.04136","0.65227"
"2.60000","0.04302","0.66459"
"2.70000","0.04480","0.67202"
"2.80000","0.04642","0.68075"
"2.90000","0.04796","0.69305"
"3.00000","0.04957","0.70635"
"3.10000","0.05125","0.72097"
"3.20000","0.05291","0.73441"
"3.30000","0.05455","0.74735"
"3.40000","0.05621","0.76096"
"3.50000","0.05788","0.77414"
"3.60000","0.05953","0.78250"
"3.70000","0.06120","0.78903"
"3.80000","0.06290","0.80216"
"3.90000","0.06456","0.81572"
"4.00000","0.06625","0.82923"
"4.10000","0.06795","0.84288"
"4.20000","0.06965","0.85591"
"4.30000","0.07127","0.86796"
"4.40000","0.07305","0.88231"
"4.50000","0.07486","0.89586"
"4.60000","0.07653","0.90026"
"4.70000","0.07819","0.91000"
"4.80000","0.07979","0.92300"
"4.90000","0.08136","0.93547"
"5.00000","0.08297","0.94836"
"5.10000","0.08452","0.96059"
"5.20000","0.08612","0.97393"
"5.30000","0.08780","0.98800"
"5.40000","0.08947","1.00088"
"5.50000","0.09116","1.01415"
"5.60000","0.09285","1.02810"
"5.70000","0.09458","1.04172"
"5.80000","0.09624","1.05385"
"5.90000","0.09801","1.06791"
"6.00000","0.09973","1.08079"
"6.10000","0.10142","1.09321"
"6.20000","0.10310","1.10615"
"6.30000","0.10478","1.11790"
"6.40000","0.10647","1.13051"
"6.50000","0.10809","1.14126"
"6.60000","0.10970","1.15316"
"6.70000","0.11134","1.16471"
"6.80000","0.11295","1.17674"
"6.90000","0.11453","1.18747"
"7.00000","0.11615","1.19977"
"7.10000","0.11780","1.21179"
"7.20000","0.11948","1.21301"
"7.30000","0.12120","1.21925"
"7.40000","0.12286","1.23190"
"7.50000","0.12455","1.24630"
"7.60000","0.12616","1.25872"
"7.70000","0.12792","1.27377"
"7.80000","0.12979","1.29002"
"7.90000","0.13150","1.30324"
"8.00000","0.13311","1.31396"
"8.10000","0.13479","1.32692"
"8.20000","0.13649","1.33991"
"8.30000","0.13805","1.35077"
"8.40000","0.13968","1.36312"
"8.50000","0.14136","1.37572"
"8.60000","0.14298","1.38738"
"8.70000","0.14456","1.39804"
"8.80000","0.14625","1.41103"
"8.90000","0.14786","1.42298"
"9.00000","0.14936","1.43414"
"9.10000","0.15113","1.44901"
"9.20000","0.15297","1.46464"
"9.30000","0.15465","1.47730"
"9.40000","0.15629","1.48863"
"9.50000","0.15794","1.50087"
"9.60000","0.15968","1.51402"
"9.70000","0.16138","1.52698"
"9.80000","0.16303","1.53923"
"9.90000","0.16464","1.55060"
"10.00000","0.16631","1.56250"
"10.10000","0.16801","1.57586"
"10.20000","0.16965","1.58739"
"10.30000","0.17124","1.59852"
"10.40000","0.17291","1.61160"
"10.50000","0.17459","1.62411"
"10.60000","0.17625","1.63702"
"10.70000","0.17796","1.65043"
"10.80000","0.17969","1.66418"
"10.90000","0.18123","1.67460"
"11.00000","0.18287","1.68687"
"11.10000","0.18459","1.70085"
"11.20000","0.18627","1.71421"
"11.30000","0.18794","1.72682"
"11.40000","0.18964","1.74011"
"11.50000","0.19126","1.75259"
"11.60000","0.19287","1.76418"
"11.70000","0.19455","1.77779"
"11.80000","0.19619","1.78948"
"11.90000","0.19790","1.80325"
"12.00000","0.19957","1.81635"
"12.10000","0.20122","1.82860"
"12.20000","0.20294","1.84218"
"12.30000","0.20461","1.85458"
"12.40000","0.20630","1.86719"
"12.50000","0.20811","1.88254"
"12.60000","0.20981","1.89406"
"12.70000","0.21143","1.90520"
"12.80000","0.21308","1.90066"
"12.90000","0.21466","1.91230"
"13.00000","0.21622","1.92397"
"13.10000","0.21784","1.93770"
"13.20000","0.21953","1.95297"
"13.30000","0.22119","1.96650"
"13.40000","0.22280","1.98008"
"13.50000","0.22444","1.99341"
"13.60000","0.22615","2.00851"
"13.70000","0.22785","2.02289"
"13.80000","0.22956","2.03707"
"13.90000","0.23123","2.05093"
"14.00000","0.23292","2.06620"
"14.10000","0.23456","2.07905"
"14.20000","0.23628","2.09267"
"14.30000","0.23808","2.10786"
"14.40000","0.23984","2.12280"
"14.50000","0.24152","2.13552"
"14.60000","0.24315","2.14788"
"14.70000","0.24473","2.15939"
"14.80000","0.24638","2.17194"
"14.90000","0.24798","2.18405"
"15.00000","0.24951","2.19574"
"15.10000","0.25116","2.20860"
"15.20000","0.25280","2.22119"
"15.30000","0.25442","2.23462"
"15.40000","0.25615","2.24908"
"15.50000","0.25788","2.26269"
"15.60000","0.25953","2.27518"
"15.70000","0.26121","2.28889"
"15.80000","0.26300","2.30340"
"15.90000","0.26482","2.31852"
"16.00000","0.26651","2.33104"
"16.10000","0.26809","2.34248"
"16.20000","0.26975","2.35480"
"16.30000","0.27144","2.36851"
"16.40000","0.27307","2.38047"
"16.50000","0.27471","2.39223"
"16.60000","0.27637","2.40520"
"16.70000","0.27803","2.41753"
"16.80000","0.27966","2.42933"
"16.90000","0.28122","2.44122"
"17.00000","0.28280","2.45296"
"17.10000","0.28446","2.46665"
"17.20000","0.28611","2.48004"
"17.30000","0.28785","2.49365"
"17.40000","0.28957","2.50719"
"17.50000","0.29121","2.51964"
"17.60000","0.29293","2.53312"
"17.70000","0.29474","2.54904"
"17.80000","0.29650","2.56146"
"17.90000","0.29812","2.57282"
"18.00000","0.29973","2.58385"
"18.10000","0.30137","2.59507"
"18.20000","0.30303","2.60771"
"18.30000","0.30467","2.61899"
"18.40000","0.30637","2.63115"
"18.50000","0.30799","2.64188"
"18.60000","0.30962","2.65389"
"18.70000","0.31131","2.66613"
"18.80000","0.31301","2.67799"
"18.90000","0.31453","2.68767"
"19.00000","0.31620","2.70006"
"19.10000","0.31792","2.71240"
"19.20000","0.31958","2.72486"
"19.30000","0.32125","2.73786"
"19.40000","0.32302","2.75078"
"19.50000","0.32469","2.76262"
"19.60000","0.32628","2.77279"
"19.70000","0.32792","2.78429"
"19.80000","0.32957","2.79483"
"19.90000","0.33121","2.80607"
"20.00000","0.33288","2.81786"
"20.10000","0.33463","2.83018"
"20.20000","0.33624","2.83954"
"20.30000","0.33791","2.85117"
"20.40000","0.33958","2.86182"
"20.50000","0.34126","2.87277"
"20.60000","0.34296","2.88429"
"20.70000","0.34468","2.89588"
"20.80000","0.34637","2.90716"
"20.90000","0.34804","2.91779"
"21.00000","0.34968","2.92893"
"21.10000","0.35139","2.94273"
"21.20000","0.35305","2.95278"
"21.30000","0.35465","2.96286"
"21.40000","0.35626","2.97277"
"21.50000","0.35787","2.98264"
"21.60000","0.35950","2.99320"
"21.70000","0.36118","3.00462"
"21.80000","0.36288","3.01613"
"21.90000","0.36461","3.02836"
"22.00000","0.36630","3.03845"
"22.10000","0.36794","3.04838"
"22.20000","0.36956","3.05758"
"22.30000","0.37141","3.07052"
"22.40000","0.37318","3.08206"
"22.50000","0.37480","3.09091"
"22.60000","0.37646","3.10064"
"22.70000","0.37817","3.11162"
"22.80000","0.37974","3.12033"
"22.90000","0.38128","3.12795"
"23.00000","0.38285","3.13771"
"23.10000","0.38454","3.14982"
"23.20000","0.38617","3.15863"
"23.30000","0.38782","3.16882"
"23.40000","0.38945","3.17881"
"23.50000","0.39110","3.18873"
"23.60000","0.39286","3.20064"
"23.70000","0.39453","3.21085"
"23.80000","0.39624","3.22123"
"23.90000","0.39795","3.23186"
"24.00000","0.39962","3.24109"
"24.10000","0.40141","3.25239"
"24.20000","0.40323","3.26373"
"24.30000","0.40485","3.27221"
