General : Start date,"2019-08-30"
General : End date,"2019-08-30"
General : Unique identifier,"{BC49972B-7CFB-458B-A223-DA3C7AD57A1C}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"E14_5_WR3_2S3"

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.20622"
"0.10000","0.00009","0.20652"
"0.20000","0.00035","0.20746"
"0.30000","0.00162","0.21624"
"0.40000","0.00557","0.24605"
"0.50000","0.00782","0.25880"
"0.60000","0.00955","0.26787"
"0.70000","0.01120","0.27731"
"0.80000","0.01293","0.28634"
"0.90000","0.01464","0.29531"
"1.00000","0.01641","0.30424"
"1.10000","0.01805","0.31139"
"1.20000","0.01963","0.31829"
"1.30000","0.02125","0.32506"
"1.40000","0.02282","0.33190"
"1.50000","0.02442","0.33842"
"1.60000","0.02608","0.34542"
"1.70000","0.02776","0.35231"
"1.80000","0.02945","0.35854"
"1.90000","0.03112","0.36435"
"2.00000","0.03280","0.37010"
"2.10000","0.03450","0.37575"
"2.20000","0.03618","0.38142"
"2.30000","0.03786","0.38720"
"2.40000","0.03971","0.39414"
"2.50000","0.04147","0.39925"
"2.60000","0.04317","0.40460"
"2.70000","0.04477","0.40904"
"2.80000","0.04643","0.41403"
"2.90000","0.04809","0.41877"
"3.00000","0.04971","0.42364"
"3.10000","0.05138","0.42908"
"3.20000","0.05304","0.43433"
"3.30000","0.05468","0.43949"
"3.40000","0.05619","0.44366"
"3.50000","0.05776","0.44911"
"3.60000","0.05951","0.45568"
"3.70000","0.06116","0.46138"
"3.80000","0.06284","0.46745"
"3.90000","0.06458","0.47361"
"4.00000","0.06631","0.48035"
"4.10000","0.06810","0.48673"
"4.20000","0.06974","0.49250"
"4.30000","0.07140","0.49817"
"4.40000","0.07307","0.50402"
"4.50000","0.07471","0.50931"
"4.60000","0.07636","0.51554"
"4.70000","0.07803","0.52164"
"4.80000","0.07966","0.52753"
"4.90000","0.08129","0.53305"
"5.00000","0.08295","0.53927"
"5.10000","0.08457","0.54496"
"5.20000","0.08624","0.55081"
"5.30000","0.08792","0.55684"
"5.40000","0.08952","0.56237"
"5.50000","0.09115","0.56848"
"5.60000","0.09287","0.57534"
"5.70000","0.09461","0.58197"
"5.80000","0.09625","0.58779"
"5.90000","0.09805","0.59510"
"6.00000","0.09975","0.60120"
"6.10000","0.10136","0.60712"
"6.20000","0.10301","0.61294"
"6.30000","0.10468","0.61884"
"6.40000","0.10637","0.62536"
"6.50000","0.10800","0.63134"
"6.60000","0.10961","0.63628"
"6.70000","0.11126","0.64296"
"6.80000","0.11297","0.64932"
"6.90000","0.11471","0.65516"
"7.00000","0.11637","0.65705"
"7.10000","0.11803","0.64395"
"7.20000","0.11980","0.64642"
"7.30000","0.12136","0.64763"
"7.40000","0.12297","0.64978"
"7.50000","0.12464","0.65352"
"7.60000","0.12631","0.65743"
"7.70000","0.12792","0.66086"
"7.80000","0.12954","0.66365"
"7.90000","0.13118","0.66667"
"8.00000","0.13288","0.67136"
"8.10000","0.13453","0.67601"
"8.20000","0.13620","0.68054"
"8.30000","0.13790","0.68598"
"8.40000","0.13957","0.69028"
"8.50000","0.14125","0.69531"
"8.60000","0.14294","0.69986"
"8.70000","0.14466","0.70541"
"8.80000","0.14633","0.71037"
"8.90000","0.14810","0.71592"
"9.00000","0.14984","0.72155"
"9.10000","0.15152","0.72651"
"9.20000","0.15316","0.73235"
"9.30000","0.15477","0.73755"
"9.40000","0.15635","0.74277"
