General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{DD647D3A-CCF9-422D-8BB1-8CC938F70868}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W1 1"
Break (Standard) : Load at Break (Standard),"21.78923",N
Maximum Load : Maximum Load,"21.78923",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.45142"
"0.10000","0.00000","0.45155"
"0.20000","0.00023","0.45371"
"0.30000","0.00083","0.46380"
"0.40000","0.00217","0.48731"
"0.50000","0.00639","0.56762"
"0.60000","0.00934","0.61647"
"0.70000","0.01120","0.64419"
"0.80000","0.01277","0.66711"
"0.90000","0.01465","0.69550"
"1.00000","0.01648","0.72195"
"1.10000","0.01810","0.74444"
"1.20000","0.01983","0.76945"
"1.30000","0.02156","0.79334"
"1.40000","0.02318","0.81578"
"1.50000","0.02484","0.83870"
"1.60000","0.02644","0.86086"
"1.70000","0.02803","0.88262"
"1.80000","0.02974","0.90649"
"1.90000","0.03140","0.92890"
"2.00000","0.03302","0.95101"
"2.10000","0.03472","0.97437"
"2.20000","0.03644","0.99834"
"2.30000","0.03808","1.02005"
"2.40000","0.03971","1.04137"
"2.50000","0.04129","1.06163"
"2.60000","0.04286","1.08170"
"2.70000","0.04459","1.10530"
"2.80000","0.04625","1.12660"
"2.90000","0.04791","1.14785"
"3.00000","0.04964","1.17003"
"3.10000","0.05135","1.19135"
"3.20000","0.05312","1.21476"
"3.30000","0.05482","1.23763"
"3.40000","0.05640","1.25719"
"3.50000","0.05802","1.27823"
"3.60000","0.05963","1.29912"
"3.70000","0.06116","1.31873"
"3.80000","0.06279","1.34082"
"3.90000","0.06451","1.36442"
"4.00000","0.06620","1.38749"
"4.10000","0.06792","1.41130"
"4.20000","0.06973","1.43736"
"4.30000","0.07146","1.46107"
"4.40000","0.07318","1.48541"
"4.50000","0.07490","1.50929"
"4.60000","0.07660","1.53234"
"4.70000","0.07836","1.55724"
"4.80000","0.08001","1.57878"
"4.90000","0.08158","1.59913"
"5.00000","0.08316","1.61980"
"5.10000","0.08475","1.63982"
"5.20000","0.08643","1.66268"
"5.30000","0.08810","1.68499"
"5.40000","0.08979","1.70701"
"5.50000","0.09144","1.72815"
"5.60000","0.09297","1.74717"
"5.70000","0.09454","1.76731"
"5.80000","0.09618","1.78991"
"5.90000","0.09793","1.81410"
"6.00000","0.09952","1.83360"
"6.10000","0.10121","1.85677"
"6.20000","0.10284","1.87759"
"6.30000","0.10449","1.89923"
"6.40000","0.10616","1.92170"
"6.50000","0.10783","1.94277"
"6.60000","0.10944","1.96328"
"6.70000","0.11109","1.98354"
"6.80000","0.11278","2.00493"
"6.90000","0.11443","2.02550"
"7.00000","0.11613","2.04729"
"7.10000","0.11783","2.06927"
"7.20000","0.11952","2.09045"
"7.30000","0.12111","2.10848"
"7.40000","0.12283","2.13080"
"7.50000","0.12458","2.15280"
"7.60000","0.12624","2.17351"
"7.70000","0.12785","2.19296"
"7.80000","0.12950","2.21304"
"7.90000","0.13106","2.23120"
"8.00000","0.13269","2.25071"
"8.10000","0.13436","2.27214"
"8.20000","0.13602","2.29240"
"8.30000","0.13764","2.31240"
"8.40000","0.13927","2.33183"
"8.50000","0.14097","2.35330"
"8.60000","0.14261","2.37199"
"8.70000","0.14429","2.39225"
"8.80000","0.14599","2.41200"
"8.90000","0.14769","2.43191"
"9.00000","0.14928","2.44884"
"9.10000","0.15095","2.46866"
"9.20000","0.15293","2.49594"
"9.30000","0.15472","2.51736"
"9.40000","0.15642","2.53658"
"9.50000","0.15825","2.55342"
"9.60000","0.15964","2.56649"
"9.70000","0.16143","2.59147"
"9.80000","0.16315","2.61209"
"9.90000","0.16476","2.63073"
"10.00000","0.16641","2.65104"
"10.10000","0.16803","2.67043"
"10.20000","0.16973","2.69256"
"10.30000","0.17144","2.71419"
"10.40000","0.17314","2.73539"
"10.50000","0.17484","2.75638"
"10.60000","0.17639","2.77375"
"10.70000","0.17828","2.80020"
"10.80000","0.18001","2.82132"
"10.90000","0.18160","2.83783"
"11.00000","0.18328","2.85781"
"11.10000","0.18493","2.87701"
"11.20000","0.18656","2.89581"
"11.30000","0.18812","2.91286"
"11.40000","0.18974","2.93046"
"11.50000","0.19138","2.94973"
"11.60000","0.19296","2.96665"
"11.70000","0.19452","2.98331"
"11.80000","0.19612","3.00159"
"11.90000","0.19774","3.02149"
"12.00000","0.19933","3.03984"
"12.10000","0.20102","3.06078"
"12.20000","0.20270","3.08218"
"12.30000","0.20441","3.10345"
"12.40000","0.20607","3.12345"
"12.50000","0.20774","3.14316"
"12.60000","0.20962","3.16876"
"12.70000","0.21137","3.18956"
"12.80000","0.21297","3.20587"
"12.90000","0.21450","3.22018"
"13.00000","0.21609","3.23653"
"13.10000","0.21772","3.25424"
"13.20000","0.21928","3.26975"
"13.30000","0.22090","3.28656"
"13.40000","0.22250","3.30209"
