General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{5D62F293-4884-4002-B1E5-108A5BD6D0C9}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P6 W2 1"
Break (Standard) : Load at Break (Standard),"27.05068",N
Maximum Load : Maximum Load,"29.84427",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.83168"
"0.10000","0.00010","0.83336"
"0.20000","0.00097","0.85767"
"0.30000","0.00297","0.91171"
"0.40000","0.00501","0.96335"
"0.50000","0.00701","1.00975"
"0.60000","0.00891","1.05467"
"0.70000","0.01074","1.09690"
"0.80000","0.01251","1.13556"
"0.90000","0.01424","1.17307"
"1.00000","0.01598","1.21091"
"1.10000","0.01786","1.25229"
"1.20000","0.01969","1.29135"
"1.30000","0.02138","1.32643"
"1.40000","0.02305","1.35971"
"1.50000","0.02474","1.39467"
"1.60000","0.02641","1.42926"
"1.70000","0.02814","1.45652"
"1.80000","0.02953","1.48463"
"1.90000","0.03125","1.52143"
"2.00000","0.03292","1.55532"
"2.10000","0.03453","1.58780"
"2.20000","0.03620","1.62293"
"2.30000","0.03783","1.65567"
"2.40000","0.03941","1.68752"
"2.50000","0.04113","1.72303"
"2.60000","0.04287","1.75830"
"2.70000","0.04456","1.79192"
"2.80000","0.04620","1.82372"
"2.90000","0.04793","1.85846"
"3.00000","0.04970","1.89418"
"3.10000","0.05138","1.92644"
"3.20000","0.05298","1.95565"
"3.30000","0.05454","1.98464"
"3.40000","0.05614","2.01493"
"3.50000","0.05766","2.04201"
"3.60000","0.05926","2.07151"
"3.70000","0.06095","2.10314"
"3.80000","0.06265","2.13489"
"3.90000","0.06458","2.16371"
"4.00000","0.06601","2.18719"
"4.10000","0.06774","2.22212"
"4.20000","0.06944","2.25491"
"4.30000","0.07111","2.28748"
"4.40000","0.07296","2.32509"
"4.50000","0.07488","2.36406"
"4.60000","0.07654","2.39369"
"4.70000","0.07814","2.42244"
"4.80000","0.07985","2.45592"
"4.90000","0.08155","2.48802"
"5.00000","0.08323","2.51930"
"5.10000","0.08482","2.54825"
"5.20000","0.08642","2.57791"
