General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{7F195BDB-EE90-46D7-8850-0E779F89F3F6}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W2 2"
Break (Standard) : Load at Break (Standard),"31.96914",N
Maximum Load : Maximum Load,"37.37822",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.72805"
"0.10000","0.00009","0.72921"
"0.20000","0.00035","0.73561"
"0.30000","0.00238","0.80364"
"0.40000","0.00527","0.89268"
"0.50000","0.00740","0.95207"
"0.60000","0.00928","1.00211"
"0.70000","0.01105","1.04673"
"0.80000","0.01280","1.09170"
"0.90000","0.01453","1.13375"
"1.00000","0.01618","1.17280"
"1.10000","0.01778","1.21063"
"1.20000","0.01953","1.25202"
"1.30000","0.02125","1.29154"
"1.40000","0.02299","1.33167"
"1.50000","0.02465","1.36846"
"1.60000","0.02626","1.40345"
"1.70000","0.02799","1.44258"
"1.80000","0.02979","1.48268"
"1.90000","0.03147","1.51879"
"2.00000","0.03306","1.55248"
"2.10000","0.03473","1.58832"
"2.20000","0.03635","1.62212"
"2.30000","0.03795","1.65476"
"2.40000","0.03952","1.68678"
"2.50000","0.04114","1.72009"
"2.60000","0.04282","1.75519"
"2.70000","0.04454","1.79129"
"2.80000","0.04625","1.82576"
"2.90000","0.04789","1.85864"
"3.00000","0.04954","1.89192"
"3.10000","0.05123","1.92642"
"3.20000","0.05287","1.95837"
"3.30000","0.05456","1.99256"
"3.40000","0.05627","2.02661"
"3.50000","0.05798","2.06056"
"3.60000","0.05969","2.09350"
"3.70000","0.06135","2.12574"
"3.80000","0.06297","2.15574"
"3.90000","0.06454","2.18377"
"4.00000","0.06618","2.21564"
"4.10000","0.06785","2.24701"
"4.20000","0.06947","2.27653"
"4.30000","0.07108","2.30658"
"4.40000","0.07271","2.33732"
"4.50000","0.07445","2.37063"
"4.60000","0.07620","2.40398"
"4.70000","0.07792","2.43517"
"4.80000","0.07950","2.46251"
"4.90000","0.08121","2.49504"
"5.00000","0.08308","2.53192"
"5.10000","0.08480","2.56258"
"5.20000","0.08637","2.58826"
"5.30000","0.08807","2.61925"
"5.40000","0.08973","2.64805"
"5.50000","0.09134","2.67605"
"5.60000","0.09288","2.70182"
"5.70000","0.09444","2.72815"
"5.80000","0.09604","2.75668"
"5.90000","0.09768","2.78597"
"6.00000","0.09931","2.81453"
"6.10000","0.10095","2.84241"
"6.20000","0.10260","2.87152"
"6.30000","0.10424","2.89982"
"6.40000","0.10595","2.93016"
"6.50000","0.10773","2.96315"
"6.60000","0.10952","2.99456"
"6.70000","0.11122","3.02319"
"6.80000","0.11293","3.05159"
