General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{49155303-BDBB-40A6-825A-0ECEC8AC7295}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P4 W2 2"
Break (Standard) : Load at Break (Standard),"35.99910",N
Maximum Load : Maximum Load,"40.85575",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.57631"
"0.10000","0.00005","0.57793"
"0.20000","0.00033","0.58433"
"0.30000","0.00109","0.60978"
"0.40000","0.00311","0.67960"
"0.50000","0.00828","0.85501"
"0.60000","0.01003","0.89947"
"0.70000","0.01137","0.93424"
"0.80000","0.01307","0.98303"
"0.90000","0.01477","1.03062"
"1.00000","0.01644","1.07591"
"1.10000","0.01812","1.12222"
"1.20000","0.01979","1.16706"
"1.30000","0.02149","1.21369"
"1.40000","0.02311","1.25732"
"1.50000","0.02470","1.30041"
"1.60000","0.02631","1.34272"
"1.70000","0.02803","1.38834"
"1.80000","0.02975","1.43328"
"1.90000","0.03138","1.47501"
"2.00000","0.03309","1.51991"
"2.10000","0.03482","1.56469"
"2.20000","0.03650","1.60636"
"2.30000","0.03809","1.64545"
"2.40000","0.03974","1.68655"
"2.50000","0.04136","1.72511"
"2.60000","0.04301","1.76555"
"2.70000","0.04471","1.80697"
"2.80000","0.04640","1.84758"
"2.90000","0.04805","1.88684"
"3.00000","0.04969","1.92642"
"3.10000","0.05139","1.96706"
"3.20000","0.05297","2.00334"
"3.30000","0.05477","2.04760"
"3.40000","0.05643","2.08676"
"3.50000","0.05798","2.12127"
"3.60000","0.05964","2.16092"
"3.70000","0.06128","2.19916"
"3.80000","0.06289","2.23633"
"3.90000","0.06451","2.27354"
"4.00000","0.06614","2.31160"
"4.10000","0.06779","2.35027"
"4.20000","0.06943","2.38756"
"4.30000","0.07105","2.42351"
"4.40000","0.07277","2.46346"
"4.50000","0.07447","2.50263"
"4.60000","0.07611","2.53802"
"4.70000","0.07772","2.57100"
"4.80000","0.07932","2.60422"
"4.90000","0.08084","2.63449"
"5.00000","0.08264","2.67653"
"5.10000","0.08448","2.71815"
"5.20000","0.08625","2.75529"
"5.30000","0.08785","2.78680"
"5.40000","0.08948","2.82128"
"5.50000","0.09120","2.85881"
"5.60000","0.09287","2.89480"
"5.70000","0.09451","2.92956"
"5.80000","0.09620","2.96579"
"5.90000","0.09786","3.00191"
"6.00000","0.09951","3.03700"
"6.10000","0.10117","3.07235"
