General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{308B4CB8-0FDB-4210-9165-522049CFE307}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 3"
Break (Standard) : Load at Break (Standard),"21.56440",N
Maximum Load : Maximum Load,"27.29908",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.72491"
"0.10000","0.00004","0.72609"
"0.20000","0.00034","0.73002"
"0.30000","0.00113","0.74511"
"0.40000","0.00261","0.77367"
"0.50000","0.00634","0.85059"
"0.60000","0.00942","0.90510"
"0.70000","0.01117","0.93102"
"0.80000","0.01279","0.95611"
"0.90000","0.01442","0.98192"
"1.00000","0.01602","1.00736"
"1.10000","0.01770","1.03376"
"1.20000","0.01949","1.06238"
"1.30000","0.02122","1.08832"
"1.40000","0.02285","1.11340"
"1.50000","0.02441","1.13590"
"1.60000","0.02602","1.16052"
"1.70000","0.02768","1.18479"
"1.80000","0.02937","1.20934"
"1.90000","0.03103","1.23360"
"2.00000","0.03272","1.25855"
"2.10000","0.03453","1.28501"
"2.20000","0.03633","1.31159"
"2.30000","0.03807","1.33554"
"2.40000","0.03953","1.35403"
"2.50000","0.04138","1.38224"
"2.60000","0.04313","1.40726"
"2.70000","0.04475","1.42933"
"2.80000","0.04641","1.45328"
"2.90000","0.04807","1.47639"
"3.00000","0.04968","1.49884"
"3.10000","0.05118","1.51878"
"3.20000","0.05271","1.53996"
"3.30000","0.05438","1.56568"
"3.40000","0.05606","1.58922"
"3.50000","0.05769","1.61276"
"3.60000","0.05939","1.63872"
"3.70000","0.06111","1.66358"
"3.80000","0.06284","1.68889"
"3.90000","0.06466","1.71622"
"4.00000","0.06646","1.74328"
"4.10000","0.06825","1.76989"
"4.20000","0.06991","1.79182"
"4.30000","0.07167","1.81846"
"4.40000","0.07354","1.84798"
"4.50000","0.07528","1.87289"
"4.60000","0.07687","1.89372"
"4.70000","0.07846","1.91719"
"4.80000","0.08003","1.93934"
"4.90000","0.08164","1.96425"
"5.00000","0.08311","1.98653"
"5.10000","0.08461","2.00897"
"5.20000","0.08620","2.03290"
"5.30000","0.08783","2.05944"
"5.40000","0.08944","2.08353"
"5.50000","0.09112","2.11223"
"5.60000","0.09278","2.13829"
"5.70000","0.09435","2.16307"
"5.80000","0.09609","2.19210"
"5.90000","0.09774","2.21815"
"6.00000","0.09942","2.24493"
"6.10000","0.10117","2.27585"
"6.20000","0.10288","2.30324"
"6.30000","0.10452","2.32786"
"6.40000","0.10619","2.35514"
"6.50000","0.10788","2.38198"
"6.60000","0.10952","2.40736"
"6.70000","0.11117","2.43426"
"6.80000","0.11285","2.46180"
"6.90000","0.11453","2.48923"
"7.00000","0.11612","2.51260"
"7.10000","0.11766","2.53501"
"7.20000","0.11934","2.56297"
"7.30000","0.12105","2.59083"
"7.40000","0.12275","2.61899"
"7.50000","0.12447","2.64709"
"7.60000","0.12626","2.67907"
"7.70000","0.12813","2.71175"
"7.80000","0.12989","2.73982"
"7.90000","0.13153","2.76570"
"8.00000","0.13314","2.79051"
"8.10000","0.13478","2.81740"
"8.20000","0.13647","2.84606"
"8.30000","0.13816","2.87446"
"8.40000","0.13976","2.89781"
"8.50000","0.14134","2.92412"
"8.60000","0.14295","2.94932"
"8.70000","0.14461","2.97625"
"8.80000","0.14627","3.00365"
"8.90000","0.14792","3.03011"
"9.00000","0.14951","3.05511"
"9.10000","0.15123","3.08449"
"9.20000","0.15301","3.11519"
"9.30000","0.15475","3.14497"
"9.40000","0.15643","3.17137"
"9.50000","0.15806","3.19652"
"9.60000","0.15971","3.22256"
"9.70000","0.16130","3.24744"
"9.80000","0.16286","3.27149"
"9.90000","0.16442","3.29428"
"10.00000","0.16609","3.32184"
"10.10000","0.16778","3.34905"
"10.20000","0.16942","3.37415"
"10.30000","0.17107","3.39959"
"10.40000","0.17278","3.42639"
"10.50000","0.17447","3.45130"
"10.60000","0.17612","3.47764"
"10.70000","0.17780","3.50332"
"10.80000","0.17954","3.53188"
"10.90000","0.18124","3.55863"
"11.00000","0.18290","3.58522"
"11.10000","0.18462","3.61270"
"11.20000","0.18635","3.64131"
"11.30000","0.18807","3.66859"
"11.40000","0.18972","3.69380"
"11.50000","0.19136","3.71918"
"11.60000","0.19304","3.74633"
"11.70000","0.19468","3.77157"
"11.80000","0.19640","3.80119"
"11.90000","0.19811","3.82898"
"12.00000","0.19981","3.85689"
"12.10000","0.20149","3.88401"
"12.20000","0.20311","3.90872"
"12.30000","0.20476","3.93631"
