General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{C7AC5AC8-BE10-42A7-A345-62D77DDE9066}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P6 W2 3"
Break (Standard) : Load at Break (Standard),"30.09903",N
Maximum Load : Maximum Load,"37.98857",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.52125"
"0.10000","0.00006","0.52316"
"0.20000","0.00030","0.52986"
"0.30000","0.00153","0.57669"
"0.40000","0.00549","0.72786"
"0.50000","0.00786","0.80351"
"0.60000","0.00955","0.85490"
"0.70000","0.01100","0.89761"
"0.80000","0.01272","0.95315"
"0.90000","0.01444","1.00628"
"1.00000","0.01605","1.05637"
"1.10000","0.01773","1.10937"
"1.20000","0.01948","1.16311"
"1.30000","0.02114","1.21256"
"1.40000","0.02277","1.26069"
"1.50000","0.02442","1.30861"
"1.60000","0.02611","1.35827"
"1.70000","0.02776","1.40489"
"1.80000","0.02938","1.44959"
"1.90000","0.03101","1.49375"
"2.00000","0.03267","1.53792"
"2.10000","0.03439","1.58420"
"2.20000","0.03611","1.63007"
"2.30000","0.03787","1.67642"
"2.40000","0.03948","1.71625"
"2.50000","0.04132","1.76692"
"2.60000","0.04326","1.81897"
"2.70000","0.04497","1.86091"
"2.80000","0.04657","1.89825"
"2.90000","0.04822","1.93913"
"3.00000","0.04987","1.97796"
"3.10000","0.05146","2.01416"
"3.20000","0.05299","2.04863"
"3.30000","0.05460","2.08647"
"3.40000","0.05617","2.12134"
"3.50000","0.05782","2.16131"
"3.60000","0.05952","2.20235"
"3.70000","0.06113","2.23809"
"3.80000","0.06284","2.27869"
"3.90000","0.06455","2.31792"
"4.00000","0.06618","2.35372"
"4.10000","0.06808","2.40430"
"4.20000","0.06982","2.45023"
"4.30000","0.07146","2.49350"
"4.40000","0.07315","2.54097"
"4.50000","0.07484","2.58876"
"4.60000","0.07646","2.63486"
"4.70000","0.07806","2.67912"
"4.80000","0.07972","2.72792"
"4.90000","0.08137","2.77461"
"5.00000","0.08297","2.82140"
"5.10000","0.08456","2.86807"
"5.20000","0.08622","2.91817"
"5.30000","0.08787","2.96764"
"5.40000","0.08966","3.02267"
"5.50000","0.09137","3.07318"
"5.60000","0.09304","3.12275"
"5.70000","0.09465","3.16847"
"5.80000","0.09629","3.21697"
"5.90000","0.09807","3.27223"
"6.00000","0.09988","3.32565"
"6.10000","0.10141","3.36495"
"6.20000","0.10297","3.40792"
"6.30000","0.10467","3.45805"
"6.40000","0.10635","3.50604"
"6.50000","0.10792","3.54831"
"6.60000","0.10949","3.59111"
"6.70000","0.11125","3.64352"
"6.80000","0.11288","3.68862"
"6.90000","0.11449","3.73314"
"7.00000","0.11609","3.77774"
"7.10000","0.11776","3.82624"
"7.20000","0.11939","3.87264"
"7.30000","0.12115","3.92479"
"7.40000","0.12302","3.98093"
"7.50000","0.12477","4.02959"
"7.60000","0.12638","4.07181"
"7.70000","0.12807","4.11782"
"7.80000","0.12971","4.16189"
"7.90000","0.13136","4.20710"
"8.00000","0.13304","4.25083"
"8.10000","0.13469","4.29572"
"8.20000","0.13634","4.33948"
"8.30000","0.13798","4.38320"
"8.40000","0.13962","4.42425"
"8.50000","0.14130","4.47036"
"8.60000","0.14306","4.51917"
"8.70000","0.14464","4.55808"
"8.80000","0.14614","4.59455"
"8.90000","0.14776","4.63778"
"9.00000","0.14936","4.67874"
"9.10000","0.15105","4.72576"
"9.20000","0.15283","4.77695"
"9.30000","0.15458","4.82324"
"9.40000","0.15622","4.86363"
"9.50000","0.15784","4.90469"
"9.60000","0.15946","4.94509"
"9.70000","0.16110","4.98622"
"9.80000","0.16279","5.02959"
"9.90000","0.16451","5.07398"
"10.00000","0.16616","5.11386"
"10.10000","0.16785","5.15659"
"10.20000","0.16953","5.19787"
"10.30000","0.17123","5.23938"
"10.40000","0.17289","5.27961"
"10.50000","0.17458","5.31949"
"10.60000","0.17641","5.36752"
"10.70000","0.17825","5.41546"
"10.80000","0.17990","5.45258"
"10.90000","0.18145","5.48563"
"11.00000","0.18302","5.52207"
"11.10000","0.18471","5.56532"
"11.20000","0.18634","5.60423"
"11.30000","0.18799","5.64538"
"11.40000","0.18963","5.68537"
"11.50000","0.19125","5.72496"
"11.60000","0.19286","5.76255"
"11.70000","0.19454","5.80616"
"11.80000","0.19627","5.85062"
"11.90000","0.19798","5.89429"
"12.00000","0.19970","5.93892"
"12.10000","0.20142","5.98308"
"12.20000","0.20302","6.01960"
"12.30000","0.20460","6.05687"
"12.40000","0.20654","6.11535"
"12.50000","0.20851","6.17145"
"12.60000","0.21018","6.21017"
"12.70000","0.21172","6.24357"
"12.80000","0.21328","6.28110"
"12.90000","0.21487","6.32174"
"13.00000","0.21646","6.36217"
"13.10000","0.21809","6.40521"
"13.20000","0.21977","6.46014"
"13.30000","0.22155","6.51195"
"13.40000","0.22298","6.54020"
"13.50000","0.22465","6.58569"
"13.60000","0.22634","6.63082"
"13.70000","0.22792","6.66847"
"13.80000","0.22946","6.70630"
"13.90000","0.23121","6.75578"
"14.00000","0.23287","6.79830"
"14.10000","0.23457","6.84257"
"14.20000","0.23624","6.88497"
"14.30000","0.23793","6.92818"
"14.40000","0.23959","6.96877"
"14.50000","0.24123","7.00719"
"14.60000","0.24285","7.04304"
"14.70000","0.24444","7.07883"
"14.80000","0.24601","7.11381"
"14.90000","0.24765","7.15379"
"15.00000","0.24931","7.19549"
"15.10000","0.25091","7.23366"
"15.20000","0.25249","7.26997"
"15.30000","0.25411","7.30947"
"15.40000","0.25582","7.35363"
"15.50000","0.25755","7.39910"
"15.60000","0.25925","7.44006"
"15.70000","0.26126","7.51324"
"15.80000","0.26303","7.54993"
"15.90000","0.26472","7.58643"
"16.00000","0.26638","7.62226"
"16.10000","0.26805","7.65959"
"16.20000","0.26969","7.69574"
"16.30000","0.27135","7.73359"
"16.40000","0.27301","7.77187"
"16.50000","0.27458","7.80433"
"16.60000","0.27617","7.83785"
"16.70000","0.27783","7.87758"
"16.80000","0.27950","7.91703"
"16.90000","0.28111","7.95267"
"17.00000","0.28263","7.98280"
"17.10000","0.28437","8.02932"
"17.20000","0.28616","8.07651"
"17.30000","0.28786","8.11588"
"17.40000","0.28956","8.15521"
"17.50000","0.29123","8.19377"
"17.60000","0.29313","8.26162"
"17.70000","0.29469","8.28560"
"17.80000","0.29610","8.30621"
"17.90000","0.29770","8.34172"
"18.00000","0.29940","8.38316"
"18.10000","0.30116","8.42545"
"18.20000","0.30284","8.46204"
"18.30000","0.30446","8.49513"
"18.40000","0.30611","8.53097"
"18.50000","0.30779","8.56774"
"18.60000","0.30940","8.59987"
"18.70000","0.31109","8.63796"
"18.80000","0.31280","8.67757"
"18.90000","0.31449","8.71518"
"19.00000","0.31614","8.75083"
"19.10000","0.31822","8.82703"
"19.20000","0.31989","8.85573"
"19.30000","0.32151","8.88605"
"19.40000","0.32323","8.92493"
"19.50000","0.32490","8.96035"
"19.60000","0.32650","8.99240"
"19.70000","0.32805","9.02230"
"19.80000","0.32968","9.05838"
"19.90000","0.33136","9.09780"
"20.00000","0.33305","9.13715"
"20.10000","0.33473","9.17489"
"20.20000","0.33641","9.21194"
"20.30000","0.33795","9.24103"
"20.40000","0.33980","9.29130"
"20.50000","0.34155","9.33178"
"20.60000","0.34312","9.36100"
"20.70000","0.34480","9.40630"
"20.80000","0.34658","9.45041"
"20.90000","0.34805","9.46920"
"21.00000","0.34958","9.49795"
"21.10000","0.35112","9.52769"
"21.20000","0.35280","9.56778"
"21.30000","0.35454","9.61067"
"21.40000","0.35617","9.64414"
"21.50000","0.35782","9.68046"
"21.60000","0.35947","9.71464"
"21.70000","0.36117","9.75406"
"21.80000","0.36287","9.79116"
"21.90000","0.36455","9.82778"
"22.00000","0.36627","9.86836"
"22.10000","0.36792","9.90095"
"22.20000","0.36965","9.94149"
"22.30000","0.37163","9.99651"
"22.40000","0.37350","10.03982"
"22.50000","0.37520","10.07963"
"22.60000","0.37651","10.08558"
"22.70000","0.37816","10.12290"
"22.80000","0.37992","10.16444"
"22.90000","0.38150","10.19315"
"23.00000","0.38305","10.22157"
"23.10000","0.38470","10.25922"
"23.20000","0.38637","10.29768"
"23.30000","0.38800","10.33182"
"23.40000","0.38971","10.37414"
"23.50000","0.39138","10.41117"
"23.60000","0.39299","10.44459"
