General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{2C230B81-52F0-473F-9BB5-E992C78F46A2}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W3 2"
Break (Standard) : Load at Break (Standard),"30.55741",N
Maximum Load : Maximum Load,"45.85977",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.35126"
"0.10000","0.00000","0.35174"
"0.20000","0.00026","0.35463"
"0.30000","0.00099","0.36896"
"0.40000","0.00400","0.42961"
"0.50000","0.00778","0.49553"
"0.60000","0.00968","0.52123"
"0.70000","0.01131","0.54363"
"0.80000","0.01305","0.56925"
"0.90000","0.01473","0.59187"
"1.00000","0.01628","0.61253"
"1.10000","0.01789","0.63455"
"1.20000","0.01964","0.65883"
"1.30000","0.02128","0.67929"
"1.40000","0.02293","0.70048"
"1.50000","0.02451","0.72052"
"1.60000","0.02612","0.74104"
"1.70000","0.02778","0.76198"
"1.80000","0.02940","0.78090"
"1.90000","0.03106","0.80159"
"2.00000","0.03281","0.82365"
"2.10000","0.03447","0.84263"
"2.20000","0.03616","0.86268"
"2.30000","0.03780","0.88167"
"2.40000","0.03942","0.90109"
"2.50000","0.04107","0.92084"
"2.60000","0.04284","0.94390"
"2.70000","0.04458","0.96509"
"2.80000","0.04632","0.98677"
"2.90000","0.04809","1.00821"
"3.00000","0.04970","1.02593"
"3.10000","0.05130","1.04397"
"3.20000","0.05286","1.06194"
"3.30000","0.05449","1.08272"
"3.40000","0.05621","1.10498"
"3.50000","0.05786","1.12393"
"3.60000","0.05948","1.14334"
"3.70000","0.06116","1.16469"
"3.80000","0.06279","1.18428"
"3.90000","0.06439","1.20372"
"4.00000","0.06610","1.22513"
"4.10000","0.06783","1.24719"
"4.20000","0.06948","1.26706"
"4.30000","0.07120","1.29032"
"4.40000","0.07288","1.31118"
"4.50000","0.07446","1.32994"
"4.60000","0.07600","1.34995"
"4.70000","0.07755","1.37057"
"4.80000","0.07923","1.39572"
"4.90000","0.08082","1.41830"
"5.00000","0.08245","1.44303"
"5.10000","0.08408","1.46854"
"5.20000","0.08577","1.49489"
"5.30000","0.08754","1.52412"
"5.40000","0.08932","1.55399"
"5.50000","0.09114","1.58640"
"5.60000","0.09289","1.61743"
"5.70000","0.09446","1.64451"
"5.80000","0.09630","1.68241"
"5.90000","0.09819","1.72072"
"6.00000","0.09984","1.75017"
"6.10000","0.10146","1.78085"
"6.20000","0.10318","1.81483"
"6.30000","0.10480","1.84576"
"6.40000","0.10642","1.87687"
"6.50000","0.10800","1.90754"
"6.60000","0.10956","1.93773"
"6.70000","0.11114","1.96899"
"6.80000","0.11276","2.00168"
"6.90000","0.11449","2.03931"
"7.00000","0.11621","2.07452"
"7.10000","0.11790","2.10966"
"7.20000","0.11945","2.13790"
"7.30000","0.12123","2.17702"
"7.40000","0.12295","2.21194"
"7.50000","0.12463","2.24514"
"7.60000","0.12625","2.27627"
"7.70000","0.12789","2.30898"
"7.80000","0.12960","2.34393"
"7.90000","0.13125","2.37630"
"8.00000","0.13288","2.40780"
"8.10000","0.13453","2.44117"
"8.20000","0.13624","2.47739"
"8.30000","0.13793","2.51194"
"8.40000","0.13956","2.54561"
"8.50000","0.14119","2.57796"
"8.60000","0.14282","2.61188"
"8.70000","0.14448","2.64758"
"8.80000","0.14614","2.68280"
"8.90000","0.14782","2.71796"
"9.00000","0.14947","2.75118"
"9.10000","0.15112","2.78481"
"9.20000","0.15291","2.82553"
"9.30000","0.15474","2.86786"
"9.40000","0.15651","2.90629"
"9.50000","0.15815","2.93782"
"9.60000","0.15972","2.96637"
"9.70000","0.16138","3.00163"
"9.80000","0.16305","3.03724"
"9.90000","0.16467","3.07109"
"10.00000","0.16628","3.10337"
"10.10000","0.16786","3.13476"
"10.20000","0.16946","3.16838"
"10.30000","0.17110","3.20453"
"10.40000","0.17275","3.24056"
"10.50000","0.17431","3.27245"
"10.60000","0.17603","3.31092"
"10.70000","0.17772","3.34845"
"10.80000","0.17933","3.38117"
"10.90000","0.18110","3.42294"
"11.00000","0.18291","3.46268"
"11.10000","0.18462","3.49862"
"11.20000","0.18640","3.54013"
"11.30000","0.18822","3.58220"
"11.40000","0.18993","3.61856"
"11.50000","0.19157","3.65247"
"11.60000","0.19327","3.69140"
"11.70000","0.19493","3.72935"
"11.80000","0.19660","3.76647"
"11.90000","0.19838","3.81260"
"12.00000","0.20005","3.84985"
"12.10000","0.20163","3.88295"
"12.20000","0.20320","3.91799"
"12.30000","0.20476","3.95167"
"12.40000","0.20640","3.99385"
"12.50000","0.20812","4.03925"
"12.60000","0.20979","4.07970"
"12.70000","0.21139","4.11641"
"12.80000","0.21307","4.15769"
"12.90000","0.21472","4.19861"
"13.00000","0.21636","4.23851"
"13.10000","0.21797","4.27672"
"13.20000","0.21958","4.31545"
"13.30000","0.22121","4.35557"
"13.40000","0.22291","4.40039"
"13.50000","0.22463","4.44410"
"13.60000","0.22645","4.49366"
"13.70000","0.22800","4.52453"
"13.80000","0.22978","4.57164"
"13.90000","0.23162","4.61980"
"14.00000","0.23323","4.65540"
"14.10000","0.23485","4.69272"
"14.20000","0.23650","4.73293"
"14.30000","0.23818","4.77588"
"14.40000","0.23974","4.81002"
"14.50000","0.24134","4.84925"
"14.60000","0.24302","4.89271"
"14.70000","0.24464","4.93257"
"14.80000","0.24623","4.97106"
"14.90000","0.24787","5.01226"
"15.00000","0.24951","5.05349"
"15.10000","0.25114","5.09297"
"15.20000","0.25281","5.13558"
"15.30000","0.25453","5.18061"
"15.40000","0.25620","5.22147"
"15.50000","0.25788","5.26360"
"15.60000","0.25953","5.30388"
"15.70000","0.26136","5.35442"
"15.80000","0.26322","5.40615"
"15.90000","0.26488","5.44434"
"16.00000","0.26647","5.47943"
"16.10000","0.26808","5.51650"
"16.20000","0.26964","5.55138"
"16.30000","0.27122","5.58803"
"16.40000","0.27283","5.62732"
"16.50000","0.27442","5.66586"
"16.60000","0.27604","5.70525"
"16.70000","0.27773","5.74908"
"16.80000","0.27942","5.79377"
"16.90000","0.28117","5.84053"
"17.00000","0.28274","5.87449"
"17.10000","0.28453","5.92563"
"17.20000","0.28636","5.97637"
"17.30000","0.28808","6.01978"
"17.40000","0.28970","6.05775"
"17.50000","0.29146","6.10473"
"17.60000","0.29318","6.14871"
"17.70000","0.29488","6.19075"
"17.80000","0.29647","6.22627"
"17.90000","0.29799","6.25887"
"18.00000","0.29964","6.30175"
"18.10000","0.30128","6.34325"
"18.20000","0.30282","6.37690"
"18.30000","0.30446","6.41907"
"18.40000","0.30612","6.46186"
"18.50000","0.30776","6.50262"
"18.60000","0.30937","6.54289"
"18.70000","0.31106","6.58755"
"18.80000","0.31277","6.63293"
"18.90000","0.31441","6.67412"
"19.00000","0.31621","6.72585"
"19.10000","0.31794","6.77008"
"19.20000","0.31957","6.80837"
"19.30000","0.32120","6.84687"
"19.40000","0.32287","6.88893"
"19.50000","0.32459","6.93522"
"19.60000","0.32633","6.98088"
"19.70000","0.32806","7.02542"
"19.80000","0.32968","7.06312"
"19.90000","0.33127","7.09830"
"20.00000","0.33291","7.13958"
"20.10000","0.33468","7.18940"
"20.20000","0.33641","7.23423"
"20.30000","0.33795","7.26615"
"20.40000","0.33956","7.30561"
"20.50000","0.34127","7.35293"
"20.60000","0.34297","7.39701"
"20.70000","0.34461","7.43756"
"20.80000","0.34630","7.48196"
"20.90000","0.34795","7.52160"
"21.00000","0.34955","7.55897"
"21.10000","0.35120","7.60114"
"21.20000","0.35286","7.64336"
"21.30000","0.35450","7.68367"
"21.40000","0.35618","7.72664"
"21.50000","0.35790","7.77169"
"21.60000","0.35960","7.81649"
"21.70000","0.36128","7.85855"
"21.80000","0.36297","7.90106"
"21.90000","0.36465","7.94366"
"22.00000","0.36636","7.98733"
"22.10000","0.36810","8.03389"
"22.20000","0.36972","8.07027"
"22.30000","0.37140","8.11206"
"22.40000","0.37302","8.15052"
"22.50000","0.37471","8.19371"
"22.60000","0.37640","8.23730"
"22.70000","0.37810","8.28068"
"22.80000","0.37971","8.31721"
"22.90000","0.38128","8.35197"
"23.00000","0.38284","8.38592"
"23.10000","0.38449","8.42594"
"23.20000","0.38613","8.46506"
"23.30000","0.38774","8.50309"
"23.40000","0.38939","8.54405"
"23.50000","0.39100","8.58060"
"23.60000","0.39257","8.61522"
"23.70000","0.39439","8.66842"
"23.80000","0.39616","8.71527"
"23.90000","0.39783","8.75441"
"24.00000","0.39956","8.79985"
"24.10000","0.40124","8.84067"
"24.20000","0.40295","8.88250"
"24.30000","0.40470","8.92665"
"24.40000","0.40628","8.95765"
"24.50000","0.40785","8.99056"
"24.60000","0.40945","9.02633"
"24.70000","0.41106","9.06223"
"24.80000","0.41270","9.10184"
"24.90000","0.41433","9.13822"
"25.00000","0.41600","9.17918"
"25.10000","0.41769","9.22052"
"25.20000","0.41939","9.26294"
"25.30000","0.42112","9.30669"
"25.40000","0.42286","9.34923"
"25.50000","0.42456","9.38968"
"25.60000","0.42634","9.43763"
"25.70000","0.42817","9.48742"
"25.80000","0.42993","9.53070"
"25.90000","0.43159","9.56742"
"26.00000","0.43322","9.60332"
"26.10000","0.43487","9.64149"
"26.20000","0.43654","9.68209"
"26.30000","0.43813","9.71674"
"26.40000","0.43973","9.75324"
"26.50000","0.44134","9.79213"
"26.60000","0.44307","9.84179"
"26.70000","0.44477","9.88672"
"26.80000","0.44639","9.92549"
"26.90000","0.44812","9.97515"
"27.00000","0.44999","10.03435"
"27.10000","0.45167","10.07604"
