General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{22340A98-767F-4281-B574-31F26B479276}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P4 W2 3"
Break (Standard) : Load at Break (Standard),"31.20428",N
Maximum Load : Maximum Load,"39.36015",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.82068"
"0.10000","0.00008","0.82228"
"0.20000","0.00077","0.83834"
"0.30000","0.00265","0.87866"
"0.40000","0.00475","0.92074"
"0.50000","0.00676","0.95731"
"0.60000","0.00894","0.99678"
"0.70000","0.01080","1.02786"
"0.80000","0.01250","1.05476"
"0.90000","0.01426","1.08354"
"1.00000","0.01605","1.11014"
"1.10000","0.01775","1.13678"
"1.20000","0.01943","1.16195"
"1.30000","0.02108","1.18723"
"1.40000","0.02274","1.21117"
"1.50000","0.02439","1.23418"
"1.60000","0.02610","1.25926"
"1.70000","0.02783","1.28294"
"1.80000","0.02950","1.30504"
"1.90000","0.03121","1.32851"
"2.00000","0.03291","1.35092"
"2.10000","0.03455","1.36997"
"2.20000","0.03600","1.38764"
"2.30000","0.03792","1.41627"
"2.40000","0.03973","1.44007"
"2.50000","0.04147","1.46179"
"2.60000","0.04314","1.48242"
"2.70000","0.04471","1.50079"
"2.80000","0.04627","1.51889"
"2.90000","0.04777","1.53591"
"3.00000","0.04937","1.55601"
"3.10000","0.05101","1.57495"
"3.20000","0.05256","1.59293"
"3.30000","0.05417","1.61188"
"3.40000","0.05588","1.63319"
"3.50000","0.05758","1.65349"
"3.60000","0.05958","1.67191"
"3.70000","0.06084","1.68206"
"3.80000","0.06249","1.70364"
"3.90000","0.06439","1.72906"
"4.00000","0.06613","1.74938"
"4.10000","0.06785","1.76980"
"4.20000","0.06963","1.79154"
"4.30000","0.07142","1.81297"
"4.40000","0.07311","1.83192"
"4.50000","0.07473","1.84935"
"4.60000","0.07641","1.86830"
"4.70000","0.07805","1.88739"
"4.80000","0.07978","1.90825"
"4.90000","0.08139","1.92603"
"5.00000","0.08305","1.94591"
"5.10000","0.08473","1.96599"
"5.20000","0.08644","1.98680"
"5.30000","0.08814","2.00732"
"5.40000","0.08988","2.02898"
"5.50000","0.09155","2.04710"
"5.60000","0.09329","2.06851"
"5.70000","0.09504","2.09045"
"5.80000","0.09661","2.10696"
"5.90000","0.09823","2.12536"
"6.00000","0.09992","2.14585"
"6.10000","0.10160","2.16536"
"6.20000","0.10316","2.18103"
"6.30000","0.10472","2.19779"
"6.40000","0.10638","2.21815"
"6.50000","0.10802","2.23734"
"6.60000","0.10963","2.25511"
"6.70000","0.11121","2.27247"
"6.80000","0.11282","2.29109"
"6.90000","0.11437","2.30775"
"7.00000","0.11596","2.32581"
"7.10000","0.11777","2.34755"
"7.20000","0.11946","2.36848"
"7.30000","0.12125","2.39137"
"7.40000","0.12298","2.41195"
"7.50000","0.12475","2.43405"
"7.60000","0.12639","2.45171"
"7.70000","0.12806","2.47051"
"7.80000","0.12969","2.48859"
"7.90000","0.13134","2.50807"
"8.00000","0.13304","2.52882"
"8.10000","0.13470","2.54833"
"8.20000","0.13633","2.56673"
"8.30000","0.13800","2.58587"
"8.40000","0.13960","2.60248"
"8.50000","0.14118","2.61907"
"8.60000","0.14287","2.64031"
"8.70000","0.14461","2.66223"
"8.80000","0.14623","2.68080"
"8.90000","0.14787","2.70038"
"9.00000","0.14960","2.72268"
"9.10000","0.15130","2.74329"
"9.20000","0.15310","2.76710"
"9.30000","0.15473","2.78445"
"9.40000","0.15633","2.80207"
"9.50000","0.15797","2.82147"
"9.60000","0.15966","2.84188"
"9.70000","0.16132","2.86124"
"9.80000","0.16294","2.87958"
"9.90000","0.16457","2.89870"
"10.00000","0.16627","2.91921"
"10.10000","0.16797","2.93985"
"10.20000","0.16965","2.95956"
"10.30000","0.17135","2.97972"
"10.40000","0.17314","3.00223"
"10.50000","0.17477","3.01958"
"10.60000","0.17640","3.03715"
"10.70000","0.17805","3.05630"
"10.80000","0.17960","3.07235"
"10.90000","0.18117","3.08947"
"11.00000","0.18280","3.10864"
"11.10000","0.18444","3.12878"
"11.20000","0.18606","3.14740"
"11.30000","0.18769","3.16744"
"11.40000","0.18938","3.18884"
"11.50000","0.19113","3.21231"
"11.60000","0.19281","3.23373"
"11.70000","0.19445","3.25255"
"11.80000","0.19618","3.27445"
"11.90000","0.19788","3.29555"
"12.00000","0.19953","3.31535"
"12.10000","0.20120","3.33691"
"12.20000","0.20306","3.36478"
"12.30000","0.20496","3.39249"
"12.40000","0.20667","3.41322"
"12.50000","0.20832","3.43195"
"12.60000","0.20990","3.44972"
"12.70000","0.21148","3.46839"
"12.80000","0.21316","3.49309"
"12.90000","0.21480","3.51283"
"13.00000","0.21635","3.53038"
"13.10000","0.21799","3.55216"
"13.20000","0.21968","3.57588"
"13.30000","0.22138","3.60000"
"13.40000","0.22310","3.62276"
"13.50000","0.22469","3.64059"
"13.60000","0.22645","3.66811"
"13.70000","0.22825","3.69435"
"13.80000","0.22995","3.71627"
"13.90000","0.23157","3.73504"
"14.00000","0.23314","3.75283"
"14.10000","0.23481","3.77487"
"14.20000","0.23650","3.79619"
"14.30000","0.23810","3.81501"
"14.40000","0.23970","3.83448"
"14.50000","0.24136","3.85664"
"14.60000","0.24301","3.87852"
"14.70000","0.24462","3.89946"
"14.80000","0.24624","3.92144"
