General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{61A9D01C-473E-4AD4-B6D2-A93D20E4A8E3}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W2 3"
Break (Standard) : Load at Break (Standard),"27.00961",N
Maximum Load : Maximum Load,"40.42011",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.65982"
"0.10000","0.00009","0.66051"
"0.20000","0.00080","0.68323"
"0.30000","0.00256","0.74257"
"0.40000","0.00460","0.80671"
"0.50000","0.00711","0.88475"
"0.60000","0.00929","0.94826"
"0.70000","0.01114","0.99981"
"0.80000","0.01285","1.04638"
"0.90000","0.01455","1.09242"
"1.00000","0.01616","1.13360"
"1.10000","0.01768","1.17154"
"1.20000","0.01929","1.21288"
"1.30000","0.02099","1.25696"
"1.40000","0.02269","1.30084"
"1.50000","0.02437","1.34295"
"1.60000","0.02605","1.38496"
"1.70000","0.02770","1.42446"
"1.80000","0.02936","1.46490"
"1.90000","0.03104","1.50575"
"2.00000","0.03271","1.54606"
"2.10000","0.03440","1.58594"
"2.20000","0.03611","1.62628"
"2.30000","0.03792","1.66919"
"2.40000","0.03974","1.71202"
"2.50000","0.04149","1.75148"
"2.60000","0.04310","1.78693"
"2.70000","0.04476","1.82428"
"2.80000","0.04644","1.86178"
"2.90000","0.04811","1.89945"
"3.00000","0.04972","1.93438"
"3.10000","0.05130","1.96977"
"3.20000","0.05290","2.00528"
"3.30000","0.05450","2.04128"
"3.40000","0.05614","2.07784"
"3.50000","0.05774","2.11348"
"3.60000","0.05936","2.14969"
"3.70000","0.06125","2.19422"
"3.80000","0.06295","2.23142"
"3.90000","0.06465","2.26804"
"4.00000","0.06638","2.30645"
"4.10000","0.06805","2.34245"
"4.20000","0.06974","2.37876"
"4.30000","0.07139","2.41363"
"4.40000","0.07305","2.44844"
"4.50000","0.07473","2.48417"
"4.60000","0.07640","2.52054"
"4.70000","0.07805","2.55619"
"4.80000","0.07970","2.59107"
"4.90000","0.08136","2.62702"
"5.00000","0.08305","2.66336"
"5.10000","0.08461","2.69596"
"5.20000","0.08618","2.72940"
"5.30000","0.08770","2.76115"
"5.40000","0.08943","2.80138"
"5.50000","0.09126","2.84262"
"5.60000","0.09302","2.88096"
"5.70000","0.09480","2.92020"
"5.80000","0.09642","2.95294"
"5.90000","0.09807","2.98830"
"6.00000","0.09974","3.02318"
"6.10000","0.10141","3.05957"
"6.20000","0.10303","3.09284"
"6.30000","0.10470","3.12870"
"6.40000","0.10642","3.16601"
"6.50000","0.10813","3.20324"
"6.60000","0.10987","3.24207"
"6.70000","0.11168","3.28287"
"6.80000","0.11319","3.31259"
"6.90000","0.11483","3.34847"
"7.00000","0.11662","3.38898"
"7.10000","0.11817","3.42062"
"7.20000","0.11969","3.45187"
"7.30000","0.12142","3.49146"
"7.40000","0.12304","3.52719"
"7.50000","0.12468","3.56301"
"7.60000","0.12632","3.59883"
"7.70000","0.12791","3.63281"
"7.80000","0.12947","3.66586"
"7.90000","0.13107","3.70089"
"8.00000","0.13284","3.74257"
"8.10000","0.13459","3.78146"
"8.20000","0.13627","3.81719"
"8.30000","0.13797","3.85540"
"8.40000","0.13976","3.89755"
"8.50000","0.14134","3.92931"
"8.60000","0.14302","3.96707"
"8.70000","0.14498","4.01496"
"8.80000","0.14669","4.05221"
"8.90000","0.14826","4.08399"
"9.00000","0.14991","4.12117"
"9.10000","0.15159","4.15920"
"9.20000","0.15310","4.19081"
"9.30000","0.15467","4.22586"
"9.40000","0.15632","4.26396"
"9.50000","0.15785","4.29665"
"9.60000","0.15941","4.33165"
"9.70000","0.16108","4.37104"
"9.80000","0.16277","4.40925"
