General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{C92BE010-6F3F-4765-990D-D61F34C75BA7}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P4 W1 3"
Break (Standard) : Load at Break (Standard),"12.17155",N
Maximum Load : Maximum Load,"19.34379",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.38772"
"0.10000","0.00005","0.38875"
"0.20000","0.00048","0.39375"
"0.30000","0.00131","0.40263"
"0.40000","0.00290","0.42005"
"0.50000","0.00522","0.44477"
"0.60000","0.00812","0.47383"
"0.70000","0.01095","0.50103"
"0.80000","0.01300","0.51787"
"0.90000","0.01478","0.53283"
"1.00000","0.01635","0.54500"
"1.10000","0.01788","0.55715"
"1.20000","0.01952","0.57074"
"1.30000","0.02114","0.58367"
"1.40000","0.02268","0.59586"
"1.50000","0.02429","0.60836"
"1.60000","0.02591","0.62100"
"1.70000","0.02751","0.63325"
"1.80000","0.02925","0.64696"
"1.90000","0.03100","0.66113"
"2.00000","0.03272","0.67485"
"2.10000","0.03440","0.68786"
"2.20000","0.03622","0.70235"
"2.30000","0.03809","0.71777"
"2.40000","0.03980","0.72979"
"2.50000","0.04145","0.74201"
"2.60000","0.04306","0.75402"
"2.70000","0.04467","0.76586"
"2.80000","0.04634","0.77833"
"2.90000","0.04807","0.79156"
"3.00000","0.04972","0.80385"
"3.10000","0.05134","0.81561"
"3.20000","0.05301","0.82813"
"3.30000","0.05467","0.84076"
"3.40000","0.05634","0.85296"
"3.50000","0.05801","0.86535"
"3.60000","0.05962","0.87692"
"3.70000","0.06125","0.88944"
"3.80000","0.06296","0.90262"
"3.90000","0.06470","0.91592"
"4.00000","0.06640","0.92836"
"4.10000","0.06805","0.93997"
"4.20000","0.06972","0.95224"
"4.30000","0.07135","0.96445"
"4.40000","0.07299","0.97583"
"4.50000","0.07455","0.98718"
"4.60000","0.07612","0.99869"
"4.70000","0.07778","1.01088"
"4.80000","0.07942","1.02366"
"4.90000","0.08112","1.03687"
"5.00000","0.08278","1.04831"
"5.10000","0.08448","1.06142"
"5.20000","0.08623","1.07529"
"5.30000","0.08793","1.08833"
"5.40000","0.08964","1.10106"
"5.50000","0.09135","1.11419"
"5.60000","0.09301","1.12545"
"5.70000","0.09466","1.13757"
"5.80000","0.09640","1.15104"
"5.90000","0.09803","1.16210"
"6.00000","0.09968","1.17351"
"6.10000","0.10131","1.18527"
"6.20000","0.10285","1.19575"
"6.30000","0.10451","1.20842"
"6.40000","0.10622","1.22070"
"6.50000","0.10788","1.23365"
"6.60000","0.10957","1.24609"
