General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{50DD61B3-58A1-4F91-AB42-E4130450AC06}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W3 3"
Break (Standard) : Load at Break (Standard),"26.97978",N
Maximum Load : Maximum Load,"36.86805",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.27532"
"0.10000","0.00007","0.27620"
"0.20000","0.00038","0.28094"
"0.30000","0.00125","0.29522"
"0.40000","0.00425","0.35631"
"0.50000","0.00735","0.41061"
"0.60000","0.00926","0.44090"
"0.70000","0.01103","0.47021"
"0.80000","0.01270","0.49794"
"0.90000","0.01430","0.52321"
"1.00000","0.01597","0.55111"
"1.10000","0.01765","0.57894"
"1.20000","0.01930","0.60686"
"1.30000","0.02091","0.63316"
"1.40000","0.02253","0.65988"
"1.50000","0.02421","0.68760"
"1.60000","0.02595","0.71839"
"1.70000","0.02762","0.74605"
"1.80000","0.02940","0.77755"
"1.90000","0.03112","0.80701"
"2.00000","0.03273","0.83359"
"2.10000","0.03447","0.86458"
"2.20000","0.03644","0.89940"
"2.30000","0.03816","0.92909"
"2.40000","0.03982","0.95880"
"2.50000","0.04159","0.99266"
"2.60000","0.04336","1.02501"
"2.70000","0.04491","1.05064"
"2.80000","0.04640","1.07670"
"2.90000","0.04807","1.10839"
"3.00000","0.04972","1.13957"
"3.10000","0.05135","1.17044"
"3.20000","0.05299","1.19906"
"3.30000","0.05465","1.22980"
"3.40000","0.05628","1.26058"
"3.50000","0.05777","1.28694"
"3.60000","0.05958","1.32160"
"3.70000","0.06138","1.35522"
"3.80000","0.06313","1.38599"
"3.90000","0.06480","1.41534"
"4.00000","0.06639","1.44251"
"4.10000","0.06802","1.47166"
"4.20000","0.06968","1.50044"
"4.30000","0.07135","1.52999"
"4.40000","0.07293","1.55605"
"4.50000","0.07453","1.58297"
"4.60000","0.07612","1.60984"
"4.70000","0.07768","1.63574"
"4.80000","0.07929","1.66347"
"4.90000","0.08090","1.69042"
"5.00000","0.08259","1.71989"
"5.10000","0.08428","1.74896"
"5.20000","0.08593","1.77547"
"5.30000","0.08762","1.80096"
"5.40000","0.08934","1.82928"
"5.50000","0.09119","1.86183"
"5.60000","0.09298","1.89198"
"5.70000","0.09489","1.92555"
"5.80000","0.09665","1.95290"
"5.90000","0.09828","1.97734"
"6.00000","0.09994","2.00180"
"6.10000","0.10172","2.03117"
"6.20000","0.10334","2.05595"
"6.30000","0.10487","2.07850"
"6.40000","0.10652","2.10498"
"6.50000","0.10823","2.13432"
"6.60000","0.10987","2.16088"
"6.70000","0.11140","2.18429"
"6.80000","0.11303","2.21161"
"6.90000","0.11477","2.24293"
"7.00000","0.11641","2.27045"
"7.10000","0.11805","2.29824"
"7.20000","0.11978","2.32842"
"7.30000","0.12143","2.35593"
"7.40000","0.12304","2.38174"
"7.50000","0.12473","2.41118"
"7.60000","0.12638","2.43886"
"7.70000","0.12803","2.46759"
"7.80000","0.12973","2.49759"
"7.90000","0.13140","2.52689"
"8.00000","0.13309","2.55636"
"8.10000","0.13482","2.58644"
"8.20000","0.13651","2.61673"
"8.30000","0.13820","2.64579"
"8.40000","0.13991","2.67628"
"8.50000","0.14158","2.70565"
"8.60000","0.14310","2.73075"
"8.70000","0.14465","2.75766"
"8.80000","0.14638","2.79157"
"8.90000","0.14808","2.82394"
"9.00000","0.14978","2.85524"
"9.10000","0.15143","2.88445"
