General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{6E1359B4-D233-41C5-96C0-B7E8CEA854AE}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W2 5"
Break (Standard) : Load at Break (Standard),"55.55626",N
Maximum Load : Maximum Load,"56.44427",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.24516"
"0.10000","0.00005","0.24581"
"0.20000","0.00047","0.25568"
"0.30000","0.00134","0.27614"
"0.40000","0.00316","0.31922"
"0.50000","0.00610","0.38660"
"0.60000","0.00928","0.45012"
"0.70000","0.01119","0.47830"
"0.80000","0.01272","0.49931"
"0.90000","0.01429","0.52273"
"1.00000","0.01594","0.54768"
"1.10000","0.01761","0.57199"
"1.20000","0.01930","0.59551"
"1.30000","0.02102","0.61997"
"1.40000","0.02279","0.64548"
"1.50000","0.02470","0.67381"
"1.60000","0.02653","0.69809"
"1.70000","0.02817","0.71727"
"1.80000","0.02972","0.73628"
"1.90000","0.03135","0.76013"
"2.00000","0.03301","0.78576"
"2.10000","0.03458","0.80745"
"2.20000","0.03618","0.82972"
"2.30000","0.03786","0.85520"
"2.40000","0.03954","0.88132"
"2.50000","0.04123","0.90734"
"2.60000","0.04292","0.93390"
"2.70000","0.04456","0.95925"
"2.80000","0.04615","0.98349"
"2.90000","0.04781","1.01181"
"3.00000","0.04955","1.04293"
"3.10000","0.05122","1.07040"
"3.20000","0.05287","1.09702"
"3.30000","0.05455","1.12477"
"3.40000","0.05624","1.15624"
"3.50000","0.05787","1.18667"
"3.60000","0.05956","1.21874"
"3.70000","0.06113","1.24766"
"3.80000","0.06279","1.28011"
"3.90000","0.06453","1.31493"
"4.00000","0.06622","1.34748"
"4.10000","0.06786","1.37882"
"4.20000","0.06954","1.41139"
"4.30000","0.07120","1.44340"
"4.40000","0.07292","1.47821"
"4.50000","0.07459","1.51005"
"4.60000","0.07625","1.54121"
"4.70000","0.07786","1.57328"
"4.80000","0.07957","1.60792"
"4.90000","0.08128","1.64286"
"5.00000","0.08307","1.67977"
"5.10000","0.08472","1.70864"
"5.20000","0.08640","1.74052"
"5.30000","0.08806","1.76941"
"5.40000","0.08970","1.79689"
"5.50000","0.09137","1.82555"
"5.60000","0.09294","1.85071"
"5.70000","0.09451","1.87677"
"5.80000","0.09619","1.90697"
"5.90000","0.09797","1.94267"
"6.00000","0.09966","1.97447"
"6.10000","0.10124","2.00230"
"6.20000","0.10300","2.03867"
"6.30000","0.10477","2.07366"
"6.40000","0.10645","2.10724"
"6.50000","0.10815","2.14159"
"6.60000","0.10978","2.17414"
"6.70000","0.11134","2.20562"
"6.80000","0.11292","2.23775"
"6.90000","0.11447","2.27019"
"7.00000","0.11606","2.30438"
"7.10000","0.11767","2.33858"
"7.20000","0.11932","2.37343"
"7.30000","0.12094","2.40707"
"7.40000","0.12262","2.44261"
"7.50000","0.12425","2.47564"
"7.60000","0.12596","2.51220"
"7.70000","0.12769","2.54924"
"7.80000","0.12943","2.58419"
"7.90000","0.13104","2.61340"
"8.00000","0.13284","2.65307"
"8.10000","0.13464","2.69135"
"8.20000","0.13639","2.72559"
"8.30000","0.13810","2.75822"
"8.40000","0.13972","2.78857"
"8.50000","0.14132","2.81930"
"8.60000","0.14289","2.85028"
"8.70000","0.14452","2.88667"
"8.80000","0.14620","2.92653"
"8.90000","0.14779","2.96144"
"9.00000","0.14942","3.00161"
"9.10000","0.15111","3.04271"
"9.20000","0.15280","3.08368"
"9.30000","0.15445","3.12230"
"9.40000","0.15612","3.16299"
"9.50000","0.15791","3.20894"
