General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{EEC498D4-7B12-493F-8C41-D095A7B2516F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 R1"
Break (Standard) : Load at Break (Standard),"23.08853",N
Maximum Load : Maximum Load,"27.32899",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.32824"
"0.10000","0.00012","0.33034"
"0.20000","0.00068","0.34012"
"0.30000","0.00180","0.35802"
"0.40000","0.00354","0.38672"
"0.50000","0.00586","0.42390"
"0.60000","0.00836","0.46392"
"0.70000","0.01055","0.49663"
"0.80000","0.01256","0.52647"
"0.90000","0.01431","0.55123"
"1.00000","0.01612","0.57688"
"1.10000","0.01804","0.60409"
"1.20000","0.01985","0.62890"
"1.30000","0.02138","0.64813"
"1.40000","0.02283","0.66648"
"1.50000","0.02441","0.68754"
"1.60000","0.02603","0.70893"
"1.70000","0.02771","0.73092"
"1.80000","0.02947","0.75483"
"1.90000","0.03124","0.77754"
"2.00000","0.03297","0.80001"
"2.10000","0.03467","0.82088"
"2.20000","0.03642","0.84315"
"2.30000","0.03812","0.86403"
"2.40000","0.03973","0.88264"
"2.50000","0.04137","0.90326"
"2.60000","0.04302","0.92289"
"2.70000","0.04466","0.94231"
"2.80000","0.04627","0.96146"
"2.90000","0.04788","0.98001"
"3.00000","0.04953","0.99971"
"3.10000","0.05110","1.01713"
"3.20000","0.05269","1.03565"
"3.30000","0.05431","1.05543"
"3.40000","0.05596","1.07580"
"3.50000","0.05766","1.09727"
"3.60000","0.05942","1.12022"
"3.70000","0.06116","1.14177"
"3.80000","0.06286","1.16194"
"3.90000","0.06455","1.18290"
"4.00000","0.06629","1.20534"
"4.10000","0.06807","1.22781"
"4.20000","0.06978","1.24918"
"4.30000","0.07145","1.26953"
"4.40000","0.07310","1.29019"
"4.50000","0.07471","1.31039"
"4.60000","0.07631","1.33074"
"4.70000","0.07789","1.35041"
"4.80000","0.07949","1.37086"
"4.90000","0.08114","1.39239"
