General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{5C18121F-5DF6-480B-9312-1D7514C6926C}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W3 2"
Break (Standard) : Load at Break (Standard),"12.16002",N
Maximum Load : Maximum Load,"22.51682",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.36573"
"0.10000","0.00012","0.36772"
"0.20000","0.00067","0.37991"
"0.30000","0.00191","0.40701"
"0.40000","0.00374","0.44573"
"0.50000","0.00600","0.49261"
"0.60000","0.00848","0.54299"
"0.70000","0.01086","0.58904"
"0.80000","0.01278","0.62376"
"0.90000","0.01448","0.65380"
"1.00000","0.01620","0.68370"
"1.10000","0.01782","0.71099"
"1.20000","0.01941","0.73729"
"1.30000","0.02103","0.76326"
"1.40000","0.02268","0.79000"
"1.50000","0.02432","0.81639"
"1.60000","0.02601","0.84279"
"1.70000","0.02771","0.86932"
"1.80000","0.02930","0.89342"
"1.90000","0.03091","0.91717"
"2.00000","0.03259","0.94356"
"2.10000","0.03427","0.96783"
"2.20000","0.03587","0.99036"
"2.30000","0.03751","1.01309"
"2.40000","0.03915","1.03600"
"2.50000","0.04078","1.05775"
"2.60000","0.04244","1.07985"
"2.70000","0.04415","1.10336"
"2.80000","0.04580","1.12430"
"2.90000","0.04745","1.14556"
"3.00000","0.04926","1.16855"
"3.10000","0.05109","1.18807"
"3.20000","0.05284","1.20165"
"3.30000","0.05457","1.21080"
"3.40000","0.05632","1.22478"
"3.50000","0.05809","1.24570"
"3.60000","0.05985","1.26847"
"3.70000","0.06151","1.28839"
"3.80000","0.06327","1.31080"
"3.90000","0.06504","1.33272"
"4.00000","0.06678","1.35474"
"4.10000","0.06837","1.37521"
"4.20000","0.06997","1.39748"
"4.30000","0.07160","1.42043"
"4.40000","0.07325","1.44470"
"4.50000","0.07494","1.46943"
"4.60000","0.07653","1.49103"
"4.70000","0.07814","1.51453"
"4.80000","0.07976","1.53851"
"4.90000","0.08151","1.56475"
"5.00000","0.08315","1.58840"
"5.10000","0.08468","1.60866"
"5.20000","0.08641","1.63549"
"5.30000","0.08820","1.66405"
"5.40000","0.08986","1.68955"
"5.50000","0.09151","1.71574"
"5.60000","0.09320","1.74248"
"5.70000","0.09472","1.76401"
"5.80000","0.09636","1.79064"
"5.90000","0.09801","1.81655"
"6.00000","0.09959","1.84022"
"6.10000","0.10118","1.86430"
"6.20000","0.10285","1.88838"
"6.30000","0.10450","1.91142"
"6.40000","0.10614","1.93298"
"6.50000","0.10782","1.95694"
"6.60000","0.10953","1.98497"
"6.70000","0.11126","2.01431"
"6.80000","0.11293","2.04254"
"6.90000","0.11452","2.06893"
"7.00000","0.11632","2.10107"
"7.10000","0.11817","2.13460"
"7.20000","0.11985","2.16233"
"7.30000","0.12159","2.19294"
"7.40000","0.12326","2.22026"
"7.50000","0.12482","2.24529"
"7.60000","0.12644","2.27258"
"7.70000","0.12803","2.29953"
"7.80000","0.12962","2.32672"
"7.90000","0.13120","2.35367"
"8.00000","0.13280","2.38211"
"8.10000","0.13448","2.41233"
"8.20000","0.13616","2.44252"
"8.30000","0.13779","2.47103"
"8.40000","0.13941","2.49893"
"8.50000","0.14119","2.53198"
"8.60000","0.14293","2.56228"
"8.70000","0.14455","2.58996"
"8.80000","0.14620","2.61863"
"8.90000","0.14791","2.64928"
"9.00000","0.14959","2.67775"
"9.10000","0.15119","2.70380"
"9.20000","0.15288","2.73381"
"9.30000","0.15457","2.76356"
"9.40000","0.15626","2.79287"
"9.50000","0.15792","2.82225"
"9.60000","0.15953","2.84909"
"9.70000","0.16115","2.87707"
"9.80000","0.16278","2.90565"
"9.90000","0.16444","2.93596"
"10.00000","0.16613","2.96743"
"10.10000","0.16781","2.99698"
"10.20000","0.16943","3.02506"
"10.30000","0.17108","3.05425"
"10.40000","0.17292","3.08933"
"10.50000","0.17466","3.12060"
"10.60000","0.17645","3.15388"
"10.70000","0.17814","3.18282"
"10.80000","0.17976","3.20858"
"10.90000","0.18149","3.23975"
"11.00000","0.18312","3.26739"
"11.10000","0.18470","3.29268"
"11.20000","0.18639","3.32316"
"11.30000","0.18810","3.35387"
"11.40000","0.18979","3.38347"
"11.50000","0.19148","3.41311"
"11.60000","0.19295","3.43632"
"11.70000","0.19454","3.46386"
"11.80000","0.19634","3.49803"
"11.90000","0.19808","3.52914"
"12.00000","0.19971","3.55705"
"12.10000","0.20142","3.58850"
"12.20000","0.20312","3.61861"
"12.30000","0.20478","3.64743"
"12.40000","0.20642","3.67566"
"12.50000","0.20801","3.70243"
"12.60000","0.20965","3.73081"
"12.70000","0.21129","3.75967"
"12.80000","0.21296","3.78843"
"12.90000","0.21457","3.81563"
"13.00000","0.21621","3.84356"
"13.10000","0.21789","3.87189"
"13.20000","0.21961","3.90235"
"13.30000","0.22125","3.92882"
"13.40000","0.22283","3.95469"
"13.50000","0.22443","3.98141"
"13.60000","0.22609","4.01126"
"13.70000","0.22786","4.04366"
"13.80000","0.22973","4.08110"
"13.90000","0.23143","4.11061"
"14.00000","0.23310","4.13957"
"14.10000","0.23476","4.16900"
"14.20000","0.23642","4.19863"
"14.30000","0.23804","4.22647"
"14.40000","0.23971","4.25540"
"14.50000","0.24141","4.28660"
"14.60000","0.24310","4.31671"
"14.70000","0.24473","4.34545"
"14.80000","0.24638","4.37312"
"14.90000","0.24791","4.39458"
"15.00000","0.24959","4.42479"
"15.10000","0.25147","4.46148"
"15.20000","0.25313","4.48926"
"15.30000","0.25471","4.51397"
"15.40000","0.25638","4.54225"
"15.50000","0.25802","4.56824"
"15.60000","0.25960","4.59238"
"15.70000","0.26114","4.61656"
"15.80000","0.26278","4.64562"
"15.90000","0.26442","4.67448"
"16.00000","0.26608","4.70415"
"16.10000","0.26777","4.73461"
"16.20000","0.26942","4.76346"
"16.30000","0.27105","4.79222"
"16.40000","0.27271","4.82078"
"16.50000","0.27442","4.85181"
"16.60000","0.27613","4.88243"
"16.70000","0.27786","4.91401"
"16.80000","0.27954","4.94371"
"16.90000","0.28133","4.97694"
"17.00000","0.28314","5.01255"
"17.10000","0.28489","5.04465"
"17.20000","0.28654","5.07396"
"17.30000","0.28810","5.09970"
"17.40000","0.28971","5.12826"
"17.50000","0.29137","5.16017"
"17.60000","0.29299","5.19066"
"17.70000","0.29455","5.21824"
"17.80000","0.29613","5.24811"
"17.90000","0.29777","5.28009"
"18.00000","0.29945","5.31444"
"18.10000","0.30116","5.34708"
"18.20000","0.30277","5.37729"
"18.30000","0.30461","5.41844"
"18.40000","0.30643","5.45795"
"18.50000","0.30819","5.49435"
"18.60000","0.30982","5.52518"
"18.70000","0.31148","5.55740"
"18.80000","0.31325","5.59418"
"18.90000","0.31489","5.62408"
"19.00000","0.31645","5.65128"
"19.10000","0.31809","5.68188"
"19.20000","0.31968","5.71121"
"19.30000","0.32127","5.74007"
"19.40000","0.32288","5.77085"
"19.50000","0.32450","5.80070"
"19.60000","0.32617","5.83290"
"19.70000","0.32787","5.86581"
"19.80000","0.32952","5.89580"
"19.90000","0.33122","5.92666"
"20.00000","0.33284","5.95458"
"20.10000","0.33447","5.98442"
"20.20000","0.33622","6.02010"
"20.30000","0.33793","6.05278"
"20.40000","0.33971","6.08845"
"20.50000","0.34152","6.12568"
"20.60000","0.34319","6.15543"
"20.70000","0.34478","6.18295"
"20.80000","0.34643","6.21361"
"20.90000","0.34815","6.24550"
"21.00000","0.34982","6.27535"
"21.10000","0.35141","6.30245"
"21.20000","0.35304","6.33195"
"21.30000","0.35473","6.36461"
"21.40000","0.35636","6.39413"
"21.50000","0.35783","6.41655"
"21.60000","0.35954","6.45104"
"21.70000","0.36138","6.49054"
"21.80000","0.36310","6.52357"
"21.90000","0.36476","6.55396"
"22.00000","0.36644","6.58539"
"22.10000","0.36816","6.61820"
"22.20000","0.36984","6.64854"
"22.30000","0.37146","6.67709"
"22.40000","0.37309","6.70671"
"22.50000","0.37473","6.73731"
"22.60000","0.37642","6.76971"
"22.70000","0.37806","6.79956"
"22.80000","0.37969","6.82780"
"22.90000","0.38136","6.85905"
"23.00000","0.38305","6.89037"
"23.10000","0.38471","6.91991"
"23.20000","0.38640","6.95070"
"23.30000","0.38804","6.97941"
"23.40000","0.38963","7.00662"
"23.50000","0.39122","7.03313"
"23.60000","0.39290","7.06427"
"23.70000","0.39465","7.09813"
"23.80000","0.39642","7.13262"
"23.90000","0.39805","7.16027"
"24.00000","0.39969","7.18849"
"24.10000","0.40132","7.21590"
"24.20000","0.40294","7.24270"
"24.30000","0.40455","7.26881"
"24.40000","0.40620","7.29293"
"24.50000","0.40796","7.32650"
"24.60000","0.40974","7.36060"
"24.70000","0.41146","7.39042"
"24.80000","0.41305","7.41469"
"24.90000","0.41481","7.44739"
"25.00000","0.41657","7.47898"
"25.10000","0.41817","7.50267"
"25.20000","0.41980","7.52929"
"25.30000","0.42153","7.56135"
"25.40000","0.42313","7.58561"
"25.50000","0.42472","7.60991"
"25.60000","0.42638","7.63850"
"25.70000","0.42804","7.66738"
"25.80000","0.42971","7.69754"
"25.90000","0.43142","7.73012"
"26.00000","0.43311","7.76039"
"26.10000","0.43475","7.78762"
"26.20000","0.43644","7.81760"
"26.30000","0.43819","7.85119"
"26.40000","0.43989","7.88244"
"26.50000","0.44158","7.91234"
"26.60000","0.44325","7.94138"
"26.70000","0.44500","7.97462"
"26.80000","0.44677","8.00826"
"26.90000","0.44856","8.04261"
"27.00000","0.45016","8.06448"
"27.10000","0.45167","8.08504"
"27.20000","0.45331","8.11371"
"27.30000","0.45492","8.13981"
"27.40000","0.45641","8.15895"
"27.50000","0.45797","8.18149"
"27.60000","0.45949","8.20350"
"27.70000","0.46108","8.22925"
"27.80000","0.46272","8.25881"
"27.90000","0.46433","8.28478"
"28.00000","0.46595","8.31235"
"28.10000","0.46768","8.34476"
"28.20000","0.46948","8.37991"
"28.30000","0.47118","8.40697"
"28.40000","0.47287","8.43457"
"28.50000","0.47450","8.45859"
"28.60000","0.47624","8.48750"
"28.70000","0.47794","8.51327"
"28.80000","0.47959","8.53591"
"28.90000","0.48123","8.55815"
"29.00000","0.48288","8.58340"
"29.10000","0.48451","8.60629"
"29.20000","0.48616","8.62843"
"29.30000","0.48785","8.65403"
"29.40000","0.48955","8.68089"
"29.50000","0.49120","8.70265"
"29.60000","0.49283","8.72524"
"29.70000","0.49442","8.74629"
"29.80000","0.49606","8.77071"
"29.90000","0.49783","8.80220"
"30.00000","0.49951","8.82812"
"30.10000","0.50125","8.85686"
"30.20000","0.50291","8.88050"
"30.30000","0.50455","8.90273"
"30.40000","0.50622","8.92675"
"30.50000","0.50782","8.94641"
"30.60000","0.50948","8.96932"
"30.70000","0.51114","8.99135"
"30.80000","0.51276","9.01236"
"30.90000","0.51445","9.03602"
"31.00000","0.51615","9.06116"
"31.10000","0.51785","9.08575"
"31.20000","0.51956","9.10951"
"31.30000","0.52118","9.12878"
"31.40000","0.52296","9.15725"
"31.50000","0.52474","9.18517"
"31.60000","0.52635","9.20388"
"31.70000","0.52798","9.22461"
"31.80000","0.52964","9.24703"
"31.90000","0.53123","9.26654"
"32.00000","0.53287","9.28811"
"32.10000","0.53453","9.31075"
"32.20000","0.53616","9.33150"
"32.30000","0.53774","9.34848"
"32.40000","0.53935","9.36837"
"32.50000","0.54097","9.38893"
"32.60000","0.54260","9.40893"
"32.70000","0.54429","9.43242"
"32.80000","0.54599","9.45494"
"32.90000","0.54772","9.47807"
"33.00000","0.54936","9.49644"
"33.10000","0.55104","9.51851"
"33.20000","0.55297","9.55286"
"33.30000","0.55476","9.57682"
"33.40000","0.55639","9.59337"
"33.50000","0.55806","9.61258"
"33.60000","0.55966","9.62913"
"33.70000","0.56124","9.64605"
"33.80000","0.56281","9.66328"
"33.90000","0.56443","9.68409"
"34.00000","0.56609","9.70632"
"34.10000","0.56772","9.72614"
"34.20000","0.56937","9.74821"
"34.30000","0.57104","9.77030"
"34.40000","0.57278","9.79533"
"34.50000","0.57446","9.81676"
"34.60000","0.57604","9.83256"
"34.70000","0.57784","9.85986"
"34.80000","0.57957","9.88075"
"34.90000","0.58128","9.90085"
"35.00000","0.58296","9.91894"
"35.10000","0.58461","9.93628"
"35.20000","0.58618","9.95077"
"35.30000","0.58783","9.96920"
"35.40000","0.58953","9.99053"
"35.50000","0.59116","10.00692"
"35.60000","0.59278","10.02194"
"35.70000","0.59437","10.03511"
"35.80000","0.59602","10.05462"
"35.90000","0.59769","10.07513"
"36.00000","0.59940","10.09735"
"36.10000","0.60111","10.11892"
"36.20000","0.60287","10.14287"
"36.30000","0.60456","10.16230"
"36.40000","0.60621","10.18120"
"36.50000","0.60800","10.20765"
"36.60000","0.60985","10.23670"
"36.70000","0.61152","10.25488"
"36.80000","0.61313","10.26913"
"36.90000","0.61479","10.28615"
"37.00000","0.61647","10.30615"
"37.10000","0.61809","10.32388"
"37.20000","0.61972","10.34102"
"37.30000","0.62137","10.35924"
"37.40000","0.62300","10.37597"
"37.50000","0.62461","10.39274"
"37.60000","0.62621","10.40958"
"37.70000","0.62777","10.42582"
"37.80000","0.62937","10.44453"
"37.90000","0.63101","10.46415"
"38.00000","0.63279","10.49111"
"38.10000","0.63446","10.51087"
"38.20000","0.63609","10.52949"
"38.30000","0.63777","10.55023"
"38.40000","0.63945","10.56990"
"38.50000","0.64117","10.59161"
"38.60000","0.64290","10.61312"
"38.70000","0.64457","10.63109"
"38.80000","0.64623","10.64896"
"38.90000","0.64793","10.66923"
"39.00000","0.64962","10.68866"
"39.10000","0.65132","10.70847"
"39.20000","0.65289","10.72123"
"39.30000","0.65448","10.73635"
"39.40000","0.65626","10.76307"
"39.50000","0.65805","10.78832"
"39.60000","0.65977","10.81006"
"39.70000","0.66137","10.82615"
"39.80000","0.66312","10.85146"
"39.90000","0.66495","10.88015"
"40.00000","0.66660","10.89889"
"40.10000","0.66827","10.91852"
"40.20000","0.66996","10.93949"
"40.30000","0.67169","10.96352"
"40.40000","0.67329","10.97991"
"40.50000","0.67487","10.99548"
"40.60000","0.67650","11.01467"
"40.70000","0.67822","11.03796"
"40.80000","0.67997","11.06369"
"40.90000","0.68179","11.09221"
"41.00000","0.68347","11.11373"
"41.10000","0.68511","11.13335"
"41.20000","0.68694","11.16438"
"41.30000","0.68863","11.18564"
"41.40000","0.69023","11.20186"
"41.50000","0.69197","11.22769"
"41.60000","0.69362","11.24800"
"41.70000","0.69512","11.26026"
"41.80000","0.69676","11.28310"
"41.90000","0.69838","11.30475"
"42.00000","0.70002","11.32795"
"42.10000","0.70160","11.34728"
"42.20000","0.70318","11.36675"
"42.30000","0.70480","11.38807"
"42.40000","0.70644","11.41081"
"42.50000","0.70803","11.42988"
"42.60000","0.70964","11.45065"
"42.70000","0.71127","11.47094"
"42.80000","0.71288","11.48989"
"42.90000","0.71448","11.50781"
"43.00000","0.71618","11.53151"
"43.10000","0.71788","11.55454"
"43.20000","0.71953","11.57391"
"43.30000","0.72122","11.59659"
"43.40000","0.72291","11.61734"
"43.50000","0.72457","11.63649"
"43.60000","0.72618","11.65316"
"43.70000","0.72781","11.67301"
"43.80000","0.72947","11.69440"
"43.90000","0.73114","11.71723"
"44.00000","0.73283","11.74101"
"44.10000","0.73450","11.76557"
"44.20000","0.73615","11.78381"
"44.30000","0.73775","11.80062"
"44.40000","0.73936","11.81945"
"44.50000","0.74112","11.84724"
"44.60000","0.74286","11.87123"
"44.70000","0.74459","11.89334"
"44.80000","0.74628","11.91264"
"44.90000","0.74798","11.93610"
"45.00000","0.74970","11.95633"
"45.10000","0.75130","11.97020"
"45.20000","0.75295","11.98657"
"45.30000","0.75461","12.00320"
"45.40000","0.75622","12.01824"
"45.50000","0.75784","12.03482"
"45.60000","0.75946","12.05215"
"45.70000","0.76119","12.07445"
"45.80000","0.76283","12.09299"
"45.90000","0.76448","12.11322"
"46.00000","0.76613","12.13224"
"46.10000","0.76789","12.16193"
"46.20000","0.76953","12.17935"
"46.30000","0.77120","12.20037"
"46.40000","0.77303","12.22890"
"46.50000","0.77477","12.25216"
"46.60000","0.77646","12.27086"
"46.70000","0.77815","12.29017"
"46.80000","0.77985","12.31359"
"46.90000","0.78146","12.31901"
"47.00000","0.78308","12.33022"
"47.10000","0.78477","12.34753"
"47.20000","0.78640","12.35863"
"47.30000","0.78807","12.37579"
"47.40000","0.78971","12.39237"
"47.50000","0.79137","12.40940"
"47.60000","0.79293","12.42069"
"47.70000","0.79452","12.44081"
"47.80000","0.79621","12.46108"
"47.90000","0.79786","12.48076"
"48.00000","0.79946","12.49691"
"48.10000","0.80109","12.51432"
"48.20000","0.80276","12.53380"
"48.30000","0.80442","12.55299"
"48.40000","0.80601","12.56783"
"48.50000","0.80766","12.58628"
"48.60000","0.80932","12.60324"
"48.70000","0.81095","12.61976"
"48.80000","0.81270","12.64581"
"48.90000","0.81446","12.66783"
"49.00000","0.81611","12.68303"
"49.10000","0.81779","12.70045"
"49.20000","0.81947","12.71777"
"49.30000","0.82121","12.73788"
"49.40000","0.82285","12.75123"
"49.50000","0.82443","12.76190"
"49.60000","0.82609","12.77724"
"49.70000","0.82786","12.80236"
"49.80000","0.82961","12.82659"
"49.90000","0.83127","12.84284"
"50.00000","0.83287","12.85570"
"50.10000","0.83456","12.87414"
"50.20000","0.83620","12.88875"
"50.30000","0.83781","12.90239"
"50.40000","0.83943","12.91691"
"50.50000","0.84106","12.93261"
"50.60000","0.84268","12.94555"
"50.70000","0.84439","12.96565"
"50.80000","0.84614","12.98660"
"50.90000","0.84772","12.99564"
"51.00000","0.84945","13.01667"
"51.10000","0.85126","13.04056"
"51.20000","0.85292","13.05369"
"51.30000","0.85454","13.06582"
"51.40000","0.85620","13.08008"
"51.50000","0.85786","13.09453"
"51.60000","0.85942","13.09100"
"51.70000","0.86097","13.10116"
"51.80000","0.86252","13.11084"
"51.90000","0.86409","13.12136"
"52.00000","0.86568","13.13452"
"52.10000","0.86726","13.14634"
"52.20000","0.86898","13.16490"
"52.30000","0.87074","13.18493"
"52.40000","0.87237","13.19669"
"52.50000","0.87404","13.21183"
"52.60000","0.87569","13.22502"
"52.70000","0.87742","13.24263"
"52.80000","0.87911","13.25862"
"52.90000","0.88108","13.28909"
"53.00000","0.88304","13.31796"
"53.10000","0.88490","13.33996"
"53.20000","0.88669","13.35758"
"53.30000","0.88839","13.37249"
"53.40000","0.89002","13.37916"
"53.50000","0.89164","13.39022"
"53.60000","0.89334","13.40753"
"53.70000","0.89499","13.42202"
"53.80000","0.89655","13.43327"
"53.90000","0.89821","13.45099"
"54.00000","0.89988","13.46777"
"54.10000","0.90151","13.47746"
"54.20000","0.90309","13.48875"
"54.30000","0.90498","13.51978"
"54.40000","0.90676","13.54222"
"54.50000","0.90845","13.56046"
"54.60000","0.91003","13.57014"
"54.70000","0.91153","13.57749"
"54.80000","0.91322","13.59643"
"54.90000","0.91496","13.61916"
"55.00000","0.91656","13.63328"
"55.10000","0.91813","13.64602"
"55.20000","0.91979","13.66491"
"55.30000","0.92138","13.67828"
"55.40000","0.92294","13.68993"
"55.50000","0.92446","13.69938"
"55.60000","0.92600","13.71080"
"55.70000","0.92764","13.72674"
"55.80000","0.92930","13.74334"
"55.90000","0.93102","13.76522"
"56.00000","0.93272","13.78460"
"56.10000","0.93439","13.80186"
"56.20000","0.93615","13.82495"
"56.30000","0.93798","13.85107"
"56.40000","0.93974","13.87072"
"56.50000","0.94132","13.88116"
"56.60000","0.94294","13.89302"
"56.70000","0.94462","13.90946"
"56.80000","0.94629","13.92480"
"56.90000","0.94786","13.93581"
"57.00000","0.94950","13.95035"
"57.10000","0.95122","13.96971"
"57.20000","0.95285","13.98213"
"57.30000","0.95452","13.99778"
"57.40000","0.95630","14.01872"
"57.50000","0.95797","14.03294"
"57.60000","0.95970","14.05250"
"57.70000","0.96146","14.07360"
"57.80000","0.96317","14.09077"
"57.90000","0.96478","14.10204"
"58.00000","0.96644","14.11787"
"58.10000","0.96813","14.13532"
"58.20000","0.96981","14.15202"
"58.30000","0.97151","14.17080"
"58.40000","0.97315","14.18542"
"58.50000","0.97473","14.19592"
"58.60000","0.97635","14.21083"
"58.70000","0.97804","14.22874"
"58.80000","0.97969","14.24459"
"58.90000","0.98137","14.26203"
"59.00000","0.98307","14.28075"
"59.10000","0.98476","14.29716"
"59.20000","0.98644","14.31313"
"59.30000","0.98814","14.32997"
"59.40000","0.98978","14.34360"
"59.50000","0.99145","14.35958"
"59.60000","0.99309","14.37414"
"59.70000","0.99475","14.38980"
"59.80000","0.99642","14.40761"
"59.90000","0.99815","14.42827"
"60.00000","0.99979","14.44157"
"60.10000","1.00137","14.45317"
"60.20000","1.00309","14.47347"
"60.30000","1.00477","14.48975"
"60.40000","1.00638","14.50366"
"60.50000","1.00808","14.52239"
"60.60000","1.00977","14.53951"
"60.70000","1.01158","14.56208"
"60.80000","1.01326","14.57747"
"60.90000","1.01505","14.60008"
"61.00000","1.01681","14.61941"
"61.10000","1.01837","14.62688"
"61.20000","1.01990","14.63224"
"61.30000","1.02155","14.64792"
"61.40000","1.02316","14.66014"
"61.50000","1.02468","14.66705"
"61.60000","1.02625","14.67843"
"61.70000","1.02785","14.69153"
"61.80000","1.02945","14.70655"
"61.90000","1.03110","14.72374"
"62.00000","1.03280","14.74356"
"62.10000","1.03450","14.76301"
"62.20000","1.03620","14.78113"
"62.30000","1.03786","14.79718"
"62.40000","1.03952","14.81264"
"62.50000","1.04118","14.82822"
"62.60000","1.04290","14.84664"
"62.70000","1.04465","14.86675"
"62.80000","1.04652","14.89432"
"62.90000","1.04826","14.90983"
"63.00000","1.04986","14.91975"
"63.10000","1.05144","14.92952"
"63.20000","1.05313","14.94712"
"63.30000","1.05483","14.96295"
"63.40000","1.05641","14.97085"
"63.50000","1.05799","14.98087"
"63.60000","1.05951","14.98843"
"63.70000","1.06105","14.99829"
"63.80000","1.06265","15.01163"
"63.90000","1.06431","15.02894"
"64.00000","1.06596","15.04369"
"64.10000","1.06758","15.05854"
"64.20000","1.06942","15.08506"
"64.30000","1.07122","15.10627"
"64.40000","1.07299","15.12686"
"64.50000","1.07475","15.14675"
"64.60000","1.07650","15.16414"
"64.70000","1.07815","15.17452"
"64.80000","1.07973","15.18172"
"64.90000","1.08134","15.19179"
"65.00000","1.08295","15.20245"
"65.10000","1.08457","15.21400"
"65.20000","1.08626","15.22976"
"65.30000","1.08799","15.24764"
"65.40000","1.08974","15.26582"
"65.50000","1.09140","15.27649"
"65.60000","1.09300","15.28507"
"65.70000","1.09462","15.29793"
"65.80000","1.09613","15.30298"
"65.90000","1.09782","15.31674"
"66.00000","1.09952","15.33227"
"66.10000","1.10125","15.35050"
"66.20000","1.10287","15.36041"
"66.30000","1.10453","15.37483"
"66.40000","1.10623","15.39061"
"66.50000","1.10789","15.40470"
"66.60000","1.10953","15.41595"
"66.70000","1.11119","15.42977"
"66.80000","1.11284","15.44224"
"66.90000","1.11448","15.45387"
"67.00000","1.11622","15.47129"
"67.10000","1.11790","15.48351"
"67.20000","1.11963","15.49999"
"67.30000","1.12139","15.51764"
"67.40000","1.12317","15.53690"
"67.50000","1.12496","15.55654"
"67.60000","1.12653","15.56225"
"67.70000","1.12813","15.57195"
"67.80000","1.12981","15.58769"
"67.90000","1.13142","15.59904"
"68.00000","1.13299","15.60828"
"68.10000","1.13468","15.62413"
"68.20000","1.13634","15.63728"
"68.30000","1.13800","15.65227"
