General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{B79ADD22-6752-4860-AB0A-63D0B864AC79}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W1 3"
Break (Standard) : Load at Break (Standard),"3.11995",N
Maximum Load : Maximum Load,"3.96552",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.39043"
"0.10000","0.00001","0.39029"
"0.20000","0.00027","0.39117"
"0.30000","0.00111","0.39632"
"0.40000","0.00359","0.41408"
"0.50000","0.00732","0.44048"
"0.60000","0.00924","0.45198"
"0.70000","0.01087","0.46125"
"0.80000","0.01252","0.46939"
"0.90000","0.01432","0.47735"
"1.00000","0.01601","0.48081"
"1.10000","0.01770","0.48487"
"1.20000","0.01935","0.48822"
"1.30000","0.02100","0.49133"
"1.40000","0.02277","0.49486"
"1.50000","0.02455","0.49765"
"1.60000","0.02626","0.49921"
"1.70000","0.02796","0.50109"
"1.80000","0.02967","0.50313"
"1.90000","0.03133","0.50812"
"2.00000","0.03284","0.51609"
"2.10000","0.03433","0.52458"
"2.20000","0.03598","0.53418"
"2.30000","0.03773","0.54463"
"2.40000","0.03941","0.55416"
"2.50000","0.04110","0.56367"
"2.60000","0.04284","0.57329"
"2.70000","0.04449","0.58282"
"2.80000","0.04635","0.59277"
"2.90000","0.04815","0.60260"
"3.00000","0.04983","0.61164"
"3.10000","0.05139","0.61975"
"3.20000","0.05304","0.62841"
"3.30000","0.05477","0.63757"
"3.40000","0.05639","0.64559"
"3.50000","0.05799","0.65382"
"3.60000","0.05962","0.66183"
"3.70000","0.06121","0.66931"
"3.80000","0.06278","0.67715"
"3.90000","0.06439","0.68580"
"4.00000","0.06604","0.69344"
"4.10000","0.06765","0.70209"
"4.20000","0.06933","0.71021"
"4.30000","0.07103","0.71889"
"4.40000","0.07275","0.72786"
"4.50000","0.07440","0.73594"
"4.60000","0.07607","0.74397"
"4.70000","0.07781","0.75262"
"4.80000","0.07957","0.76184"
"4.90000","0.08127","0.77005"
"5.00000","0.08289","0.77764"
"5.10000","0.08449","0.78508"
"5.20000","0.08614","0.79257"
"5.30000","0.08787","0.80082"
"5.40000","0.08955","0.80890"
"5.50000","0.09119","0.81645"
"5.60000","0.09290","0.82449"
"5.70000","0.09457","0.83234"
"5.80000","0.09625","0.83976"
"5.90000","0.09790","0.84720"
"6.00000","0.09948","0.85447"
"6.10000","0.10138","0.86316"
"6.20000","0.10323","0.87174"
"6.30000","0.10489","0.87902"
"6.40000","0.10658","0.88669"
"6.50000","0.10833","0.89370"
"6.60000","0.10999","0.90172"
"6.70000","0.11160","0.90778"
"6.80000","0.11316","0.91399"
"6.90000","0.11478","0.92024"
"7.00000","0.11637","0.92632"
"7.10000","0.11796","0.93371"
"7.20000","0.11961","0.94090"
"7.30000","0.12123","0.94778"
"7.40000","0.12295","0.95492"
"7.50000","0.12470","0.96167"
"7.60000","0.12633","0.96756"
"7.70000","0.12797","0.97374"
