General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{B5F686DF-F7FE-4310-B434-77E95FB2963F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W1 4"
Break (Standard) : Load at Break (Standard),"14.87707",N
Maximum Load : Maximum Load,"14.87707",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.26169"
"0.10000","0.00011","0.26296"
"0.20000","0.00070","0.26937"
"0.30000","0.00192","0.28222"
"0.40000","0.00384","0.30235"
"0.50000","0.00630","0.32974"
"0.60000","0.00875","0.35616"
"0.70000","0.01078","0.37722"
"0.80000","0.01254","0.39471"
"0.90000","0.01420","0.41064"
"1.00000","0.01589","0.42758"
"1.10000","0.01763","0.44454"
"1.20000","0.01932","0.46051"
"1.30000","0.02094","0.47542"
"1.40000","0.02266","0.49175"
"1.50000","0.02441","0.50822"
"1.60000","0.02606","0.52350"
"1.70000","0.02785","0.54033"
"1.80000","0.02969","0.55775"
"1.90000","0.03142","0.57345"
"2.00000","0.03314","0.58916"
"2.10000","0.03481","0.60464"
"2.20000","0.03640","0.61846"
"2.30000","0.03798","0.63224"
"2.40000","0.03955","0.64612"
"2.50000","0.04115","0.66063"
"2.60000","0.04282","0.67617"
"2.70000","0.04447","0.69096"
"2.80000","0.04612","0.70630"
"2.90000","0.04785","0.72269"
"3.00000","0.04951","0.73802"
"3.10000","0.05123","0.75370"
"3.20000","0.05299","0.77019"
"3.30000","0.05483","0.78725"
"3.40000","0.05655","0.80260"
"3.50000","0.05814","0.81651"
"3.60000","0.05981","0.83130"
"3.70000","0.06142","0.84519"
"3.80000","0.06305","0.86015"
"3.90000","0.06473","0.87529"
"4.00000","0.06640","0.89048"
"4.10000","0.06803","0.90478"
"4.20000","0.06968","0.91963"
"4.30000","0.07134","0.93439"
"4.40000","0.07303","0.95189"
"4.50000","0.07466","0.96713"
"4.60000","0.07626","0.98181"
"4.70000","0.07789","0.99678"
"4.80000","0.07959","1.01364"
"4.90000","0.08123","1.02907"
"5.00000","0.08291","1.04480"
"5.10000","0.08464","1.06120"
"5.20000","0.08638","1.07747"
"5.30000","0.08808","1.09305"
"5.40000","0.08973","1.10756"
"5.50000","0.09135","1.12166"
"5.60000","0.09298","1.13636"
"5.70000","0.09464","1.15113"
"5.80000","0.09623","1.16459"
"5.90000","0.09784","1.17754"
"6.00000","0.09953","1.19177"
"6.10000","0.10117","1.20517"
"6.20000","0.10279","1.21842"
"6.30000","0.10436","1.22991"
"6.40000","0.10604","1.24397"
"6.50000","0.10778","1.26012"
"6.60000","0.10946","1.27414"
"6.70000","0.11117","1.28885"
"6.80000","0.11289","1.30268"
"6.90000","0.11458","1.31684"
"7.00000","0.11622","1.32939"
"7.10000","0.11784","1.34221"
"7.20000","0.11952","1.35447"
"7.30000","0.12126","1.36874"
"7.40000","0.12302","1.38143"
"7.50000","0.12471","1.39188"
"7.60000","0.12641","1.40347"
"7.70000","0.12807","1.41522"
"7.80000","0.12972","1.42686"
"7.90000","0.13138","1.43888"
"8.00000","0.13304","1.45168"
"8.10000","0.13466","1.46337"
"8.20000","0.13616","1.47418"
"8.30000","0.13775","1.48623"
"8.40000","0.13950","1.50028"
"8.50000","0.14127","1.51497"
"8.60000","0.14295","1.52815"
"8.70000","0.14463","1.54127"
"8.80000","0.14625","1.55353"
"8.90000","0.14789","1.56769"
"9.00000","0.14952","1.58136"
"9.10000","0.15118","1.59411"
"9.20000","0.15277","1.60641"
"9.30000","0.15445","1.61961"
"9.40000","0.15621","1.63365"
"9.50000","0.15795","1.64735"
"9.60000","0.15950","1.65663"
"9.70000","0.16133","1.67230"
"9.80000","0.16320","1.68583"
"9.90000","0.16487","1.69577"
"10.00000","0.16661","1.70834"
"10.10000","0.16827","1.71909"
"10.20000","0.16976","1.72806"
"10.30000","0.17132","1.73958"
"10.40000","0.17290","1.75235"
"10.50000","0.17449","1.76493"
"10.60000","0.17608","1.77708"
"10.70000","0.17771","1.79084"
"10.80000","0.17946","1.80605"
"10.90000","0.18112","1.81932"
"11.00000","0.18276","1.83178"
"11.10000","0.18453","1.84608"
"11.20000","0.18627","1.85984"
"11.30000","0.18788","1.87010"
"11.40000","0.18948","1.87955"
"11.50000","0.19120","1.89070"
"11.60000","0.19303","1.90267"
"11.70000","0.19483","1.90911"
"11.80000","0.19654","1.91023"
"11.90000","0.19817","1.90920"
"12.00000","0.19980","1.92090"
"12.10000","0.20128","1.93332"
"12.20000","0.20276","1.94757"
"12.30000","0.20436","1.96315"
"12.40000","0.20604","1.98008"
"12.50000","0.20777","1.99734"
"12.60000","0.20940","2.01234"
"12.70000","0.21102","2.02684"
"12.80000","0.21276","2.04411"
"12.90000","0.21445","2.05945"
"13.00000","0.21629","2.07751"
"13.10000","0.21807","2.09413"
"13.20000","0.21979","2.10898"
"13.30000","0.22137","2.12120"
"13.40000","0.22301","2.13526"
"13.50000","0.22475","2.15050"
"13.60000","0.22636","2.16411"
"13.70000","0.22798","2.17645"
"13.80000","0.22957","2.18932"
"13.90000","0.23120","2.20308"
"14.00000","0.23280","2.21629"
"14.10000","0.23442","2.23036"
"14.20000","0.23603","2.24313"
"14.30000","0.23767","2.25664"
"14.40000","0.23933","2.27060"
"14.50000","0.24101","2.28560"
"14.60000","0.24276","2.30187"
"14.70000","0.24444","2.31617"
"14.80000","0.24612","2.33098"
"14.90000","0.24788","2.34696"
"15.00000","0.24957","2.36116"
"15.10000","0.25128","2.37561"
"15.20000","0.25299","2.38992"
"15.30000","0.25464","2.40318"
"15.40000","0.25625","2.41532"
"15.50000","0.25791","2.42852"
"15.60000","0.25961","2.44269"
"15.70000","0.26126","2.45558"
"15.80000","0.26291","2.46853"
"15.90000","0.26455","2.48144"
"16.00000","0.26623","2.49499"
"16.10000","0.26787","2.50815"
"16.20000","0.26952","2.52112"
"16.30000","0.27143","2.53873"
"16.40000","0.27324","2.55455"
"16.50000","0.27489","2.56638"
"16.60000","0.27653","2.57849"
"16.70000","0.27820","2.59047"
"16.80000","0.27984","2.60190"
"16.90000","0.28143","2.61172"
"17.00000","0.28305","2.62272"
"17.10000","0.28471","2.63376"
"17.20000","0.28634","2.64408"
"17.30000","0.28794","2.65544"
"17.40000","0.28956","2.66607"
"17.50000","0.29125","2.67863"
"17.60000","0.29299","2.69231"
"17.70000","0.29470","2.70499"
"17.80000","0.29632","2.71545"
"17.90000","0.29801","2.72857"
"18.00000","0.29965","2.74043"
"18.10000","0.30120","2.74883"
"18.20000","0.30288","2.76141"
"18.30000","0.30456","2.77468"
"18.40000","0.30624","2.78885"
"18.50000","0.30796","2.80283"
"18.60000","0.30965","2.81694"
"18.70000","0.31128","2.82908"
"18.80000","0.31286","2.84060"
"18.90000","0.31452","2.85386"
"19.00000","0.31615","2.86647"
"19.10000","0.31786","2.88089"
"19.20000","0.31955","2.89484"
"19.30000","0.32117","2.90665"
"19.40000","0.32285","2.92038"
"19.50000","0.32447","2.93228"
"19.60000","0.32628","2.94923"
"19.70000","0.32817","2.96660"
"19.80000","0.32991","2.98008"
"19.90000","0.33158","2.99207"
"20.00000","0.33318","3.00253"
"20.10000","0.33475","3.01278"
"20.20000","0.33639","3.02514"
"20.30000","0.33804","3.03759"
"20.40000","0.33967","3.05040"
"20.50000","0.34132","3.06258"
"20.60000","0.34300","3.07587"
"20.70000","0.34470","3.09017"
"20.80000","0.34639","3.10331"
"20.90000","0.34810","3.11735"
"21.00000","0.34979","3.13050"
"21.10000","0.35146","3.14380"
"21.20000","0.35312","3.15605"
"21.30000","0.35479","3.16923"
"21.40000","0.35651","3.18389"
"21.50000","0.35835","3.20086"
"21.60000","0.36021","3.21814"
"21.70000","0.36180","3.22952"
"21.80000","0.36337","3.23953"
"21.90000","0.36505","3.25311"
"22.00000","0.36670","3.26569"
"22.10000","0.36820","3.27498"
"22.20000","0.36974","3.28676"
"22.30000","0.37140","3.30135"
"22.40000","0.37308","3.31644"
"22.50000","0.37474","3.33045"
"22.60000","0.37638","3.34452"
"22.70000","0.37796","3.35710"
"22.80000","0.37960","3.37138"
"22.90000","0.38126","3.38570"
"23.00000","0.38295","3.40095"
"23.10000","0.38471","3.41719"
"23.20000","0.38636","3.43074"
"23.30000","0.38797","3.44301"
"23.40000","0.38956","3.45571"
"23.50000","0.39122","3.46980"
"23.60000","0.39294","3.48517"
"23.70000","0.39467","3.50032"
"23.80000","0.39640","3.51487"
"23.90000","0.39810","3.52877"
"24.00000","0.39977","3.54248"
"24.10000","0.40141","3.55484"
"24.20000","0.40303","3.56809"
"24.30000","0.40464","3.58068"
"24.40000","0.40622","3.59344"
"24.50000","0.40784","3.60719"
"24.60000","0.40953","3.62239"
"24.70000","0.41122","3.63789"
"24.80000","0.41300","3.65488"
"24.90000","0.41472","3.66947"
"25.00000","0.41633","3.68221"
"25.10000","0.41792","3.69356"
"25.20000","0.41951","3.70642"
"25.30000","0.42117","3.72098"
"25.40000","0.42278","3.73342"
"25.50000","0.42445","3.74739"
"25.60000","0.42617","3.76269"
"25.70000","0.42780","3.77522"
"25.80000","0.42944","3.78819"
"25.90000","0.43110","3.80188"
"26.00000","0.43273","3.81507"
"26.10000","0.43456","3.83265"
"26.20000","0.43631","3.84790"
"26.30000","0.43796","3.86162"
"26.40000","0.43968","3.87701"
"26.50000","0.44135","3.89047"
"26.60000","0.44304","3.90534"
"26.70000","0.44468","3.91841"
"26.80000","0.44632","3.93175"
"26.90000","0.44791","3.94400"
"27.00000","0.44952","3.95735"
"27.10000","0.45120","3.97229"
"27.20000","0.45286","3.98663"
"27.30000","0.45457","4.00169"
