General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{C6FCA825-32AD-4DDF-8735-4037458D7A68}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W3 2"
Break (Standard) : Load at Break (Standard),"42.63090",N
Maximum Load : Maximum Load,"48.75054",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.49907"
"0.10000","0.00009","0.50158"
"0.20000","0.00062","0.50470"
"0.30000","0.00171","0.50528"
"0.40000","0.00351","0.50836"
"0.50000","0.00580","0.53539"
"0.60000","0.00818","0.56044"
"0.70000","0.01036","0.57886"
"0.80000","0.01237","0.60471"
"0.90000","0.01429","0.63370"
"1.00000","0.01600","0.66207"
"1.10000","0.01775","0.69058"
"1.20000","0.01948","0.72773"
"1.30000","0.02118","0.76751"
"1.40000","0.02281","0.80719"
"1.50000","0.02446","0.84901"
"1.60000","0.02617","0.88025"
"1.70000","0.02789","0.91122"
"1.80000","0.02953","0.94429"
"1.90000","0.03121","0.97345"
"2.00000","0.03286","0.99594"
"2.10000","0.03446","1.01756"
"2.20000","0.03623","1.04814"
"2.30000","0.03804","1.07654"
"2.40000","0.03978","1.08097"
"2.50000","0.04143","1.10140"
"2.60000","0.04311","1.14018"
"2.70000","0.04483","1.18272"
"2.80000","0.04647","1.21500"
"2.90000","0.04807","1.25462"
"3.00000","0.04971","1.30919"
"3.10000","0.05143","1.36554"
"3.20000","0.05309","1.41690"
"3.30000","0.05472","1.46621"
"3.40000","0.05640","1.51755"
"3.50000","0.05802","1.56632"
"3.60000","0.05968","1.61658"
"3.70000","0.06132","1.66602"
"3.80000","0.06287","1.71224"
"3.90000","0.06449","1.76163"
"4.00000","0.06629","1.81916"
"4.10000","0.06800","1.87345"
"4.20000","0.06975","1.93139"
"4.30000","0.07141","1.98494"
"4.40000","0.07307","2.03820"
"4.50000","0.07478","2.09410"
"4.60000","0.07644","2.14741"
"4.70000","0.07804","2.19723"
"4.80000","0.07966","2.24865"
"4.90000","0.08132","2.30017"
"5.00000","0.08301","2.35298"
"5.10000","0.08469","2.40434"
"5.20000","0.08634","2.45488"
"5.30000","0.08805","2.50850"
"5.40000","0.08968","2.55804"
"5.50000","0.09144","2.61307"
"5.60000","0.09310","2.66214"
"5.70000","0.09472","2.71028"
"5.80000","0.09639","2.76222"
"5.90000","0.09803","2.81283"
"6.00000","0.09969","2.86371"
"6.10000","0.10128","2.91148"
"6.20000","0.10282","2.95626"
"6.30000","0.10448","3.00829"
"6.40000","0.10614","3.06005"
"6.50000","0.10781","3.11125"
"6.60000","0.10946","3.16045"
"6.70000","0.11116","3.21220"
"6.80000","0.11288","3.26337"
"6.90000","0.11454","3.31343"
"7.00000","0.11623","3.36529"
"7.10000","0.11776","3.40776"
"7.20000","0.11953","3.46447"
"7.30000","0.12146","3.52836"
"7.40000","0.12314","3.57730"
"7.50000","0.12480","3.62612"
"7.60000","0.12655","3.67999"
"7.70000","0.12820","3.72919"
"7.80000","0.12977","3.77371"
"7.90000","0.13140","3.82251"
"8.00000","0.13311","3.87711"
"8.10000","0.13475","3.92585"
"8.20000","0.13632","3.97248"
"8.30000","0.13799","4.02431"
"8.40000","0.13967","4.07598"
"8.50000","0.14128","4.12370"
"8.60000","0.14285","4.16938"
"8.70000","0.14447","4.21758"
"8.80000","0.14627","4.27536"
"8.90000","0.14790","4.32209"
"9.00000","0.14960","4.37275"
"9.10000","0.15128","4.42316"
"9.20000","0.15303","4.47808"
"9.30000","0.15475","4.53030"
"9.40000","0.15636","4.57446"
"9.50000","0.15800","4.62202"
"9.60000","0.15957","4.66539"
"9.70000","0.16116","4.70977"
"9.80000","0.16284","4.75999"
"9.90000","0.16447","4.80650"
"10.00000","0.16610","4.85325"
"10.10000","0.16776","4.90091"
"10.20000","0.16944","4.95017"
"10.30000","0.17118","5.00293"
"10.40000","0.17285","5.04928"
"10.50000","0.17449","5.09261"
"10.60000","0.17622","5.14218"
"10.70000","0.17795","5.19137"
"10.80000","0.17964","5.23861"
"10.90000","0.18136","5.28672"
"11.00000","0.18301","5.33049"
"11.10000","0.18459","5.37009"
"11.20000","0.18617","5.41245"
"11.30000","0.18786","5.46161"
"11.40000","0.18954","5.50986"
"11.50000","0.19126","5.55930"
"11.60000","0.19299","5.60894"
"11.70000","0.19471","5.65816"
"11.80000","0.19636","5.70241"
"11.90000","0.19794","5.74331"
"12.00000","0.19959","5.79028"
"12.10000","0.20144","5.84893"
"12.20000","0.20312","5.89669"
"12.30000","0.20476","5.94145"
"12.40000","0.20642","5.98740"
"12.50000","0.20808","6.03329"
"12.60000","0.20973","6.07791"
"12.70000","0.21138","6.12333"
"12.80000","0.21298","6.16501"
"12.90000","0.21461","6.20925"
"13.00000","0.21621","6.25139"
"13.10000","0.21790","6.29873"
"13.20000","0.21956","6.34505"
"13.30000","0.22123","6.39024"
"13.40000","0.22292","6.43884"
"13.50000","0.22462","6.48619"
"13.60000","0.22626","6.52906"
"13.70000","0.22792","6.57207"
"13.80000","0.22952","6.61089"
"13.90000","0.23120","6.65716"
"14.00000","0.23285","6.70297"
"14.10000","0.23453","6.75151"
"14.20000","0.23615","6.79355"
"14.30000","0.23786","6.84091"
"14.40000","0.23956","6.88877"
"14.50000","0.24113","6.92656"
"14.60000","0.24277","6.97080"
"14.70000","0.24443","7.01644"
"14.80000","0.24618","7.06561"
"14.90000","0.24788","7.11092"
"15.00000","0.24959","7.15820"
"15.10000","0.25124","7.20193"
"15.20000","0.25281","7.24079"
"15.30000","0.25458","7.29272"
"15.40000","0.25626","7.33624"
"15.50000","0.25791","7.37842"
"15.60000","0.25961","7.42405"
"15.70000","0.26125","7.46618"
"15.80000","0.26281","7.50372"
"15.90000","0.26443","7.54714"
"16.00000","0.26617","7.59880"
"16.10000","0.26780","7.64189"
"16.20000","0.26938","7.68373"
"16.30000","0.27101","7.72813"
"16.40000","0.27270","7.77552"
"16.50000","0.27444","7.82610"
"16.60000","0.27613","7.87186"
"16.70000","0.27777","7.91389"
"16.80000","0.27943","7.95673"
"16.90000","0.28107","7.99970"
"17.00000","0.28262","8.03521"
"17.10000","0.28444","8.09000"
"17.20000","0.28635","8.14934"
"17.30000","0.28800","8.18905"
"17.40000","0.28972","8.23355"
"17.50000","0.29143","8.27705"
"17.60000","0.29304","8.31396"
"17.70000","0.29468","8.35449"
"17.80000","0.29636","8.39824"
"17.90000","0.29793","8.43495"
"18.00000","0.29951","8.47368"
"18.10000","0.30118","8.52035"
"18.20000","0.30288","8.56741"
"18.30000","0.30454","8.61164"
"18.40000","0.30616","8.65247"
"18.50000","0.30789","8.70252"
"18.60000","0.30976","8.75958"
"18.70000","0.31145","8.80231"
"18.80000","0.31308","8.84279"
"18.90000","0.31476","8.88670"
"19.00000","0.31650","8.93532"
"19.10000","0.31818","8.97862"
"19.20000","0.31978","9.01647"
"19.30000","0.32138","9.05606"
"19.40000","0.32305","9.10049"
"19.50000","0.32469","9.14311"
"19.60000","0.32624","9.18030"
"19.70000","0.32777","9.21683"
"19.80000","0.32946","9.26640"
"19.90000","0.33115","9.31681"
"20.00000","0.33283","9.36505"
"20.10000","0.33453","9.41344"
"20.20000","0.33623","9.46283"
"20.30000","0.33788","9.50684"
"20.40000","0.33956","9.55393"
"20.50000","0.34141","9.61343"
"20.60000","0.34310","9.65714"
"20.70000","0.34470","9.69431"
"20.80000","0.34635","9.73693"
"20.90000","0.34802","9.77906"
"21.00000","0.34961","9.81614"
"21.10000","0.35115","9.84996"
"21.20000","0.35278","9.89171"
"21.30000","0.35447","9.93757"
"21.40000","0.35620","9.98518"
"21.50000","0.35787","10.02966"
"21.60000","0.35955","10.07459"
"21.70000","0.36115","10.11417"
"21.80000","0.36288","10.16508"
"21.90000","0.36459","10.21405"
"22.00000","0.36630","10.26280"
"22.10000","0.36805","10.31437"
"22.20000","0.36977","10.36113"
"22.30000","0.37149","10.40994"
"22.40000","0.37311","10.44951"
"22.50000","0.37478","10.49412"
"22.60000","0.37640","10.53369"
"22.70000","0.37802","10.57384"
"22.80000","0.37971","10.62126"
"22.90000","0.38140","10.66907"
"23.00000","0.38314","10.71994"
"23.10000","0.38491","10.77131"
"23.20000","0.38658","10.81452"
"23.30000","0.38826","10.85969"
"23.40000","0.38998","10.90886"
"23.50000","0.39155","10.94590"
"23.60000","0.39311","10.98578"
"23.70000","0.39481","11.03749"
"23.80000","0.39663","11.09955"
"23.90000","0.39842","11.15681"
"24.00000","0.40006","11.20081"
"24.10000","0.40169","11.24610"
"24.20000","0.40326","11.28731"
"24.30000","0.40483","11.32859"
"24.40000","0.40643","11.37492"
"24.50000","0.40802","11.41957"
"24.60000","0.40964","11.46638"
"24.70000","0.41124","11.51128"
"24.80000","0.41290","11.56118"
"24.90000","0.41467","11.61915"
"25.00000","0.41625","11.66020"
"25.10000","0.41796","11.71271"
"25.20000","0.41982","11.77781"
"25.30000","0.42150","11.82342"
"25.40000","0.42312","11.86621"
"25.50000","0.42471","11.90662"
