General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{E5EF7F90-3196-433C-920C-FEA37DCBEFD2}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W3 1"
Break (Standard) : Load at Break (Standard),"26.31168",N
Maximum Load : Maximum Load,"41.83991",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.85109"
"0.10000","0.00009","0.85512"
"0.20000","0.00078","0.88258"
"0.30000","0.00222","0.93926"
"0.40000","0.00426","1.01832"
"0.50000","0.00649","1.10261"
"0.60000","0.00878","1.18491"
"0.70000","0.01075","1.25314"
"0.80000","0.01271","1.31967"
"0.90000","0.01457","1.38093"
"1.00000","0.01627","1.43442"
"1.10000","0.01793","1.48731"
"1.20000","0.01972","1.54457"
"1.30000","0.02141","1.59746"
"1.40000","0.02305","1.64748"
"1.50000","0.02477","1.70181"
"1.60000","0.02643","1.75238"
"1.70000","0.02805","1.80191"
"1.80000","0.02970","1.85242"
"1.90000","0.03132","1.90107"
"2.00000","0.03288","1.94741"
"2.10000","0.03453","1.99679"
"2.20000","0.03617","2.04636"
"2.30000","0.03771","2.09137"
"2.40000","0.03931","2.13777"
"2.50000","0.04104","2.18765"
"2.60000","0.04267","2.23548"
"2.70000","0.04435","2.28582"
"2.80000","0.04598","2.33173"
"2.90000","0.04764","2.37759"
"3.00000","0.04930","2.42212"
"3.10000","0.05104","2.47108"
"3.20000","0.05278","2.52135"
"3.30000","0.05448","2.56867"
"3.40000","0.05619","2.61569"
"3.50000","0.05789","2.66185"
"3.60000","0.05957","2.70825"
"3.70000","0.06125","2.75504"
"3.80000","0.06295","2.80260"
"3.90000","0.06456","2.84566"
"4.00000","0.06629","2.89365"
"4.10000","0.06812","2.94543"
"4.20000","0.06973","2.98733"
"4.30000","0.07134","3.03169"
"4.40000","0.07304","3.07960"
"4.50000","0.07468","3.12391"
"4.60000","0.07639","3.17101"
"4.70000","0.07803","3.21585"
"4.80000","0.07968","3.26112"
"4.90000","0.08123","3.30106"
"5.00000","0.08286","3.34518"
"5.10000","0.08465","3.39627"
"5.20000","0.08650","3.44997"
"5.30000","0.08816","3.49515"
"5.40000","0.08984","3.54112"
"5.50000","0.09156","3.58801"
"5.60000","0.09307","3.62480"
"5.70000","0.09486","3.67832"
"5.80000","0.09672","3.73196"
"5.90000","0.09836","3.77470"
"6.00000","0.10002","3.81924"
"6.10000","0.10169","3.86422"
"6.20000","0.10339","3.91203"
"6.30000","0.10499","3.95461"
"6.40000","0.10651","3.99389"
"6.50000","0.10809","4.03743"
"6.60000","0.10976","4.08484"
"6.70000","0.11138","4.12825"
"6.80000","0.11310","4.17822"
"6.90000","0.11479","4.22564"
"7.00000","0.11646","4.27179"
"7.10000","0.11812","4.31622"
"7.20000","0.11977","4.36083"
"7.30000","0.12151","4.40889"
"7.40000","0.12315","4.45324"
"7.50000","0.12482","4.49718"
"7.60000","0.12651","4.54257"
"7.70000","0.12820","4.58815"
"7.80000","0.12982","4.63018"
"7.90000","0.13144","4.67184"
"8.00000","0.13309","4.71462"
"8.10000","0.13468","4.75458"
"8.20000","0.13633","4.79848"
"8.30000","0.13797","4.84075"
"8.40000","0.13953","4.87913"
"8.50000","0.14115","4.92131"
"8.60000","0.14278","4.96359"
"8.70000","0.14447","5.00915"
"8.80000","0.14616","5.05306"
"8.90000","0.14782","5.09429"
"9.00000","0.14948","5.13540"
"9.10000","0.15125","5.18194"
"9.20000","0.15302","5.22687"
"9.30000","0.15474","5.26891"
"9.40000","0.15635","5.30508"
"9.50000","0.15798","5.34238"
"9.60000","0.15957","5.37867"
"9.70000","0.16117","5.41544"
"9.80000","0.16281","5.45375"
"9.90000","0.16446","5.49181"
"10.00000","0.16612","5.53079"
"10.10000","0.16777","5.56831"
"10.20000","0.16946","5.60868"
"10.30000","0.17108","5.64466"
"10.40000","0.17274","5.68360"
"10.50000","0.17444","5.72453"
"10.60000","0.17622","5.76888"
"10.70000","0.17794","5.80901"
"10.80000","0.17962","5.84721"
"10.90000","0.18133","5.88704"
"11.00000","0.18306","5.92747"
"11.10000","0.18468","5.96089"
"11.20000","0.18634","5.99781"
"11.30000","0.18800","6.03601"
"11.40000","0.18961","6.07226"
"11.50000","0.19120","6.10611"
"11.60000","0.19288","6.14480"
"11.70000","0.19456","6.18330"
"11.80000","0.19622","6.22083"
"11.90000","0.19791","6.26057"
"12.00000","0.19965","6.30225"
"12.10000","0.20143","6.34471"
"12.20000","0.20311","6.38226"
"12.30000","0.20473","6.41786"
"12.40000","0.20641","6.45783"
"12.50000","0.20808","6.49672"
"12.60000","0.20976","6.53568"
"12.70000","0.21138","6.57117"
"12.80000","0.21303","6.60912"
"12.90000","0.21471","6.64802"
"13.00000","0.21635","6.68489"
"13.10000","0.21801","6.72198"
"13.20000","0.21959","6.75511"
"13.30000","0.22122","6.79091"
"13.40000","0.22283","6.82549"
"13.50000","0.22453","6.86474"
"13.60000","0.22619","6.90133"
"13.70000","0.22779","6.93375"
"13.80000","0.22949","6.97221"
"13.90000","0.23129","7.01549"
"14.00000","0.23302","7.05318"
"14.10000","0.23478","7.09291"
"14.20000","0.23641","7.12401"
"14.30000","0.23796","7.15298"
"14.40000","0.23957","7.18694"
"14.50000","0.24120","7.22223"
"14.60000","0.24283","7.25773"
"14.70000","0.24447","7.29130"
"14.80000","0.24609","7.32514"
"14.90000","0.24773","7.36000"
"15.00000","0.24937","7.39550"
"15.10000","0.25102","7.43048"
"15.20000","0.25265","7.46349"
"15.30000","0.25438","7.50181"
"15.40000","0.25616","7.54129"
"15.50000","0.25780","7.57315"
"15.60000","0.25960","7.61395"
"15.70000","0.26132","7.64917"
"15.80000","0.26304","7.68365"
"15.90000","0.26483","7.72124"
"16.00000","0.26643","7.74801"
"16.10000","0.26802","7.77650"
"16.20000","0.26958","7.80373"
"16.30000","0.27107","7.82806"
"16.40000","0.27263","7.85644"
"16.50000","0.27420","7.88689"
"16.60000","0.27581","7.91924"
"16.70000","0.27748","7.95259"
"16.80000","0.27917","7.98736"
"16.90000","0.28092","8.02514"
"17.00000","0.28259","8.05829"
"17.10000","0.28439","8.09758"
"17.20000","0.28615","8.13363"
"17.30000","0.28788","8.16770"
"17.40000","0.28957","8.19978"
"17.50000","0.29129","8.23287"
"17.60000","0.29298","8.26340"
"17.70000","0.29461","8.29056"
"17.80000","0.29638","8.32660"
"17.90000","0.29810","8.35924"
"18.00000","0.29965","8.38202"
"18.10000","0.30120","8.40719"
"18.20000","0.30280","8.43618"
"18.30000","0.30441","8.46705"
"18.40000","0.30607","8.49977"
"18.50000","0.30770","8.53073"
"18.60000","0.30940","8.56533"
"18.70000","0.31113","8.60285"
"18.80000","0.31279","8.63469"
"18.90000","0.31449","8.67016"
"19.00000","0.31634","8.71225"
"19.10000","0.31819","8.75880"
"19.20000","0.31980","8.78180"
"19.30000","0.32136","8.80585"
"19.40000","0.32308","8.84157"
"19.50000","0.32483","8.87557"
"19.60000","0.32640","8.90032"
"19.70000","0.32802","8.92875"
"19.80000","0.32974","8.96296"
"19.90000","0.33147","8.99827"
"20.00000","0.33317","9.03137"
"20.10000","0.33483","9.06263"
"20.20000","0.33640","9.08891"
"20.30000","0.33806","9.12245"
"20.40000","0.33979","9.15979"
"20.50000","0.34146","9.19289"
"20.60000","0.34305","9.22173"
"20.70000","0.34474","9.25786"
"20.80000","0.34643","9.29368"
"20.90000","0.34804","9.32168"
"21.00000","0.34966","9.35254"
"21.10000","0.35134","9.38988"
"21.20000","0.35301","9.42478"
"21.30000","0.35466","9.45659"
"21.40000","0.35631","9.48982"
"21.50000","0.35800","9.52407"
"21.60000","0.35970","9.55824"
"21.70000","0.36137","9.59174"
"21.80000","0.36300","9.62200"
"21.90000","0.36464","9.65252"
"22.00000","0.36626","9.68212"
"22.10000","0.36784","9.70898"
"22.20000","0.36946","9.74172"
"22.30000","0.37119","9.77473"
"22.40000","0.37284","9.80518"
"22.50000","0.37450","9.83854"
"22.60000","0.37620","9.87282"
"22.70000","0.37776","9.89821"
"22.80000","0.37939","9.92927"
"22.90000","0.38107","9.96368"
"23.00000","0.38275","9.99870"
"23.10000","0.38444","10.03243"
"23.20000","0.38625","10.07438"
"23.30000","0.38817","10.12528"
"23.40000","0.38988","10.15502"
"23.50000","0.39140","10.17597"
"23.60000","0.39327","10.22083"
"23.70000","0.39520","10.26606"
"23.80000","0.39682","10.29040"
"23.90000","0.39838","10.31508"
"24.00000","0.40010","10.35559"
"24.10000","0.40166","10.37854"
"24.20000","0.40316","10.40032"
"24.30000","0.40464","10.42217"
"24.40000","0.40611","10.44366"
"24.50000","0.40769","10.47480"
"24.60000","0.40934","10.50988"
"24.70000","0.41095","10.54138"
"24.80000","0.41263","10.57708"
"24.90000","0.41425","10.60733"
"25.00000","0.41592","10.64497"
"25.10000","0.41765","10.68088"
"25.20000","0.41933","10.71438"
"25.30000","0.42103","10.74844"
"25.40000","0.42277","10.78506"
"25.50000","0.42462","10.82785"
"25.60000","0.42643","10.86706"
"25.70000","0.42814","10.89782"
"25.80000","0.42979","10.92532"
"25.90000","0.43141","10.95322"
"26.00000","0.43316","10.98965"
"26.10000","0.43481","11.01821"
"26.20000","0.43636","11.04222"
"26.30000","0.43797","11.07257"
"26.40000","0.43956","11.10067"
"26.50000","0.44119","11.13161"
"26.60000","0.44290","11.16806"
"26.70000","0.44462","11.20482"
"26.80000","0.44623","11.23226"
"26.90000","0.44803","11.27498"
"27.00000","0.44984","11.31634"
"27.10000","0.45150","11.34423"
"27.20000","0.45306","11.36882"
"27.30000","0.45473","11.40208"
"27.40000","0.45641","11.43601"
"27.50000","0.45809","11.46863"
"27.60000","0.45978","11.50266"
"27.70000","0.46143","11.53342"
"27.80000","0.46302","11.56016"
"27.90000","0.46466","11.59182"
"28.00000","0.46623","11.61746"
"28.10000","0.46783","11.64729"
"28.20000","0.46950","11.67858"
"28.30000","0.47109","11.70679"
"28.40000","0.47273","11.73935"
"28.50000","0.47445","11.77854"
"28.60000","0.47614","11.81319"
"28.70000","0.47783","11.84879"
"28.80000","0.47965","11.89278"
"28.90000","0.48149","11.93736"
"29.00000","0.48320","11.97021"
"29.10000","0.48479","11.99600"
"29.20000","0.48639","12.02413"
"29.30000","0.48806","12.05747"
"29.40000","0.48968","12.08619"
"29.50000","0.49132","12.11884"
"29.60000","0.49301","12.15314"
"29.70000","0.49465","12.18506"
"29.80000","0.49633","12.22068"
"29.90000","0.49817","12.26805"
"30.00000","0.49986","12.30107"
"30.10000","0.50138","12.32289"
"30.20000","0.50316","12.36601"
"30.30000","0.50491","12.40587"
"30.40000","0.50651","12.43499"
"30.50000","0.50820","12.47134"
"30.60000","0.50987","12.50510"
"30.70000","0.51150","12.53641"
"30.80000","0.51310","12.56483"
"30.90000","0.51468","12.59436"
"31.00000","0.51634","12.62869"
"31.10000","0.51796","12.65844"
"31.20000","0.51953","12.68517"
"31.30000","0.52120","12.72049"
"31.40000","0.52288","12.75682"
"31.50000","0.52457","12.79233"
"31.60000","0.52623","12.82427"
"31.70000","0.52783","12.85243"
"31.80000","0.52954","12.89012"
"31.90000","0.53128","12.92900"
"32.00000","0.53295","12.96070"
"32.10000","0.53464","12.99567"
"32.20000","0.53641","13.03718"
"32.30000","0.53811","13.07110"
"32.40000","0.53973","13.10141"
"32.50000","0.54138","13.13424"
"32.60000","0.54302","13.16614"
"32.70000","0.54468","13.20042"
"32.80000","0.54636","13.23542"
"32.90000","0.54800","13.26557"
"33.00000","0.54959","13.29351"
"33.10000","0.55126","13.32808"
"33.20000","0.55297","13.36475"
"33.30000","0.55475","13.40631"
"33.40000","0.55636","13.43429"
"33.50000","0.55807","13.47170"
"33.60000","0.55976","13.50684"
"33.70000","0.56141","13.53804"
"33.80000","0.56305","13.56785"
"33.90000","0.56466","13.59715"
"34.00000","0.56626","13.62570"
"34.10000","0.56785","13.65376"
"34.20000","0.56948","13.68713"
"34.30000","0.57113","13.72111"
"34.40000","0.57275","13.75182"
"34.50000","0.57437","13.78483"
"34.60000","0.57606","13.82261"
"34.70000","0.57778","13.86231"
"34.80000","0.57950","13.90008"
"34.90000","0.58119","13.93504"
"35.00000","0.58292","13.97406"
"35.10000","0.58460","14.00945"
"35.20000","0.58629","14.04528"
"35.30000","0.58808","14.08602"
"35.40000","0.58990","14.12924"
"35.50000","0.59164","14.16535"
"35.60000","0.59327","14.19270"
"35.70000","0.59484","14.21712"
"35.80000","0.59651","14.24986"
"35.90000","0.59818","14.28394"
"36.00000","0.59978","14.31146"
"36.10000","0.60137","14.34050"
"36.20000","0.60300","14.37478"
"36.30000","0.60464","14.40915"
"36.40000","0.60623","14.44003"
"36.50000","0.60786","14.47486"
"36.60000","0.60952","14.51176"
"36.70000","0.61124","14.55441"
"36.80000","0.61307","14.60216"
"36.90000","0.61480","14.64033"
"37.00000","0.61648","14.67414"
"37.10000","0.61812","14.70603"
"37.20000","0.61982","14.74267"
"37.30000","0.62150","14.77630"
"37.40000","0.62312","14.80626"
"37.50000","0.62476","14.83777"
