General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{81E928FB-3EC5-4BC6-8F4B-61B9C603505E}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W1 2"
Break (Standard) : Load at Break (Standard),"1.43953",N
Maximum Load : Maximum Load,"2.72149",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.66413"
"0.10000","0.00010","0.66459"
"0.20000","0.00069","0.66845"
"0.30000","0.00190","0.67645"
"0.40000","0.00369","0.68754"
"0.50000","0.00595","0.70198"
"0.60000","0.00835","0.71714"
"0.70000","0.01065","0.73048"
"0.80000","0.01256","0.74159"
"0.90000","0.01433","0.75104"
"1.00000","0.01602","0.75966"
"1.10000","0.01774","0.76921"
"1.20000","0.01940","0.77789"
"1.30000","0.02103","0.78690"
"1.40000","0.02276","0.79629"
"1.50000","0.02448","0.80555"
"1.60000","0.02616","0.81506"
"1.70000","0.02788","0.82463"
"1.80000","0.02955","0.83321"
"1.90000","0.03116","0.84157"
"2.00000","0.03279","0.84969"
"2.10000","0.03449","0.85918"
"2.20000","0.03626","0.86843"
"2.30000","0.03801","0.87755"
"2.40000","0.03961","0.88543"
"2.50000","0.04124","0.89317"
"2.60000","0.04292","0.90170"
"2.70000","0.04453","0.90971"
"2.80000","0.04618","0.91749"
"2.90000","0.04783","0.92554"
"3.00000","0.04952","0.93356"
"3.10000","0.05119","0.94106"
"3.20000","0.05288","0.94889"
"3.30000","0.05451","0.95606"
"3.40000","0.05613","0.96255"
"3.50000","0.05791","0.97052"
"3.60000","0.05965","0.97787"
"3.70000","0.06134","0.98519"
"3.80000","0.06307","0.99258"
"3.90000","0.06472","0.99906"
"4.00000","0.06632","1.00536"
"4.10000","0.06790","1.01198"
"4.20000","0.06949","1.01813"
"4.30000","0.07113","1.02479"
"4.40000","0.07279","1.03196"
"4.50000","0.07446","1.03916"
"4.60000","0.07615","1.04622"
"4.70000","0.07792","1.05348"
"4.80000","0.07965","1.06059"
"4.90000","0.08142","1.06826"
"5.00000","0.08313","1.07496"
"5.10000","0.08476","1.08100"
"5.20000","0.08631","1.08602"
"5.30000","0.08815","1.09463"
"5.40000","0.08996","1.10170"
"5.50000","0.09158","1.10738"
"5.60000","0.09331","1.11377"
"5.70000","0.09498","1.12003"
"5.80000","0.09658","1.12552"
"5.90000","0.09815","1.13095"
"6.00000","0.09970","1.13632"
"6.10000","0.10136","1.14307"
"6.20000","0.10300","1.14853"
"6.30000","0.10466","1.15545"
"6.40000","0.10632","1.16150"
"6.50000","0.10800","1.16775"
"6.60000","0.10955","1.17343"
"6.70000","0.11113","1.17935"
"6.80000","0.11292","1.18682"
"6.90000","0.11469","1.19395"
"7.00000","0.11636","1.20025"
"7.10000","0.11794","1.20501"
"7.20000","0.11958","1.21173"
"7.30000","0.12122","1.21728"
"7.40000","0.12281","1.22258"
"7.50000","0.12446","1.22734"
"7.60000","0.12615","1.23202"
"7.70000","0.12789","1.23794"
"7.80000","0.12959","1.24358"
"7.90000","0.13118","1.24936"
"8.00000","0.13284","1.25534"
"8.10000","0.13459","1.26217"
"8.20000","0.13634","1.26909"
"8.30000","0.13809","1.27609"
"8.40000","0.13971","1.28243"
"8.50000","0.14125","1.28798"
"8.60000","0.14290","1.29434"
"8.70000","0.14471","1.30215"
"8.80000","0.14647","1.30929"
"8.90000","0.14819","1.31552"
"9.00000","0.14977","1.32133"
"9.10000","0.15138","1.32738"
"9.20000","0.15299","1.33213"
"9.30000","0.15454","1.33757"
"9.40000","0.15612","1.34302"
"9.50000","0.15775","1.34876"
"9.60000","0.15945","1.35533"
"9.70000","0.16115","1.36208"
"9.80000","0.16276","1.36767"
"9.90000","0.16424","1.37240"
"10.00000","0.16588","1.37859"
"10.10000","0.16765","1.38581"
"10.20000","0.16942","1.39240"
"10.30000","0.17111","1.39849"
"10.40000","0.17283","1.40524"
"10.50000","0.17453","1.41126"
"10.60000","0.17616","1.41631"
"10.70000","0.17781","1.42210"
"10.80000","0.17953","1.42734"
"10.90000","0.18122","1.43306"
"11.00000","0.18288","1.43818"
"11.10000","0.18457","1.44346"
"11.20000","0.18623","1.44819"
"11.30000","0.18790","1.45332"
"11.40000","0.18967","1.46005"
"11.50000","0.19148","1.46664"
"11.60000","0.19319","1.47247"
"11.70000","0.19483","1.47738"
"11.80000","0.19639","1.48287"
"11.90000","0.19805","1.48871"
"12.00000","0.19987","1.49609"
"12.10000","0.20155","1.50191"
"12.20000","0.20308","1.50602"
"12.30000","0.20470","1.51159"
"12.40000","0.20634","1.51795"
"12.50000","0.20794","1.52251"
"12.60000","0.20950","1.52814"
"12.70000","0.21116","1.53412"
"12.80000","0.21281","1.53987"
"12.90000","0.21444","1.54561"
"13.00000","0.21607","1.55125"
"13.10000","0.21778","1.55710"
"13.20000","0.21931","1.56221"
"13.30000","0.22111","1.56887"
"13.40000","0.22296","1.57648"
"13.50000","0.22474","1.58243"
"13.60000","0.22648","1.58818"
"13.70000","0.22809","1.59331"
"13.80000","0.22968","1.59852"
"13.90000","0.23134","1.60443"
"14.00000","0.23297","1.60985"
"14.10000","0.23458","1.61523"
"14.20000","0.23626","1.62150"
"14.30000","0.23800","1.62739"
"14.40000","0.23975","1.63454"
"14.50000","0.24143","1.64023"
"14.60000","0.24312","1.64633"
"14.70000","0.24487","1.65354"
"14.80000","0.24649","1.65885"
"14.90000","0.24806","1.66404"
"15.00000","0.24964","1.66978"
"15.10000","0.25135","1.67698"
"15.20000","0.25308","1.68296"
"15.30000","0.25473","1.68835"
"15.40000","0.25639","1.69448"
"15.50000","0.25805","1.70011"
"15.60000","0.25972","1.70607"
"15.70000","0.26129","1.71164"
"15.80000","0.26282","1.71617"
"15.90000","0.26443","1.72239"
"16.00000","0.26611","1.72877"
"16.10000","0.26782","1.73466"
"16.20000","0.26945","1.73983"
"16.30000","0.27109","1.74629"
"16.40000","0.27285","1.75295"
"16.50000","0.27449","1.75870"
"16.60000","0.27629","1.76557"
"16.70000","0.27806","1.77224"
"16.80000","0.27970","1.77704"
"16.90000","0.28136","1.78224"
"17.00000","0.28309","1.78918"
"17.10000","0.28475","1.79427"
"17.20000","0.28636","1.79940"
"17.30000","0.28802","1.80495"
"17.40000","0.28959","1.80976"
"17.50000","0.29121","1.81512"
"17.60000","0.29295","1.82132"
"17.70000","0.29465","1.82682"
"17.80000","0.29633","1.83216"
"17.90000","0.29793","1.83700"
"18.00000","0.29950","1.84146"
"18.10000","0.30117","1.84736"
"18.20000","0.30283","1.85254"
"18.30000","0.30440","1.85724"
"18.40000","0.30601","1.86215"
"18.50000","0.30780","1.86903"
"18.60000","0.30951","1.87462"
"18.70000","0.31120","1.88028"
"18.80000","0.31287","1.88552"
"18.90000","0.31451","1.89042"
"19.00000","0.31619","1.89607"
"19.10000","0.31782","1.90129"
"19.20000","0.31948","1.90608"
"19.30000","0.32119","1.91194"
"19.40000","0.32285","1.91677"
"19.50000","0.32446","1.92110"
"19.60000","0.32618","1.92710"
"19.70000","0.32787","1.93232"
"19.80000","0.32947","1.93765"
"19.90000","0.33123","1.94361"
"20.00000","0.33298","1.94990"
"20.10000","0.33471","1.95550"
"20.20000","0.33640","1.96107"
"20.30000","0.33809","1.96576"
"20.40000","0.33975","1.97116"
"20.50000","0.34139","1.97650"
"20.60000","0.34305","1.98129"
"20.70000","0.34465","1.98599"
"20.80000","0.34626","1.99127"
"20.90000","0.34792","1.99678"
"21.00000","0.34961","2.00184"
"21.10000","0.35137","2.00855"
"21.20000","0.35320","2.01458"
"21.30000","0.35496","2.02020"
"21.40000","0.35671","2.02680"
"21.50000","0.35836","2.03157"
"21.60000","0.35995","2.03609"
"21.70000","0.36158","2.04118"
"21.80000","0.36325","2.04678"
"21.90000","0.36494","2.05240"
"22.00000","0.36658","2.05749"
"22.10000","0.36813","2.06189"
"22.20000","0.36974","2.06679"
"22.30000","0.37142","2.07249"
"22.40000","0.37302","2.07746"
"22.50000","0.37459","2.08207"
"22.60000","0.37617","2.08628"
"22.70000","0.37787","2.09287"
"22.80000","0.37957","2.09833"
"22.90000","0.38120","2.10300"
"23.00000","0.38288","2.10908"
"23.10000","0.38456","2.11409"
"23.20000","0.38640","2.12097"
"23.30000","0.38817","2.12722"
"23.40000","0.38982","2.13175"
"23.50000","0.39145","2.13604"
"23.60000","0.39308","2.14078"
"23.70000","0.39466","2.14526"
"23.80000","0.39617","2.14896"
"23.90000","0.39773","2.15318"
"24.00000","0.39938","2.15824"
"24.10000","0.40105","2.16386"
"24.20000","0.40274","2.16954"
"24.30000","0.40438","2.17400"
"24.40000","0.40606","2.17935"
"24.50000","0.40774","2.18452"
"24.60000","0.40945","2.19025"
"24.70000","0.41117","2.19546"
"24.80000","0.41283","2.20043"
"24.90000","0.41449","2.20470"
"25.00000","0.41623","2.21017"
"25.10000","0.41808","2.21683"
"25.20000","0.41998","2.22375"
"25.30000","0.42167","2.22844"
"25.40000","0.42320","2.23210"
"25.50000","0.42490","2.23683"
"25.60000","0.42653","2.24086"
"25.70000","0.42814","2.24544"
"25.80000","0.42973","2.24984"
"25.90000","0.43138","2.25460"
"26.00000","0.43308","2.26014"
"26.10000","0.43482","2.26590"
"26.20000","0.43648","2.27082"
"26.30000","0.43803","2.27513"
"26.40000","0.43983","2.28119"
"26.50000","0.44164","2.28771"
"26.60000","0.44329","2.29265"
"26.70000","0.44496","2.29807"
"26.80000","0.44656","2.30196"
"26.90000","0.44815","2.30644"
"27.00000","0.44975","2.31125"
"27.10000","0.45139","2.31624"
"27.20000","0.45305","2.32066"
"27.30000","0.45467","2.32576"
"27.40000","0.45632","2.33051"
"27.50000","0.45794","2.33486"
"27.60000","0.45948","2.33861"
"27.70000","0.46112","2.34306"
"27.80000","0.46275","2.34811"
"27.90000","0.46436","2.35270"
"28.00000","0.46603","2.35826"
"28.10000","0.46781","2.36401"
"28.20000","0.46961","2.37050"
"28.30000","0.47138","2.37628"
"28.40000","0.47314","2.38213"
"28.50000","0.47478","2.38674"
"28.60000","0.47640","2.39091"
"28.70000","0.47807","2.39529"
"28.80000","0.47969","2.40063"
"28.90000","0.48131","2.40371"
"29.00000","0.48291","2.40816"
"29.10000","0.48456","2.41220"
"29.20000","0.48627","2.41778"
"29.30000","0.48806","2.42413"
"29.40000","0.48974","2.42848"
"29.50000","0.49138","2.43257"
"29.60000","0.49304","2.43637"
"29.70000","0.49480","2.44232"
"29.80000","0.49639","2.44633"
"29.90000","0.49804","2.45079"
"30.00000","0.49970","2.45575"
"30.10000","0.50138","2.46036"
"30.20000","0.50299","2.46477"
"30.30000","0.50456","2.46824"
"30.40000","0.50620","2.47256"
"30.50000","0.50788","2.47762"
"30.60000","0.50950","2.48200"
"30.70000","0.51118","2.48647"
"30.80000","0.51286","2.49139"
"30.90000","0.51458","2.49679"
"31.00000","0.51633","2.50175"
"31.10000","0.51805","2.50619"
"31.20000","0.51971","2.51067"
"31.30000","0.52128","2.51371"
"31.40000","0.52303","2.51917"
"31.50000","0.52483","2.52393"
"31.60000","0.52651","2.52846"
"31.70000","0.52821","2.53328"
"31.80000","0.52990","2.53754"
"31.90000","0.53151","2.54153"
"32.00000","0.53303","2.54441"
"32.10000","0.53465","2.54878"
"32.20000","0.53633","2.55349"
"32.30000","0.53793","2.55774"
"32.40000","0.53948","2.56112"
"32.50000","0.54112","2.56541"
"32.60000","0.54277","2.56961"
"32.70000","0.54451","2.57493"
"32.80000","0.54620","2.58001"
"32.90000","0.54781","2.58352"
"33.00000","0.54950","2.58813"
"33.10000","0.55112","2.59152"
"33.20000","0.55277","2.59505"
"33.30000","0.55443","2.59920"
"33.40000","0.55613","2.60322"
"33.50000","0.55782","2.60740"
"33.60000","0.55948","2.61099"
"33.70000","0.56121","2.61500"
"33.80000","0.56286","2.61907"
"33.90000","0.56446","2.62258"
"34.00000","0.56611","2.62589"
"34.10000","0.56785","2.63032"
"34.20000","0.56951","2.63365"
"34.30000","0.57119","2.63720"
"34.40000","0.57285","2.64127"
"34.50000","0.57451","2.64459"
"34.60000","0.57613","2.64783"
"34.70000","0.57775","2.65112"
"34.80000","0.57953","2.65562"
"34.90000","0.58131","2.66008"
"35.00000","0.58299","2.66255"
"35.10000","0.58465","2.66599"
"35.20000","0.58633","2.66884"
"35.30000","0.58793","2.67142"
"35.40000","0.58951","2.67373"
"35.50000","0.59113","2.67654"
"35.60000","0.59274","2.67898"
"35.70000","0.59439","2.68233"
"35.80000","0.59608","2.68531"
"35.90000","0.59779","2.68866"
"36.00000","0.59945","2.69171"
"36.10000","0.60100","2.69390"
"36.20000","0.60265","2.69675"
"36.30000","0.60443","2.70081"
"36.40000","0.60619","2.70432"
"36.50000","0.60791","2.70753"
"36.60000","0.60963","2.70998"
"36.70000","0.61137","2.71281"
"36.80000","0.61299","2.71373"
"36.90000","0.61453","2.71495"
"37.00000","0.61607","2.71520"
"37.10000","0.61769","2.71650"
"37.20000","0.61939","2.71875"
"37.30000","0.62103","2.72023"
"37.40000","0.62263","2.71979"
"37.50000","0.62425","2.72070"
"37.60000","0.62586","2.72042"
"37.70000","0.62751","2.72072"
"37.80000","0.62909","2.72007"
"37.90000","0.63071","2.72013"
"38.00000","0.63244","2.72045"
"38.10000","0.63421","2.72091"
"38.20000","0.63598","2.72149"
"38.30000","0.63779","2.72142"
"38.40000","0.63954","2.72001"
"38.50000","0.64123","2.71894"
"38.60000","0.64295","2.71638"
"38.70000","0.64468","2.71407"
"38.80000","0.64645","2.71185"
"38.90000","0.64817","2.70752"
"39.00000","0.64996","2.70434"
"39.10000","0.65161","2.69842"
"39.20000","0.65323","2.69095"
"39.30000","0.65487","2.68273"
"39.40000","0.65656","2.67306"
"39.50000","0.65863","2.66532"
"39.60000","0.66045","2.65217"
"39.70000","0.66182","2.63280"
"39.80000","0.66341","2.61300"
"39.90000","0.66507","2.59040"
"40.00000","0.66659","2.56161"
"40.10000","0.66814","2.52447"
"40.20000","0.66972","2.47725"
"40.30000","0.67137","2.40610"
"40.40000","0.67303","2.33923"
"40.50000","0.67470","2.29674"
"40.60000","0.67634","2.25876"
"40.70000","0.67808","2.22782"
"40.80000","0.67975","2.20077"
"40.90000","0.68136","2.17145"
"41.00000","0.68302","2.14012"
"41.10000","0.68468","2.11380"
"41.20000","0.68623","2.09074"
"41.30000","0.68794","2.06928"
"41.40000","0.68981","2.05220"
"41.50000","0.69156","2.03270"
"41.60000","0.69320","2.01236"
"41.70000","0.69478","1.99365"
"41.80000","0.69637","1.97461"
"41.90000","0.69791","1.95692"
"42.00000","0.69946","1.94003"
"42.10000","0.70112","1.92700"
"42.20000","0.70280","1.91473"
"42.30000","0.70450","1.90376"
"42.40000","0.70613","1.89162"
"42.50000","0.70781","1.88042"
"42.60000","0.70949","1.87039"
"42.70000","0.71117","1.86069"
"42.80000","0.71292","1.85197"
"42.90000","0.71462","1.84240"
"43.00000","0.71633","1.83465"
"43.10000","0.71807","1.82703"
"43.20000","0.71976","1.81945"
"43.30000","0.72131","1.81211"
"43.40000","0.72295","1.80691"
"43.50000","0.72466","1.80106"
"43.60000","0.72638","1.79583"
"43.70000","0.72802","1.79022"
"43.80000","0.72959","1.78397"
"43.90000","0.73113","1.77824"
"44.00000","0.73272","1.77300"
"44.10000","0.73435","1.76764"
"44.20000","0.73605","1.76322"
"44.30000","0.73770","1.75851"
"44.40000","0.73940","1.75307"
"44.50000","0.74109","1.74899"
"44.60000","0.74276","1.74401"
"44.70000","0.74455","1.74030"
