General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{8D7BC8E0-8E5C-45F2-9594-0475D2B73FBA}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W2 2"
Break (Standard) : Load at Break (Standard),"19.83793",N
Maximum Load : Maximum Load,"19.83793",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.67522"
"0.10000","0.00011","0.67653"
"0.20000","0.00102","0.68985"
"0.30000","0.00256","0.70423"
"0.40000","0.00462","0.72504"
"0.50000","0.00703","0.75192"
"0.60000","0.00926","0.77572"
"0.70000","0.01120","0.79126"
"0.80000","0.01286","0.80483"
"0.90000","0.01459","0.81975"
"1.00000","0.01636","0.83381"
"1.10000","0.01805","0.84838"
"1.20000","0.01963","0.86187"
"1.30000","0.02129","0.87872"
"1.40000","0.02295","0.89489"
"1.50000","0.02454","0.90967"
"1.60000","0.02617","0.92606"
"1.70000","0.02783","0.94344"
"1.80000","0.02951","0.96257"
"1.90000","0.03118","0.98138"
"2.00000","0.03287","0.99972"
"2.10000","0.03454","1.01782"
"2.20000","0.03619","1.03462"
"2.30000","0.03782","1.05203"
"2.40000","0.03940","1.06942"
"2.50000","0.04115","1.09062"
"2.60000","0.04277","1.10914"
"2.70000","0.04447","1.12934"
"2.80000","0.04617","1.14875"
"2.90000","0.04774","1.16551"
"3.00000","0.04938","1.18364"
"3.10000","0.05102","1.20190"
"3.20000","0.05268","1.21988"
"3.30000","0.05433","1.23752"
"3.40000","0.05600","1.25571"
"3.50000","0.05768","1.27378"
"3.60000","0.05931","1.29165"
"3.70000","0.06092","1.30914"
"3.80000","0.06256","1.32689"
"3.90000","0.06427","1.34589"
"4.00000","0.06595","1.36427"
"4.10000","0.06769","1.38305"
"4.20000","0.06941","1.40203"
"4.30000","0.07124","1.42324"
"4.40000","0.07310","1.44402"
"4.50000","0.07472","1.46016"
"4.60000","0.07635","1.47715"
"4.70000","0.07803","1.49472"
"4.80000","0.07968","1.51159"
"4.90000","0.08135","1.52950"
"5.00000","0.08296","1.54635"
"5.10000","0.08457","1.56241"
"5.20000","0.08618","1.57825"
"5.30000","0.08790","1.59698"
"5.40000","0.08965","1.61610"
"5.50000","0.09137","1.63436"
"5.60000","0.09288","1.64886"
"5.70000","0.09444","1.66409"
"5.80000","0.09621","1.68489"
"5.90000","0.09795","1.70344"
"6.00000","0.09965","1.72149"
"6.10000","0.10130","1.73794"
"6.20000","0.10291","1.75471"
"6.30000","0.10455","1.77102"
"6.40000","0.10617","1.78734"
"6.50000","0.10774","1.80200"
"6.60000","0.10933","1.81850"
"6.70000","0.11099","1.83517"
"6.80000","0.11256","1.84974"
"6.90000","0.11416","1.86512"
"7.00000","0.11582","1.88182"
"7.10000","0.11746","1.89744"
"7.20000","0.11912","1.91316"
"7.30000","0.12080","1.92853"
"7.40000","0.12242","1.94313"
"7.50000","0.12395","1.95734"
"7.60000","0.12570","1.97532"
"7.70000","0.12753","1.99469"
"7.80000","0.12934","2.01400"
"7.90000","0.13112","2.03109"
"8.00000","0.13288","2.04868"
"8.10000","0.13471","2.06795"
"8.20000","0.13648","2.08574"
"8.30000","0.13822","2.10318"
"8.40000","0.13991","2.12008"
"8.50000","0.14163","2.13703"
"8.60000","0.14341","2.15635"
"8.70000","0.14522","2.17429"
"8.80000","0.14680","2.18846"
"8.90000","0.14820","2.19945"
"9.00000","0.15012","2.22241"
"9.10000","0.15193","2.24119"
"9.20000","0.15353","2.25598"
"9.30000","0.15510","2.27014"
"9.40000","0.15668","2.28515"
"9.50000","0.15826","2.29991"
"9.60000","0.15984","2.31453"
"9.70000","0.16143","2.33014"
"9.80000","0.16302","2.34585"
"9.90000","0.16457","2.36023"
"10.00000","0.16616","2.37496"
"10.10000","0.16775","2.39043"
"10.20000","0.16937","2.40579"
"10.30000","0.17107","2.42319"
"10.40000","0.17278","2.44025"
"10.50000","0.17447","2.45697"
"10.60000","0.17623","2.47507"
"10.70000","0.17788","2.49038"
"10.80000","0.17965","2.50835"
"10.90000","0.18162","2.53036"
"11.00000","0.18328","2.54443"
"11.10000","0.18490","2.55812"
"11.20000","0.18648","2.57101"
"11.30000","0.18808","2.58492"
"11.40000","0.18964","2.59900"
"11.50000","0.19127","2.61415"
"11.60000","0.19300","2.63208"
"11.70000","0.19464","2.64713"
"11.80000","0.19624","2.66127"
"11.90000","0.19782","2.67517"
"12.00000","0.19951","2.69207"
"12.10000","0.20116","2.70742"
