General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{53512C57-C9C4-42BF-82A4-F568F6F698F4}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W2 4"
Break (Standard) : Load at Break (Standard),"23.82592",N
Maximum Load : Maximum Load,"24.17058",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.60169"
"0.10000","0.00011","0.60242"
"0.20000","0.00106","0.61918"
"0.30000","0.00286","0.64214"
"0.40000","0.00505","0.67654"
"0.50000","0.00731","0.71855"
"0.60000","0.00936","0.74665"
"0.70000","0.01126","0.76728"
"0.80000","0.01313","0.79223"
"0.90000","0.01476","0.81535"
"1.00000","0.01635","0.83896"
"1.10000","0.01805","0.86128"
"1.20000","0.01967","0.88331"
"1.30000","0.02124","0.90862"
"1.40000","0.02283","0.93458"
"1.50000","0.02447","0.96092"
"1.60000","0.02613","0.98729"
"1.70000","0.02782","1.01427"
"1.80000","0.02951","1.04190"
"1.90000","0.03117","1.06918"
"2.00000","0.03277","1.09517"
"2.10000","0.03444","1.12213"
"2.20000","0.03626","1.15301"
"2.30000","0.03806","1.18263"
"2.40000","0.03982","1.21214"
"2.50000","0.04143","1.23868"
"2.60000","0.04304","1.26546"
"2.70000","0.04470","1.29348"
"2.80000","0.04631","1.32034"
"2.90000","0.04783","1.34450"
"3.00000","0.04940","1.37030"
"3.10000","0.05103","1.39763"
"3.20000","0.05264","1.42391"
"3.30000","0.05429","1.45069"
"3.40000","0.05591","1.47609"
"3.50000","0.05743","1.49872"
"3.60000","0.05920","1.52794"
"3.70000","0.06090","1.55481"
"3.80000","0.06266","1.58286"
"3.90000","0.06442","1.60996"
"4.00000","0.06616","1.63642"
"4.10000","0.06798","1.66487"
"4.20000","0.06976","1.69185"
"4.30000","0.07139","1.71479"
"4.40000","0.07303","1.73898"
"4.50000","0.07465","1.76238"
"4.60000","0.07620","1.78383"
"4.70000","0.07784","1.80754"
"4.80000","0.07955","1.83323"
"4.90000","0.08118","1.85650"
"5.00000","0.08288","1.88203"
"5.10000","0.08453","1.90607"
"5.20000","0.08621","1.93161"
"5.30000","0.08793","1.95760"
"5.40000","0.08975","1.98652"
"5.50000","0.09162","2.01600"
"5.60000","0.09329","2.04019"
"5.70000","0.09486","2.06171"
"5.80000","0.09653","2.08647"
"5.90000","0.09825","2.11254"
"6.00000","0.09986","2.13526"
"6.10000","0.10150","2.15858"
"6.20000","0.10314","2.18243"
"6.30000","0.10471","2.20414"
"6.40000","0.10632","2.22790"
"6.50000","0.10791","2.25012"
"6.60000","0.10953","2.27381"
"6.70000","0.11123","2.29932"
"6.80000","0.11278","2.32082"
"6.90000","0.11440","2.34501"
"7.00000","0.11604","2.36898"
"7.10000","0.11766","2.39232"
"7.20000","0.11932","2.41767"
"7.30000","0.12102","2.44341"
"7.40000","0.12275","2.46972"
"7.50000","0.12449","2.49610"
"7.60000","0.12622","2.52157"
"7.70000","0.12789","2.54538"
"7.80000","0.12955","2.56937"
"7.90000","0.13125","2.59469"
"8.00000","0.13298","2.62093"
"8.10000","0.13474","2.64718"
"8.20000","0.13641","2.67074"
"8.30000","0.13813","2.69606"
"8.40000","0.13975","2.71831"
"8.50000","0.14134","2.73883"
"8.60000","0.14297","2.76134"
"8.70000","0.14452","2.78108"
"8.80000","0.14617","2.80448"
"8.90000","0.14779","2.82692"
"9.00000","0.14951","2.85209"
"9.10000","0.15120","2.87594"
"9.20000","0.15284","2.89832"
"9.30000","0.15444","2.91915"
"9.40000","0.15606","2.94107"
"9.50000","0.15770","2.96282"
"9.60000","0.15939","2.98609"
"9.70000","0.16111","3.00964"
"9.80000","0.16282","3.03260"
"9.90000","0.16451","3.05463"
"10.00000","0.16612","3.07429"
"10.10000","0.16768","3.09239"
"10.20000","0.16944","3.11592"
"10.30000","0.17113","3.13601"
"10.40000","0.17276","3.15441"
"10.50000","0.17444","3.17432"
"10.60000","0.17614","3.19457"
"10.70000","0.17780","3.21467"
"10.80000","0.17946","3.23382"
"10.90000","0.18101","3.24996"
"11.00000","0.18255","3.26702"
"11.10000","0.18416","3.28594"
"11.20000","0.18587","3.30710"
"11.30000","0.18759","3.32883"
"11.40000","0.18921","3.34655"
"11.50000","0.19088","3.36612"
"11.60000","0.19264","3.38831"
"11.70000","0.19441","3.41155"
"11.80000","0.19615","3.43186"
"11.90000","0.19785","3.45204"
"12.00000","0.19959","3.47293"
"12.10000","0.20145","3.49676"
"12.20000","0.20338","3.52242"
"12.30000","0.20517","3.54284"
"12.40000","0.20684","3.56087"
"12.50000","0.20833","3.57403"
"12.60000","0.20994","3.59242"
"12.70000","0.21163","3.61247"
"12.80000","0.21322","3.63000"
"12.90000","0.21479","3.64813"
"13.00000","0.21650","3.67075"
"13.10000","0.21825","3.69383"
"13.20000","0.21988","3.71319"
"13.30000","0.22143","3.73010"
"13.40000","0.22316","3.75407"
"13.50000","0.22502","3.78094"
"13.60000","0.22672","3.80181"
"13.70000","0.22833","3.82065"
"13.80000","0.22989","3.83743"
"13.90000","0.23151","3.85721"
"14.00000","0.23315","3.87694"
"14.10000","0.23479","3.89620"
"14.20000","0.23638","3.91412"
"14.30000","0.23805","3.93518"
"14.40000","0.23972","3.95521"
"14.50000","0.24139","3.97482"
"14.60000","0.24304","3.99391"
"14.70000","0.24467","4.01219"
"14.80000","0.24629","4.03106"
"14.90000","0.24784","4.04766"
"15.00000","0.24944","4.06697"
"15.10000","0.25108","4.08640"
"15.20000","0.25288","4.11186"
"15.30000","0.25458","4.13254"
"15.40000","0.25630","4.15409"
"15.50000","0.25814","4.17929"
"15.60000","0.25987","4.20000"
"15.70000","0.26148","4.21671"
"15.80000","0.26306","4.23284"
"15.90000","0.26465","4.24994"
"16.00000","0.26625","4.26753"
"16.10000","0.26788","4.28632"
"16.20000","0.26961","4.30778"
"16.30000","0.27134","4.32810"
"16.40000","0.27299","4.34505"
"16.50000","0.27458","4.36162"
"16.60000","0.27616","4.37751"
"16.70000","0.27798","4.40188"
"16.80000","0.27978","4.42487"
"16.90000","0.28140","4.44105"
"17.00000","0.28305","4.46060"
"17.10000","0.28472","4.47986"
"17.20000","0.28636","4.49863"
"17.30000","0.28797","4.51565"
"17.40000","0.28956","4.53265"
"17.50000","0.29122","4.55276"
"17.60000","0.29294","4.57471"
"17.70000","0.29464","4.59477"
"17.80000","0.29630","4.61360"
"17.90000","0.29797","4.63246"
"18.00000","0.29973","4.65433"
"18.10000","0.30145","4.67440"
"18.20000","0.30311","4.69254"
"18.30000","0.30462","4.70526"
"18.40000","0.30623","4.72316"
"18.50000","0.30810","4.74867"
"18.60000","0.30977","4.76642"
"18.70000","0.31134","4.78096"
"18.80000","0.31300","4.79952"
"18.90000","0.31461","4.81575"
"19.00000","0.31617","4.83171"
"19.10000","0.31777","4.84957"
"19.20000","0.31937","4.86715"
"19.30000","0.32101","4.88708"
"19.40000","0.32268","4.90764"
"19.50000","0.32440","4.93037"
"19.60000","0.32614","4.95192"
"19.70000","0.32789","4.97441"
"19.80000","0.32966","4.99661"
"19.90000","0.33137","5.01672"
