General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{6A83D9DA-D42D-48D1-9FA6-C05E823C992F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W3 2"
Break (Standard) : Load at Break (Standard),"55.34361",N
Maximum Load : Maximum Load,"56.52829",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.60591"
"0.10000","0.00009","0.60811"
"0.20000","0.00060","0.62066"
"0.30000","0.00158","0.63408"
"0.40000","0.00326","0.65447"
"0.50000","0.00553","0.71717"
"0.60000","0.00834","0.80006"
"0.70000","0.01085","0.85070"
"0.80000","0.01280","0.88801"
"0.90000","0.01464","0.94728"
"1.00000","0.01634","1.00992"
"1.10000","0.01787","1.06778"
"1.20000","0.01944","1.12887"
"1.30000","0.02110","1.19305"
"1.40000","0.02275","1.25726"
"1.50000","0.02435","1.31770"
"1.60000","0.02598","1.38034"
"1.70000","0.02759","1.44146"
"1.80000","0.02917","1.49991"
"1.90000","0.03085","1.56525"
"2.00000","0.03257","1.63119"
"2.10000","0.03435","1.70001"
"2.20000","0.03598","1.75976"
"2.30000","0.03768","1.82379"
"2.40000","0.03949","1.89216"
"2.50000","0.04125","1.95659"
"2.60000","0.04295","2.01641"
"2.70000","0.04454","2.07080"
"2.80000","0.04619","2.12919"
"2.90000","0.04793","2.19228"
"3.00000","0.04959","2.25064"
"3.10000","0.05120","2.30528"
"3.20000","0.05293","2.36699"
"3.30000","0.05459","2.42504"
"3.40000","0.05627","2.48589"
"3.50000","0.05798","2.54822"
"3.60000","0.05955","2.60329"
"3.70000","0.06121","2.66516"
"3.80000","0.06292","2.72861"
"3.90000","0.06458","2.78958"
"4.00000","0.06625","2.85106"
"4.10000","0.06797","2.91458"
"4.20000","0.06973","2.97948"
"4.30000","0.07143","3.03988"
"4.40000","0.07307","3.09698"
"4.50000","0.07476","3.15807"
"4.60000","0.07644","3.21918"
"4.70000","0.07810","3.27852"
"4.80000","0.07977","3.33694"
"4.90000","0.08143","3.39584"
"5.00000","0.08308","3.45422"
"5.10000","0.08474","3.51324"
"5.20000","0.08638","3.56937"
"5.30000","0.08803","3.62773"
"5.40000","0.08972","3.68808"
"5.50000","0.09140","3.74762"
"5.60000","0.09307","3.80669"
"5.70000","0.09473","3.86467"
