General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{8B2FAF6A-3270-4DCA-9DB0-4039C834BEAB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W1 1"
Break (Standard) : Load at Break (Standard),"6.49590",N
Maximum Load : Maximum Load,"6.75629",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.02543","0.19844"
"0.10000","0.02544","0.19863"
"0.20000","0.02650","0.20062"
"0.30000","0.02949","0.20835"
"0.40000","0.03161","0.21285"
"0.50000","0.03320","0.21585"
"0.60000","0.03500","0.21965"
"0.70000","0.03670","0.22275"
"0.80000","0.03836","0.22663"
"0.90000","0.03996","0.22925"
"1.00000","0.04151","0.23218"
"1.10000","0.04309","0.23508"
"1.20000","0.04468","0.23802"
"1.30000","0.04627","0.24104"
"1.40000","0.04786","0.24375"
"1.50000","0.04949","0.24680"
"1.60000","0.05113","0.24989"
"1.70000","0.05274","0.25232"
"1.80000","0.05432","0.25547"
"1.90000","0.05592","0.25827"
"2.00000","0.05757","0.26145"
"2.10000","0.05933","0.26479"
"2.20000","0.06105","0.26798"
"2.30000","0.06272","0.27064"
"2.40000","0.06442","0.27338"
"2.50000","0.06620","0.27695"
"2.60000","0.06802","0.28059"
"2.70000","0.06981","0.28366"
"2.80000","0.07143","0.28666"
"2.90000","0.07310","0.29018"
"3.00000","0.07480","0.29211"
"3.10000","0.07646","0.29540"
"3.20000","0.07811","0.29823"
"3.30000","0.07974","0.30124"
"3.40000","0.08139","0.30431"
"3.50000","0.08304","0.30687"
"3.60000","0.08469","0.30979"
"3.70000","0.08631","0.31219"
"3.80000","0.08786","0.31524"
"3.90000","0.08952","0.31817"
"4.00000","0.09125","0.32137"
"4.10000","0.09293","0.32449"
"4.20000","0.09461","0.32693"
"4.30000","0.09626","0.33032"
"4.40000","0.09793","0.33295"
"4.50000","0.09966","0.33635"
"4.60000","0.10129","0.33918"
"4.70000","0.10295","0.34176"
"4.80000","0.10465","0.34512"
"4.90000","0.10641","0.34813"
"5.00000","0.10809","0.35066"
"5.10000","0.10970","0.35364"
"5.20000","0.11123","0.35603"
"5.30000","0.11305","0.35951"
"5.40000","0.11479","0.36284"
"5.50000","0.11637","0.36559"
"5.60000","0.11789","0.36788"
"5.70000","0.11957","0.37136"
"5.80000","0.12125","0.37368"
"5.90000","0.12278","0.37693"
"6.00000","0.12438","0.37964"
"6.10000","0.12606","0.38267"
"6.20000","0.12764","0.38533"
"6.30000","0.12920","0.38780"
"6.40000","0.13085","0.39043"
"6.50000","0.13261","0.39381"
"6.60000","0.13431","0.39704"
"6.70000","0.13604","0.39997"
"6.80000","0.13781","0.40272"
"6.90000","0.13958","0.40605"
"7.00000","0.14123","0.40920"
"7.10000","0.14298","0.41214"
"7.20000","0.14480","0.41551"
"7.30000","0.14662","0.41843"
"7.40000","0.14831","0.42205"
"7.50000","0.14992","0.42408"
"7.60000","0.15156","0.42668"
"7.70000","0.15314","0.42971"
"7.80000","0.15463","0.43181"
"7.90000","0.15619","0.43443"
"8.00000","0.15783","0.43741"
"8.10000","0.15944","0.44007"
"8.20000","0.16109","0.44357"
"8.30000","0.16278","0.44620"
"8.40000","0.16440","0.44915"
"8.50000","0.16599","0.45173"
"8.60000","0.16777","0.45514"
"8.70000","0.16950","0.45838"
"8.80000","0.17120","0.46170"
"8.90000","0.17290","0.46453"
"9.00000","0.17457","0.46729"
"9.10000","0.17628","0.47047"
"9.20000","0.17789","0.47325"
"9.30000","0.17954","0.47624"
"9.40000","0.18119","0.47856"
"9.50000","0.18283","0.48125"
"9.60000","0.18444","0.48381"
"9.70000","0.18616","0.48809"
"9.80000","0.18778","0.48994"
"9.90000","0.18941","0.49289"
"10.00000","0.19108","0.49558"
"10.10000","0.19272","0.49867"
"10.20000","0.19443","0.50167"
"10.30000","0.19616","0.50488"
"10.40000","0.19788","0.50821"
"10.50000","0.19962","0.51073"
"10.60000","0.20132","0.51416"
"10.70000","0.20317","0.51714"
"10.80000","0.20486","0.52028"
"10.90000","0.20650","0.52288"
"11.00000","0.20812","0.52611"
"11.10000","0.20982","0.52875"
"11.20000","0.21152","0.53165"
"11.30000","0.21322","0.53461"
"11.40000","0.21488","0.53744"
"11.50000","0.21658","0.54020"
