General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{9E967185-B0E3-4727-B7B9-9939FB4FE7EB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P6 W3 4"
Break (Standard) : Load at Break (Standard),"36.89283",N
Maximum Load : Maximum Load,"44.94873",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.59892"
"0.10000","0.00008","0.60102"
"0.20000","0.00056","0.61699"
"0.30000","0.00149","0.64861"
"0.40000","0.00316","0.66022"
"0.50000","0.00547","0.66162"
"0.60000","0.00809","0.66916"
"0.70000","0.01050","0.72926"
"0.80000","0.01252","0.80283"
"0.90000","0.01425","0.86330"
"1.00000","0.01594","0.91928"
"1.10000","0.01769","0.97412"
"1.20000","0.01944","1.02005"
"1.30000","0.02114","1.05962"
"1.40000","0.02286","1.09811"
"1.50000","0.02459","1.13772"
"1.60000","0.02610","1.17236"
"1.70000","0.02782","1.21917"
"1.80000","0.02962","1.27135"
"1.90000","0.03139","1.32572"
"2.00000","0.03307","1.37781"
"2.10000","0.03487","1.43561"
"2.20000","0.03661","1.48882"
"2.30000","0.03833","1.54081"
"2.40000","0.04014","1.59754"
"2.50000","0.04161","1.63520"
"2.60000","0.04308","1.67766"
"2.70000","0.04474","1.72856"
"2.80000","0.04642","1.78012"
"2.90000","0.04800","1.82658"
"3.00000","0.04961","1.87601"
"3.10000","0.05130","1.93030"
"3.20000","0.05303","1.98599"
"3.30000","0.05460","2.03210"
"3.40000","0.05621","2.08159"
"3.50000","0.05801","2.13788"
"3.60000","0.05986","2.19166"
"3.70000","0.06149","2.23349"
"3.80000","0.06313","2.27999"
"3.90000","0.06484","2.33080"
"4.00000","0.06649","2.37863"
"4.10000","0.06806","2.42488"
"4.20000","0.06968","2.47903"
"4.30000","0.07137","2.53700"
"4.40000","0.07301","2.59105"
"4.50000","0.07466","2.64769"
"4.60000","0.07632","2.70532"
"4.70000","0.07792","2.76083"
"4.80000","0.07949","2.81275"
"4.90000","0.08118","2.87226"
"5.00000","0.08284","2.92695"
"5.10000","0.08452","2.98472"
"5.20000","0.08615","3.03999"
"5.30000","0.08797","3.10653"
"5.40000","0.08980","3.17295"
"5.50000","0.09163","3.23870"
"5.60000","0.09331","3.29482"
"5.70000","0.09492","3.34919"
"5.80000","0.09656","3.40528"
"5.90000","0.09816","3.45840"
"6.00000","0.09986","3.52032"
"6.10000","0.10139","3.56411"
"6.20000","0.10297","3.61520"
"6.30000","0.10460","3.66963"
"6.40000","0.10620","3.72135"
"6.50000","0.10788","3.77798"
"6.60000","0.10948","3.82808"
"6.70000","0.11125","3.89046"
"6.80000","0.11309","3.95853"
"6.90000","0.11480","4.01277"
"7.00000","0.11647","4.06537"
"7.10000","0.11809","4.11528"
"7.20000","0.11982","4.17211"
"7.30000","0.12146","4.22225"
"7.40000","0.12306","4.26993"
"7.50000","0.12468","4.31967"
"7.60000","0.12627","4.36658"
"7.70000","0.12783","4.41171"
"7.80000","0.12947","4.46036"
"7.90000","0.13110","4.50439"
"8.00000","0.13267","4.54648"
"8.10000","0.13431","4.59322"
"8.20000","0.13603","4.64528"
"8.30000","0.13775","4.69735"
"8.40000","0.13954","4.75649"
"8.50000","0.14125","4.80658"
"8.60000","0.14293","4.85441"
"8.70000","0.14472","4.91021"
"8.80000","0.14646","4.96310"
"8.90000","0.14809","5.00791"
"9.00000","0.14974","5.05573"
"9.10000","0.15141","5.10418"
"9.20000","0.15307","5.15202"
"9.30000","0.15473","5.20077"
"9.40000","0.15639","5.24953"
"9.50000","0.15803","5.29549"
"9.60000","0.15967","5.34367"
"9.70000","0.16134","5.39362"
"9.80000","0.16307","5.44768"
"9.90000","0.16465","5.49020"
"10.00000","0.16635","5.54163"
"10.10000","0.16806","5.59154"
"10.20000","0.16970","5.63717"
"10.30000","0.17133","5.68348"
"10.40000","0.17310","5.74241"
"10.50000","0.17488","5.79954"
"10.60000","0.17651","5.84400"
"10.70000","0.17819","5.89214"
"10.80000","0.17980","5.93797"
"10.90000","0.18141","5.98522"
"11.00000","0.18306","6.03516"
"11.10000","0.18475","6.08766"
"11.20000","0.18643","6.13923"
"11.30000","0.18812","6.19152"
"11.40000","0.18974","6.23886"
"11.50000","0.19137","6.28677"
"11.60000","0.19299","6.33403"
"11.70000","0.19459","6.37948"
"11.80000","0.19617","6.42262"
"11.90000","0.19780","6.47096"
"12.00000","0.19941","6.51610"
"12.10000","0.20102","6.56299"
"12.20000","0.20268","6.61179"
"12.30000","0.20431","6.65832"
"12.40000","0.20600","6.70939"
"12.50000","0.20769","6.75909"
"12.60000","0.20941","6.80963"
"12.70000","0.21116","6.86190"
"12.80000","0.21288","6.91247"
"12.90000","0.21463","6.96452"
"13.00000","0.21642","7.01896"
"13.10000","0.21808","7.06068"
"13.20000","0.21966","7.09654"
"13.30000","0.22145","7.14999"
"13.40000","0.22319","7.19767"
"13.50000","0.22479","7.23381"
"13.60000","0.22638","7.26807"
"13.70000","0.22806","7.31176"
"13.80000","0.22969","7.34796"
"13.90000","0.23127","7.38314"
"14.00000","0.23275","7.41164"
"14.10000","0.23434","7.45032"
"14.20000","0.23606","7.49946"
"14.30000","0.23776","7.54549"
"14.40000","0.23937","7.58340"
"14.50000","0.24102","7.62435"
"14.60000","0.24267","7.66424"
"14.70000","0.24426","7.69960"
"14.80000","0.24593","7.74095"
