General : Start date,9/2/2020,
General : End date,9/2/2020,
General : Unique identifier,{B24924EE-409B-46B2-857D-DF6C588B999B},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1317 P1 W1 2,
Break (Standard) : Load at Break (Standard),20.68122,N
Maximum Load : Maximum Load,26.84378,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.59493
0.1,0.00009,0.59725
0.2,0.00072,0.62142
0.3,0.00338,0.73172
0.4,0.00586,0.82726
0.5,0.00776,0.8975
0.6,0.00946,0.95977
0.7,0.01117,1.02269
0.8,0.01288,1.08426
0.9,0.0146,1.14693
1,0.01627,1.20693
1.1,0.01792,1.26728
1.2,0.01971,1.33305
1.3,0.02139,1.393
1.4,0.02304,1.45228
1.5,0.02464,1.50852
1.6,0.02623,1.56539
1.7,0.02795,1.62721
1.8,0.02973,1.69146
1.9,0.03155,1.7572
2,0.03328,1.8186
2.1,0.03489,1.87481
2.2,0.03657,1.93493
2.3,0.03826,1.99415
2.4,0.03989,2.05127
2.5,0.0415,2.1073
2.6,0.04315,2.16615
2.7,0.04489,2.22875
2.8,0.04652,2.28645
2.9,0.04808,2.3396
3,0.04959,2.39266
3.1,0.05122,2.45288
3.2,0.05291,2.51614
3.3,0.05454,2.57613
3.4,0.05618,2.63632
3.5,0.05785,2.69913
3.6,0.05954,2.76359
3.7,0.0612,2.82602
3.8,0.06288,2.88977
3.9,0.06451,2.95092
4,0.06609,3.00994
4.1,0.06769,3.07176
4.2,0.0693,3.13302
4.3,0.07092,3.19433
4.4,0.07264,3.26014
4.5,0.07428,3.32226
4.6,0.07596,3.38661
4.7,0.07765,3.44985
4.8,0.07936,3.51403
4.9,0.08109,3.57766
5,0.08277,3.63954
5.1,0.08447,3.7039
5.2,0.08628,3.77351
5.3,0.08794,3.83495
5.4,0.08952,3.89483
5.5,0.09116,3.96128
5.6,0.09284,4.03189
5.7,0.09451,4.10205
5.8,0.0961,4.16607
5.9,0.09776,4.23577
6,0.09951,4.30938
6.1,0.10122,4.3801
6.2,0.10293,4.4501
6.3,0.10456,4.5156
6.4,0.10643,4.594
6.5,0.10821,4.66271
6.6,0.10985,4.72293
6.7,0.11147,4.78119
6.8,0.11311,4.84087
6.9,0.11473,4.89761
7,0.11622,4.94751
7.1,0.11778,5.0021
7.2,0.11938,5.05771
7.3,0.12098,5.11119
7.4,0.12261,5.16502
7.5,0.12425,5.21896
7.6,0.12592,5.27214
7.7,0.12759,5.32428
7.8,0.12933,5.38019
7.9,0.131,5.43056
8,0.13271,5.48214
8.1,0.13443,5.53353
8.2,0.13607,5.57953
8.3,0.1379,5.63625
8.4,0.1398,5.69458
8.5,0.14149,5.73741
8.6,0.14304,5.7726
8.7,0.14473,5.8184
8.8,0.14637,5.86133
8.9,0.14798,5.90255
9,0.14948,5.93796
9.1,0.15109,5.98272
9.2,0.15269,6.026
9.3,0.15431,6.072
9.4,0.15601,6.12096
9.5,0.1577,6.16868
9.6,0.15933,6.21192
9.7,0.16116,6.26736
9.8,0.16303,6.32434
9.9,0.16492,6.38134
10,0.16659,6.42382
10.1,0.16822,6.46464
10.2,0.16983,6.50544
10.3,0.17153,6.55288
10.4,0.17327,6.60273
10.5,0.17494,6.64768
10.6,0.17659,6.69198
10.7,0.17824,6.73613
10.8,0.17997,6.7849
10.9,0.18163,6.83069
11,0.18317,6.86983
11.1,0.18474,6.91223
11.2,0.18644,6.96395
11.3,0.18819,7.01827
11.4,0.19002,7.07572
11.5,0.19165,7.11918
11.6,0.19337,7.16951
11.7,0.19502,7.21452
11.8,0.19666,7.25957
11.9,0.19829,7.30417
12,0.19992,7.34903
12.1,0.2015,7.39227
12.2,0.20305,7.43176
12.3,0.20468,7.47701
12.4,0.20635,7.52353
12.5,0.20796,7.56466
12.6,0.20957,7.60732
12.7,0.21125,7.65388
12.8,0.21289,7.69661
12.9,0.21458,7.74448
13,0.21639,7.79877
13.1,0.21801,7.83958
13.2,0.21958,7.8775
13.3,0.22121,7.92073
13.4,0.22291,7.96858
13.5,0.22458,8.01347
13.6,0.22628,8.06124
13.7,0.22803,8.11125
13.8,0.22972,8.15681
13.9,0.23135,8.19755
14,0.23306,8.24503
14.1,0.23473,8.28829
14.2,0.23642,8.33352
14.3,0.23813,8.37871
14.4,0.23989,8.42787
14.5,0.24146,8.46167
14.6,0.24316,8.50705
14.7,0.24508,8.56625
14.8,0.24688,8.61451
14.9,0.24842,8.64571
15,0.25,8.68303
15.1,0.2516,8.72221
15.2,0.25318,8.7604
15.3,0.25474,8.79899
15.4,0.25632,8.84057
15.5,0.25783,8.87686
15.6,0.25941,8.91823
15.7,0.26114,8.96893
15.8,0.26284,9.01616
15.9,0.26451,9.06066
16,0.26622,9.10715
16.1,0.26777,9.14005
16.2,0.26956,9.19153
16.3,0.27129,9.23611
16.4,0.2729,9.27232
16.5,0.2746,9.3159
16.6,0.27625,9.35487
16.7,0.27786,9.39105
