Geno,Plant,WR,Root,K,BL,UL,Testing Notes,DCMax,DCMin,a,b,MOI,E_MPa,E_GPa,,,,,,,,,,,,,,
B73,1,1,1,134.73478,23.08853,27.32899,good test,,,,,,,,,,,,,,,,,,,,,
B73,1,1,2,96.69076,14.56003,16.19914,good test,4.81,4.72,2.36,2.405,24.82795622,398.6112298,0.39861123,,,,,,,,,,,,,,
B73,1,1,3,114.13205,19.13668,22.47168,good test,4.62,4.48,2.24,2.31,20.39134705,572.8847063,0.572884706,,,,,,,,,,,,,,
B73,1,1,4,138.52992,17.46133,19.10651,good test,4.74,4.7,2.35,2.37,24.15693408,586.9583645,0.586958365,,,,,,,,,,,,,,
B73,1,1,5,107.07393,17.98234,18.26973,good test,4.32,4.14,2.07,2.16,15.0471645,728.3407366,0.728340737,,,,,,,,,,,,,,
B73,1,2,1,190.69497,29.75137,31.63559,hit top of fixture no BL,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,1,2,2,184.10994,21.2777,21.65488,good test,5.26,4.39,2.195,2.63,21.84485687,862.6478806,0.862647881,,,,,,,,,,,,,,
B73,1,2,3,115.09385,10.68173,17.51306,good test,4.3,3.52,1.76,2.15,9.205901944,1279.650291,1.279650291,,,,,,,,,,,,,,
B73,1,2,4,148.66878,30.89988,30.89988,good test,5.74,5.34,2.67,2.87,42.90476842,354.6661513,0.354666151,,,,,,,,,,,,,,
B73,1,2,5,281.67072,55.55626,56.44427,good test,5.84,5.63,2.815,2.92,51.15733714,563.5588838,0.563558884,,,,,,,,,,,,,,
B73,1,3,1,243.36667,39.16792,41.77488,hit top of fixture no BL,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,1,3,2,253.15221,43.37168,48.45936,good test,6.11,5.63,2.815,3.055,53.52248801,484.1176945,0.484117694,,,,,,,,,,,,,,
B73,1,3,3,172.74907,26.97978,36.86805,good test,6.28,4.97,2.485,3.14,37.84414594,467.2211953,0.467221195,,,,,,,,,,,,,,
B73,1,3,4,170.14686,40.18446,40.56791,hit top of fixture no BL,5.92,5.7,2.85,2.96,53.81658957,323.6035618,0.323603562,,,,,,,,,,,,,,
B73,2,1,1,,,,splintered,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,2,1,2,,,,splintered,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,2,1,3,,,,splintered,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,2,1,4,,,,splintered,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,2,2,1,140.01896,19.59211,19.60253,good test,,,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
B73,2,2,2,96.74682,10.04632,15.52824,good test,4.44,4.32,2.16,2.22,17.57130872,563.5573476,0.563557348,,,,,,,,,,,,,,
B73,2,2,3,194.30333,20.89254,27.29639,hit top of fixture no BL,5.15,4.73,2.365,2.575,26.75226452,743.4045596,0.74340456,,,,,,,,,,,,,,
