"","ID","Geno","Plant","WR_CHR","K","BL","UL","DCMax","DCMin","a","b","MOI_solid_AH","E_Mpa_AH","E_GPa_AH"
"1","A632_1","A632","1","Middle",212.42781,21.453935,39.86352,5.455,4.9925,2.49625,2.7275,33.320082314199,652.545550888675,0.652545550888675
"2","A632_2","A632","2","Middle",177.097435,36.794875,39.759265,5.55,5.1,2.55,2.775,36.1377077589844,501.599617195493,0.501599617195493
"3","A632_3","A632","3","Middle",210.109063333333,20.37509,25.5759866666667,4.91333333333333,4.42666666666667,2.21333333333333,2.45666666666667,20.9201011387812,1027.98442244291,1.02798442244291
"4","A632_4","A632","4","Bottom",183.07461,39.27019,31.339505,4.71,4.38,2.19,2.355,19.4267579340544,964.569034523625,0.964569034523625
"5","A632_4","A632","4","Middle",135.201843333333,21.27935,31.30664,5.2125,4.66,2.33,2.60625,25.8917203771148,534.474797526861,0.534474797526861
"6","A632_5","A632","5","Bottom",177.78995,14.66835,31.1259033333333,5.09,4.39,2.195,2.545,21.1382209511244,860.883336210483,0.860883336210483
"7","A632_5","A632","5","Middle",164.605566666667,32.333215,31.33952,4.775,4.375,2.1875,2.3875,19.6274842739105,858.391496828562,0.858391496828562
"8","A632_6","A632","6","Bottom",214.915603333333,41.11086,39.3102,4.97,4.66333333333333,2.33166666666667,2.485,24.7401801739918,889.14095726644,0.88914095726644
"9","A632_6","A632","6","Middle",198.400253333333,33.2991333333333,36.9405666666667,5.3575,5.085,2.5425,2.67875,34.5773846790996,587.294058959397,0.587294058959397
"10","B73_1","B73","1","Bottom",209.8537025,37.42596,41.91755,6.10333333333333,5.43333333333333,2.0375,2.28875,15.2043648398532,1412.71280106361,1.41271280106361
"11","B73_1","B73","1","Middle",184.047652,29.633388,31.629536,5.285,4.72,1.888,2.114,11.1734689271726,1685.96200250798,1.68596200250798
"12","B73_2","B73","2","Bottom",259.830255,32.050595,39.9427375,5.2875,4.9125,1.965,2.115,12.6030340199229,2110.18308633235,2.11018308633235
"13","B73_2","B73","2","Middle",121.30748,14.758792,17.510848,4.4725,4.225,1.69,1.789,6.78183980677288,1830.81971553404,1.83081971553404
"14","B73_3","B73","3","Bottom",306.306695,42.5578175,50.3395875,5.93,5.7025,2.85125,2.965,53.9768660364802,580.837103250063,0.580837103250063
"15","B73_3","B73","3","Middle",141.49694,22.841075,26.93967,4.9575,4.6625,2.33125,2.47875,24.664728961186,587.186723291159,0.587186723291159
"16","B73_4","B73","4","Bottom",239.311345,31.8682325,40.06537,5.24,4.9675,2.48375,2.62,31.5284052721222,776.903020623518,0.776903020623518
"17","B73_4","B73","4","Middle",131.270955,20.78977,25.474155,5.1175,4.92,2.46,2.55875,29.9164632599587,449.121578637468,0.449121578637468
"18","B73_5","B73","5","Bottom",288.8530125,45.94089,52.1031125,5.9925,5.5375,2.76875,2.99625,49.9466483598998,591.937804726264,0.591937804726264
"19","B73_5","B73","5","Middle",124.219776666667,24.03708,25.28127,5.0375,4.7025,2.35125,2.51875,25.7133441134235,494.467451147229,0.494467451147229
"20","B73_6","B73","6","Bottom",270.694715,41.10947,49.577295,5.735,5.2925,2.64625,2.8675,41.7323760720102,663.914557059661,0.663914557059661
"21","B73_6","B73","6","Middle",125.891035,18.15382,24.8291075,5.215,4.94,2.47,2.6075,30.8597390680272,417.549608887633,0.417549608887633
"23","Oh43_1","Oh43","1","Middle",128.106545,24.2096033333333,30.4690866666667,5.3525,5.125,2.5625,2.67625,35.3667681374741,370.750264967732,0.370750264967732
"24","Oh43_2","Oh43","2","Bottom",163.23296,22.14098,22.62478,4.37,3.87,1.935,2.185,12.4328708437198,1343.82266198582,1.34382266198582
"25","Oh43_2","Oh43","2","Middle",135.665863333333,27.00961,31.7063866666667,5.38333333333333,5.16666666666667,2.58333333333333,2.69166666666667,36.4451458327305,381.010037669449,0.381010037669449
"26","Oh43_3","Oh43","3","Bottom",221.461955,34.07258,43.329455,5.84,5.54,2.77,2.92,48.741538279235,465.056185189229,0.46505618518923
"27","Oh43_3","Oh43","3","Middle",108.282383333333,22.063595,26.3500266666667,5.8425,5.5675,2.78375,2.92125,49.4921691158633,223.937509888034,0.223937509888034
"28","Oh43_4","Oh43","4","Bottom",122.72751,9.72717,27.84951,5.64,5.12,2.56,2.82,37.15746496512,338.065904789703,0.338065904789703
"29","Oh43_4","Oh43","4","Middle",146.905465,27.601545,42.61776,6.04,5.72333333333333,2.86166666666667,3.02,55.5828933398603,270.521837661716,0.270521837661716
"30","Oh43_5","Oh43","5","Bottom",140.6034,20.4521,25.54315,5.54,4.98,2.49,2.77,33.5857370191988,428.495698316027,0.428495698316027
"31","Oh43_5","Oh43","5","Middle",108.046196666667,22.8021966666667,25.8768066666667,5.1675,4.715,2.3575,2.58375,26.5878161220667,415.941586572843,0.415941586572843
"32","Oh43_6","Oh43","6","Bottom",202.06092,23.65553,38.60097,6.56,6.38,3.19,3.28,83.62246503677,247.323217192963,0.247323217192963
"33","Oh43_6","Oh43","6","Middle",102.832996666667,17.8453866666667,22.9395933333333,5.205,4.6225,2.31125,2.6025,25.2353064711783,417.089671237954,0.417089671237954
