Geno,Plant,WR,Root,ai,bi,ao,bo,MajorD,MinorD,K,BL,UL,MOI,E_MPa,E_GPa,Condition
A632,P01,BWR,R01,2.179,2.796,2.735,3.3,6.6,5.47,202.51006,20.59314,24.77087,30.30490772,683.9733228,0.683973323,Dry/Field
B73,P01,BWR,R01,1.521,1.917,1.855,2.168,4.336,3.71,141.81426,,15.73791,5.570932839,2605.538574,2.605538574,Dry/Field
B73,P01,BWR,R01,1.829,2.26,2.175,2.634,5.268,4.35,200.76475,15.86752,17.67753,10.42523904,1971.092327,1.971092327,Dry/Field
B73,P01,BWR,R02,2.57,2.83,2.845,3.129,6.258,5.69,102.17156,20.11208,21.12525,18.86129985,554.4519712,0.554451971,Dry/Field
A632,P02,BWR,R01,1.912,2.513,2.285,2.979,5.958,4.57,140.87561,14.50338,21.27872,14.11802946,1021.332737,1.021332737,Dry/Field
B73,P02,BWR,R01,1.899,2.088,2.258,2.383,4.766,4.516,119.05163,13.13229,15.86088,10.3165455,1181.154135,1.181154136,Dry/Field
B73,P02,BWR,R01,1.634,2.379,1.979,2.673,5.346,3.958,63.54866,6.85154,12.47626,8.119893438,801.0536329,0.801053633,Dry/Field
B73,P02,BWR,R02,2.036,2.648,2.254,2.851,5.702,4.508,136.47077,15.68447,18.25818,8.089230236,1726.783826,1.726783826,Dry/Field
B73,P02,BWR,R02,1.505,2.389,1.776,2.743,5.486,3.552,57.36053,5.33845,10.31018,5.672153435,1035.072361,1.035072361,Dry/Field
Oh43,P02,BWR,R02,1.433,2.414,1.794,2.704,5.408,3.588,180.16644,13.13059,17.87274,6.682952445,2759.377084,2.759377084,Dry/Field
A632,P02,BWR,R03,1.307,1.871,1.688,2.279,4.558,3.376,87.14099,10.08959,13.69911,5.328096074,1674.001987,1.674001987,Dry/Field
B73,P02,BWR,R03,1.639,2.454,1.974,2.838,5.676,3.948,122.06108,,16.90457,8.659279615,1442.78285,1.44278285,Dry/Field
B73,P02,BWR,R03,1.536,2.501,1.842,2.834,5.668,3.684,134.01469,10.21687,15.76979,6.792692854,2019.370257,2.019370257,Dry/Field
Oh43,P02,BWR,R03,1.469,2.242,1.747,2.691,5.382,3.494,80.37522,,,5.686906527,1446.610495,1.446610495,Dry/Field
A632,P02,BWR,R04,1.442,2.523,1.755,2.83,5.66,3.51,153.14986,14.62994,17.67915,6.072961519,2581.199674,2.581199674,Dry/Field
A632,P03,BWR,R01,2.061,2.579,2.505,2.825,5.65,5.01,215.16161,,21.20415,17.14367634,1284.595373,1.284595373,Dry/Field
B73,P03,BWR,R01,1.952,2.27,2.369,2.632,5.264,4.738,104.15063,14.09722,18.36753,14.22307515,749.5039455,0.749503945,Dry/Field
B73,P03,BWR,R01,2.044,2.537,2.415,2.933,5.866,4.83,71.0019,13.90337,15.97305,15.42959071,471.0001997,0.4710002,Dry/Field
Oh43,P03,BWR,R01,2.101,3.055,2.474,3.448,6.896,4.948,190.81067,14.43333,21.77543,18.75430979,1041.374881,1.041374881,Dry/Field
A632,P03,BWR,R02,2.084,2.57,2.412,2.892,5.784,4.824,100.72932,10.94512,13.10172,13.60373218,757.8850765,0.757885076,Dry/Field
B73,P03,BWR,R02,1.84,2.501,2.131,3.002,6.004,4.262,142.63594,10.07047,17.5408,10.58010431,1379.890249,1.379890249,Dry/Field
B73,P03,BWR,R03,2.354,2.458,2.679,2.872,5.744,5.358,71.05861,16.12946,18.57821,18.18825004,399.8815056,0.399881506,Dry/Field
Oh43,P03,BWR,R03,1.62,2.48,1.916,2.801,5.602,3.832,108.15763,,15.99776,7.192460814,1539.165019,1.539165019,Dry/Field
B73,P03,BWR,R04,1.977,2.691,2.282,2.963,5.926,4.564,248.60814,16.6347,25.14729,11.32326182,2247.239303,2.247239302,Dry/Field
A632,P04,BWR,R01,1.235,2.34,1.518,2.724,5.448,3.036,126.15238,10.09786,17.11897,4.021792892,3210.563566,3.210563566,Dry/Field
A632,P04,BWR,R01,1.299,2.021,1.53,2.251,4.502,3.06,116.84515,2.97622,8.86488,2.852747884,4192.304558,4.192304558,Dry/Field
A632,P04,BWR,R01,2.025,2.803,2.393,3.199,6.398,4.786,218.37327,,,16.14911939,1384.063956,1.384063956,Dry/Field
B73,P04,BWR,R01,2.084,2.53,2.363,2.947,5.894,4.726,58.86592,10.00445,12.38714,12.55473351,479.9123918,0.479912392,Dry/Field
Oh43,P04,BWR,R01,2.518,2.624,2.876,3.309,6.618,5.752,179.24092,,23.03283,28.92156481,634.3382565,0.634338257,Dry/Field
Oh43,P04,BWR,R01,1.308,2.124,1.684,2.43,4.86,3.368,132.6024,13.17797,16.47411,5.381198224,2522.190706,2.522190706,Dry/Field
A632,P04,BWR,R02,1.478,2.583,1.976,2.899,5.798,3.952,310.73309,,28.4085,11.0171092,2886.857697,2.886857697,Dry/Field
A632,P04,BWR,R02,2.044,2.422,2.37,2.748,5.496,4.74,318.21936,14.07814,38.74653,12.48654697,2608.493565,2.608493565,Dry/Field
Oh43,P04,BWR,R02,1.47,1.94,1.835,2.304,4.608,3.67,220.42203,23.1405,24.59479,6.341017256,3557.964327,3.557964327,Dry/Field
A632,P05,BWR,R01,1.842,2.522,2.16,2.929,5.858,4.32,137.5726,4.00778,15.83545,10.8035255,1303.382755,1.303382755,Dry/Field
B73,P05,BWR,R01,2.04,2.717,2.617,2.936,5.872,5.234,121.28975,,17.04188,23.21288806,534.8111469,0.534811147,Dry/Field
B73,P05,BWR,R01,2.478,2.791,2.828,3.163,6.326,5.656,117.89217,19.12243,20.79028,22.83145538,528.5144821,0.528514482,Dry/Field
A632,P05,BWR,R02,2.428,3.427,2.741,3.693,7.386,5.482,135.7,17.65853,20.02574,21.20486484,655.0129191,0.655012919,Dry/Field
A632,P05,BWR,R03,2.406,2.97,2.782,3.36,6.72,5.564,268.97557,,27.4328,24.33114448,1131.503302,1.131503302,Dry/Field
B73,P05,BWR,R03,1.149,1.576,1.436,1.912,3.824,2.872,248.55303,12.59229,14.16623,2.569119945,9902.394128,9.902394129,Dry/Field
